czujnik1,38.55, czujnik2,39.61, czujnik3,16.14
czujnik1,38.18, czujnik2,38.67, czujnik3,37.94
czujnik1,38.45, czujnik2,38.25, czujnik3,16.55
czujnik1,38.10, czujnik2,38.21, czujnik3,38.35
czujnik1,37.77, czujnik2,38.71, czujnik3,37.81
czujnik1,38.18, czujnik2,39.18, czujnik3,37.94
czujnik1,38.10, czujnik2,38.21, czujnik3,38.35
czujnik1,38.16, czujnik2,38.59, czujnik3,37.91
czujnik1,38.18, czujnik2,38.66, czujnik3,38.27
czujnik1,38.62, czujnik2,38.69, czujnik3,38.37
czujnik1,38.49, czujnik2,38.25, czujnik3,38.30
czujnik1,38.16, czujnik2,38.55, czujnik3,38.30
czujnik1,38.20, czujnik2,39.52, czujnik3,38.27
czujnik1,38.15, czujnik2,38.66, czujnik3,38.76
czujnik1,38.10, czujnik2,38.25, czujnik3,38.35
czujnik1,38.18, czujnik2,38.11, czujnik3,37.93
czujnik1,37.77, czujnik2,38.67, czujnik3,37.79
czujnik1,38.18, czujnik2,38.71, czujnik3,37.94
czujnik1,38.06, czujnik2,38.23, czujnik3,37.94
czujnik1,38.18, czujnik2,38.16, czujnik3,37.89
czujnik1,38.59, czujnik2,37.81, czujnik3,37.84
czujnik1,38.18, czujnik2,37.81, czujnik3,37.98
czujnik1,38.08, czujnik2,38.27, czujnik3,37.52
czujnik1,38.59, czujnik2,39.88, czujnik3,38.33
czujnik1,38.15, czujnik2,38.66, czujnik3,37.82
czujnik1,38.16, czujnik2,38.23, czujnik3,37.94
czujnik1,38.04, czujnik2,39.13, czujnik3,38.30
czujnik1,38.18, czujnik2,38.16, czujnik3,37.93
czujnik1,37.77, czujnik2,38.21, czujnik3,37.82
czujnik1,38.18, czujnik2,38.21, czujnik3,37.89
czujnik1,38.08, czujnik2,38.67, czujnik3,38.35
czujnik1,38.20, czujnik2,38.62, czujnik3,38.35
czujnik1,38.16, czujnik2,38.21, czujnik3,38.23
czujnik1,38.15, czujnik2,38.25, czujnik3,38.35
czujnik1,38.45, czujnik2,37.79, czujnik3,37.94
