ujnik1,37.81, czujnik2,37.84, czujnik3,38.25
czujnik1,37.81, czujnik2,37.84, czujnik3,38.25
czujnik1,38.16, czujnik2,38.27, czujnik3,37.98
czujnik1,38.18, czujnik2,39.49, czujnik3,37.94
czujnik1,38.18, czujnik2,38.25, czujnik3,38.23
czujnik1,38.20, czujnik2,38.25, czujnik3,38.40
czujnik1,38.18, czujnik2,38.55, czujnik3,38.38
czujnik1,38.10, czujnik2,38.71, czujnik3,38.33
czujnik1,38.20, czujnik2,37.69, czujnik3,38.74
czujnik1,38.21, czujnik2,38.25, czujnik3,37.82
czujnik1,38.18, czujnik2,38.71, czujnik3,37.96
czujnik1,38.49, czujnik2,39.17, czujnik3,38.33
czujnik1,38.20, czujnik2,37.72, czujnik3,37.94
czujnik1,38.18, czujnik2,39.61, czujnik3,38.20
czujnik1,37.76, czujnik2,38.71, czujnik3,38.40
czujnik1,38.06, czujnik2,38.67, czujnik3,37.99
czujnik1,38.21, czujnik2,38.15, czujnik3,37.96
czujnik1,38.16, czujnik2,39.15, czujnik3,37.86
czujnik1,38.20, czujnik2,38.25, czujnik3,37.94
czujnik1,38.10, czujnik2,39.57, czujnik3,37.94
czujnik1,38.21, czujnik2,38.64, czujnik3,38.35
czujnik1,38.18, czujnik2,38.71, czujnik3,37.89
czujnik1,38.18, czujnik2,38.69, czujnik3,37.94
czujnik1,38.08, czujnik2,39.61, czujnik3,38.35
czujnik1,38.64, czujnik2,38.59, czujnik3,38.37
czujnik1,38.18, czujnik2,38.25, czujnik3,37.82
czujnik1,38.18, czujnik2,38.30, czujnik3,38.35
czujnik1,38.08, czujnik2,39.18, czujnik3,38.35
czujnik1,38.20, czujnik2,39.51, czujnik3,37.94
czujnik1,38.18, czujnik2,38.25, czujnik3,38.28
czujnik1,38.18, czujnik2,38.71, czujnik3,37.94
czujnik1,38.10, czujnik2,39.17, czujnik3,37.99
czujnik1,37.79, czujnik2,38.15, czujnik3,38.35
czujnik1,38.18, czujnik2,38.71, czujnik3,37.84
czujnik1,38.18, czujnik2,38.67, czujnik3,38.38
czujnik1,38.10, czujnik2,39.57, czujnik3,37.99
czujnik1,38.61, czujnik2,39.00, czujnik3,38.35
czujnik1,38.18, czujnik2,39.17, czujnik3,38.27
czujnik1,38.21, czujnik2,37.84, czujnik3,38.35
czujnik1,37.67, czujnik2,38.72, czujnik3,37.99
czujnik1,38.18, czujnik2,37.76, czujnik3,37.98
czujnik1,38.23, czujnik2,39.56, czujnik3,37.82
