cczujnik1,21.58, czujnik2,17.74, czujnik3,38.21
czujnik1,19.95, czujnik2,17.70, czujnik3,37.69
czujnik1,38.52, czujnik2,18.16, czujnik3,38.37
czujnik1,21.07, czujnik2,18.16, czujnik3,37.99
czujnik1,38.62, czujnik2,18.69, czujnik3,37.94
czujnik1,38.20, czujnik2,17.79, czujnik3,37.96
czujnik1,38.47, czujnik2,18.16, czujnik3,37.98
czujnik1,20.31, czujnik2,17.28, czujnik3,37.94
czujnik1,20.31, czujnik2,17.30, czujnik3,38.30
czujnik1,38.61, czujnik2,17.70, czujnik3,37.91
czujnik1,38.95, czujnik2,18.62, czujnik3,38.32
czujnik1,39.05, czujnik2,18.67, czujnik3,38.32
czujnik1,38.55, czujnik2,18.67, czujnik3,38.21
czujnik1,38.57, czujnik2,19.12, czujnik3,37.94
czujnik1,38.91, czujnik2,18.76, czujnik3,38.81
czujnik1,39.46, czujnik2,17.81, czujnik3,37.96
czujnik1,19.54, czujnik2,17.84, czujnik3,39.54
czujnik1,19.54, czujnik2,18.27, czujnik3,38.32
czujnik1,38.49, czujnik2,18.25, czujnik3,37.93
czujnik1,38.61, czujnik2,18.78, czujnik3,38.42
czujnik1,38.18, czujnik2,17.96, czujnik3,37.84
czujnik1,20.15, czujnik2,17.94, czujnik3,40.03
czujnik1,19.34, czujnik2,18.04, czujnik3,38.40
czujnik1,19.27, czujnik2,18.04, czujnik3,38.40
czujnik1,19.69, czujnik2,19.64, czujnik3,38.28
czujnik1,18.88, czujnik2,18.76, czujnik3,38.42
czujnik1,17.59, czujnik2,17.96, czujnik3,37.96
czujnik1,18.42, czujnik2,18.01, czujnik3,37.96
czujnik1,18.86, czujnik2,17.60, czujnik3,38.32
czujnik1,18.42, czujnik2,19.17, czujnik3,37.94
czujnik1,19.63, czujnik2,19.59, czujnik3,37.99
czujnik1,18.83, czujnik2,19.59, czujnik3,38.01
czujnik1,18.86, czujnik2,18.42, czujnik3,38.25
czujnik1,19.34, czujnik2,19.29, czujnik3,38.40
czujnik1,18.91, czujnik2,18.47, czujnik3,37.99
czujnik1,22.23, czujnik2,19.59, czujnik3,37.94
czujnik1,21.77, czujnik2,19.23, czujnik3,37.86
czujnik1,20.49, czujnik2,20.00, czujnik3,37.94
czujnik1,19.98, czujnik2,18.83, czujnik3,37.96
czujnik1,20.10, czujnik2,20.77, czujnik3,38.40
czujnik1,20.09, czujnik2,21.68, czujnik3,38.21
czujnik1,21.79, czujnik2,20.46, czujnik3,37.99
czujnik1,18.42, czujnik2,18.81, czujnik3,37.96
czujnik1,19.68, czujnik2,21.58, czujnik3,37.94
czujnik1,20.10, czujnik2,21.28, czujnik3,38.25
czujnik1,20.03, czujnik2,21.63, czujnik3,38.37
czujnik1,18.78, czujnik2,19.61, czujnik3,37.94
czujnik1,19.63, czujnik2,20.71, czujnik3,38.35
czujnik1,18.35, czujnik2,21.28, czujnik3,38.30
czujnik1,19.22, czujnik2,20.41, czujnik3,25.94
czujnik1,19.17, czujnik2,19.98, czujnik3,24.34
czujnik1,17.91, czujnik2,20.31, czujnik3,37.94
czujnik1,18.78, czujnik2,19.93, czujnik3,38.21
czujnik1,17.91, czujnik2,20.46, czujnik3,24.23
czujnik1,18.30, czujnik2,20.87, czujnik3,37.93
czujnik1,18.32, czujnik2,18.78, czujnik3,37.94
czujnik1,17.91, czujnik2,20.82, czujnik3,37.41
czujnik1,20.44, czujnik2,22.09, czujnik3,28.45
czujnik1,18.76, czujnik2,20.05, czujnik3,25.20
czujnik1,17.91, czujnik2,20.36, czujnik3,37.57
czujnik1,18.35, czujnik2,20.05, czujnik3,25.53
czujnik1,21.72, czujnik2,37.84, czujnik3,37.55
czujnik1,18.35, czujnik2,37.81, czujnik3,23.93
czujnik1,19.59, czujnik2,38.16, czujnik3,26.43
czujnik1,19.59, czujnik2,21.28, czujnik3,22.96
czujnik1,19.59, czujnik2,38.25, czujnik3,24.64
czujnik1,19.18, czujnik2,24.63, czujnik3,37.55
czujnik1,18.32, czujnik2,37.70, czujnik3,37.53
czujnik1,18.30, czujnik2,39.13, czujnik3,37.82
czujnik1,19.59, czujnik2,38.25, czujnik3,26.73
czujnik1,18.76, czujnik2,37.81, czujnik3,37.94
czujnik1,21.73, czujnik2,37.72, czujnik3,37.94
czujnik1,19.63, czujnik2,24.15, czujnik3,25.12
czujnik1,18.76, czujnik2,38.72, czujnik3,37.55
czujnik1,21.17, czujnik2,22.55, czujnik3,25.20
czujnik1,18.78, czujnik2,38.16, czujnik3,24.35
czujnik1,19.18, czujnik2,37.84, czujnik3,37.45
czujnik1,18.78, czujnik2,37.86, czujnik3,37.99
czujnik1,19.61, czujnik2,20.92, czujnik3,37.96
czujnik1,19.63, czujnik2,38.16, czujnik3,37.96
czujnik1,19.63, czujnik2,37.84, czujnik3,37.84
czujnik1,18.78, czujnik2,38.27, czujnik3,27.21
czujnik1,20.75, czujnik2,37.84, czujnik3,37.94
czujnik1,19.59, czujnik2,38.20, czujnik3,25.63
czujnik1,19.18, czujnik2,38.25, czujnik3,23.01
czujnik1,19.61, czujnik2,37.84, czujnik3,24.69
czujnik1,19.59, czujnik2,38.27, czujnik3,27.31
czujnik1,20.41, czujnik2,37.74, czujnik3,37.53
czujnik1,19.13, czujnik2,38.25, czujnik3,37.86
czujnik1,21.26, czujnik2,38.25, czujnik3,38.78
czujnik1,19.59, czujnik2,37.86, czujnik3,24.34
czujnik1,19.59, czujnik2,38.15, czujnik3,37.53
czujnik1,18.35, czujnik2,37.84, czujnik3,38.27
czujnik1,20.05, czujnik2,19.23, czujnik3,38.37
czujnik1,21.21, czujnik2,20.05, czujnik3,37.94
czujnik1,19.59, czujnik2,37.30, czujnik3,37.93
czujnik1,18.32, czujnik2,37.81, czujnik3,37.84
czujnik1,20.85, czujnik2,37.84, czujnik3,38.35
czujnik1,22.04, czujnik2,24.64, czujnik3,39.18
czujnik1,19.63, czujnik2,38.15, czujnik3,25.20
