1,38.55, czujnik2,43.11, czujnik3,17.57
czujnik1,38.55, czujnik2,43.11, czujnik3,17.57
czujnik1,38.15, czujnik2,38.27, czujnik3,16.22
czujnik1,38.03, czujnik2,37.69, czujnik3,15.83
czujnik1,38.15, czujnik2,38.25, czujnik3,16.70
czujnik1,38.10, czujnik2,38.69, czujnik3,17.16
czujnik1,37.59, czujnik2,38.67, czujnik3,17.62
czujnik1,38.04, czujnik2,39.59, czujnik3,19.35
czujnik1,38.13, czujnik2,38.54, czujnik3,37.94
czujnik1,37.74, czujnik2,38.20, czujnik3,37.81
czujnik1,38.55, czujnik2,38.20, czujnik3,38.30
czujnik1,38.06, czujnik2,38.25, czujnik3,37.96
czujnik1,38.15, czujnik2,39.49, czujnik3,38.35
czujnik1,38.15, czujnik2,39.13, czujnik3,38.67
czujnik1,38.16, czujnik2,38.20, czujnik3,37.94
czujnik1,38.01, czujnik2,45.60, czujnik3,37.94
czujnik1,38.15, czujnik2,39.01, czujnik3,38.37
czujnik1,38.54, czujnik2,38.66, czujnik3,20.70
czujnik1,38.15, czujnik2,39.08, czujnik3,21.72
czujnik1,38.49, czujnik2,38.67, czujnik3,21.28
czujnik1,38.13, czujnik2,39.01, czujnik3,21.72
czujnik1,38.13, czujnik2,38.66, czujnik3,23.32
czujnik1,37.72, czujnik2,38.20, czujnik3,21.73
czujnik1,38.06, czujnik2,39.54, czujnik3,21.31
czujnik1,38.16, czujnik2,37.64, czujnik3,20.44
czujnik1,38.55, czujnik2,38.66, czujnik3,22.91
czujnik1,38.13, czujnik2,37.79, czujnik3,20.90
czujnik1,37.62, czujnik2,37.79, czujnik3,20.90
czujnik1,38.18, czujnik2,38.10, czujnik3,20.49
czujnik1,38.13, czujnik2,39.52, czujnik3,20.39
czujnik1,37.72, czujnik2,37.33, czujnik3,25.92
czujnik1,37.64, czujnik2,38.69, czujnik3,25.65
czujnik1,37.74, czujnik2,22.87, czujnik3,23.16
czujnik1,38.15, czujnik2,37.77, czujnik3,20.12
czujnik1,38.11, czujnik2,24.25, czujnik3,19.42
czujnik1,38.08, czujnik2,23.83, czujnik3,18.13
czujnik1,38.15, czujnik2,24.13, czujnik3,18.59
czujnik1,38.13, czujnik2,23.83, czujnik3,18.61
czujnik1,38.13, czujnik2,23.83, czujnik3,19.83
czujnik1,38.04, czujnik2,26.75, czujnik3,19.00
czujnik1,38.54, czujnik2,22.50, czujnik3,18.54
czujnik1,38.15, czujnik2,23.01, czujnik3,18.13
czujnik1,38.13, czujnik2,21.33, czujnik3,19.40
czujnik1,38.44, czujnik2,37.76, czujnik3,18.54
czujnik1,38.13, czujnik2,21.62, czujnik3,18.54
czujnik1,38.13, czujnik2,21.73, czujnik3,18.13
czujnik1,38.13, czujnik2,21.33, czujnik3,18.96
czujnik1,37.62, czujnik2,21.75, czujnik3,18.13
czujnik1,38.10, czujnik2,22.06, czujnik3,18.13
czujnik1,38.13, czujnik2,21.34, czujnik3,20.60
czujnik1,37.72, czujnik2,24.23, czujnik3,19.00
czujnik1,38.06, czujnik2,20.92, czujnik3,18.55
czujnik1,38.10, czujnik2,37.70, czujnik3,19.40
czujnik1,38.13, czujnik2,23.84, czujnik3,19.71
czujnik1,38.16, czujnik2,24.25, czujnik3,19.00
czujnik1,38.03, czujnik2,22.16, czujnik3,19.00
czujnik1,38.13, czujnik2,38.11, czujnik3,19.00
czujnik1,37.72, czujnik2,38.21, czujnik3,18.54
czujnik1,38.13, czujnik2,22.16, czujnik3,18.98
czujnik1,38.04, czujnik2,23.44, czujnik3,18.59
czujnik1,38.15, czujnik2,37.30, czujnik3,18.61
czujnik1,38.11, czujnik2,22.19, czujnik3,19.05
czujnik1,38.13, czujnik2,20.94, czujnik3,17.76
czujnik1,37.65, czujnik2,21.79, czujnik3,18.62
czujnik1,38.15, czujnik2,20.00, czujnik3,18.23
czujnik1,37.72, czujnik2,19.29, czujnik3,17.77
czujnik1,38.11, czujnik2,19.29, czujnik3,18.23
czujnik1,37.62, czujnik2,21.80, czujnik3,17.77
czujnik1,37.72, czujnik2,21.29, czujnik3,17.41
czujnik1,37.74, czujnik2,20.58, czujnik3,17.41
czujnik1,38.15, czujnik2,38.16, czujnik3,17.47
czujnik1,38.01, czujnik2,21.38, czujnik3,17.82
czujnik1,38.54, czujnik2,23.38, czujnik3,18.69
czujnik1,38.13, czujnik2,21.38, czujnik3,18.74
czujnik1,38.15, czujnik2,20.97, czujnik3,18.28
czujnik1,38.03, czujnik2,19.69, czujnik3,26.58
czujnik1,38.15, czujnik2,38.11, czujnik3,18.59
czujnik1,38.57, czujnik2,20.51, czujnik3,37.84
czujnik1,38.13, czujnik2,23.88, czujnik3,20.29
czujnik1,38.01, czujnik2,20.53, czujnik3,18.18
czujnik1,38.13, czujnik2,37.69, czujnik3,37.53
czujnik1,37.70, czujnik2,21.80, czujnik3,37.45
czujnik1,38.18, czujnik2,20.56, czujnik3,22.40
czujnik1,38.04, czujnik2,20.97, czujnik3,18.23
czujnik1,38.13, czujnik2,20.46, czujnik3,17.81
czujnik1,38.57, czujnik2,21.45, czujnik3,18.23
czujnik1,38.15, czujnik2,30.12, czujnik3,18.28
czujnik1,38.03, czujnik2,26.50, czujnik3,17.40
czujnik1,38.13, czujnik2,24.74, czujnik3,17.45
czujnik1,37.74, czujnik2,38.25, czujnik3,16.63
czujnik1,38.13, czujnik2,38.18, czujnik3,17.09
czujnik1,38.03, czujnik2,38.69, czujnik3,17.11
czujnik1,38.13, czujnik2,38.08, czujnik3,17.11
czujnik1,37.74, czujnik2,18.93, czujnik3,17.52
czujnik1,38.13, czujnik2,19.32, czujnik3,17.91
czujnik1,37.64, czujnik2,18.91, czujnik3,17.04
czujnik1,37.74, czujnik2,18.88, czujnik3,18.28
czujnik1,38.10, czujnik2,19.34, czujnik3,18.69
czujnik1,38.54, czujnik2,19.37, czujnik3,17.47
czujnik1,38.45, czujnik2,18.95, czujnik3,17.87
18.30
