.5czujnik1,17.70, czujnik2,39.52, czujnik3,21.28
czujnik1,16.53, czujnik2,18.38, czujnik3,18.13
czujnik1,15.31, czujnik2,15.53, czujnik3,16.17
czujnik1,15.36, czujnik2,15.58, czujnik3,15.37
czujnik1,15.80, czujnik2,14.74, czujnik3,15.36
czujnik1,15.80, czujnik2,15.15, czujnik3,15.00
czujnik1,15.80, czujnik2,15.36, czujnik3,16.29
czujnik1,16.68, czujnik2,15.26, czujnik3,15.41
czujnik1,15.82, czujnik2,14.80, czujnik3,15.82
czujnik1,15.82, czujnik2,14.78, czujnik3,15.41
czujnik1,16.21, czujnik2,15.31, czujnik3,15.43
czujnik1,17.09, czujnik2,15.19, czujnik3,16.28
czujnik1,18.78, czujnik2,16.11, czujnik3,19.25
czujnik1,18.78, czujnik2,18.61, czujnik3,38.40
czujnik1,38.08, czujnik2,16.12, czujnik3,37.99
czujnik1,38.61, czujnik2,17.86, czujnik3,20.58
czujnik1,38.66, czujnik2,19.90, czujnik3,20.90
czujnik1,39.06, czujnik2,18.62, czujnik3,20.60
czujnik1,38.55, czujnik2,39.54, czujnik3,21.46
czujnik1,38.66, czujnik2,39.88, czujnik3,18.95
czujnik1,38.64, czujnik2,38.25, czujnik3,18.18
czujnik1,39.06, czujnik2,21.73, czujnik3,16.19
czujnik1,19.49, czujnik2,15.60, czujnik3,15.41
czujnik1,16.63, czujnik2,16.02, czujnik3,15.43
czujnik1,17.89, czujnik2,16.07, czujnik3,15.43
czujnik1,16.63, czujnik2,16.43, czujnik3,15.41
czujnik1,16.17, czujnik2,15.29, czujnik3,15.41
czujnik1,16.21, czujnik2,15.61, czujnik3,16.24
czujnik1,16.22, czujnik2,16.48, czujnik3,16.29
czujnik1,16.21, czujnik2,15.65, czujnik3,16.28
czujnik1,15.82, czujnik2,16.53, czujnik3,16.29
czujnik1,15.80, czujnik2,17.35, czujnik3,15.88
czujnik1,15.80, czujnik2,15.60, czujnik3,15.43
czujnik1,15.77, czujnik2,15.66, czujnik3,16.28
czujnik1,16.22, czujnik2,15.61, czujnik3,15.46
czujnik1,15.75, czujnik2,16.82, czujnik3,15.88
czujnik1,15.80, czujnik2,16.02, czujnik3,15.87
czujnik1,15.80, czujnik2,16.89, czujnik3,16.73
czujnik1,17.04, czujnik2,16.05, czujnik3,16.29
czujnik1,17.09, czujnik2,17.33, czujnik3,15.41
czujnik1,16.22, czujnik2,37.79, czujnik3,15.88
czujnik1,17.09, czujnik2,16.48, czujnik3,15.41
czujnik1,16.21, czujnik2,39.52, czujnik3,16.34
czujnik1,17.02, czujnik2,38.16, czujnik3,15.87
czujnik1,16.63, czujnik2,38.25, czujnik3,17.21
czujnik1,17.91, czujnik2,38.69, czujnik3,16.79
czujnik1,38.50, czujnik2,38.71, czujnik3,16.85
czujnik1,38.57, czujnik2,23.83, czujnik3,17.31
czujnik1,38.59, czujnik2,21.43, czujnik3,17.72
czujnik1,38.61, czujnik2,38.25, czujnik3,16.85
czujnik1,38.88, czujnik2,38.71, czujnik3,16.84
czujnik1,39.01, czujnik2,46.41, czujnik3,17.26
czujnik1,39.03, czujnik2,44.29, czujnik3,17.67
czujnik1,23.32, czujnik2,39.12, czujnik3,17.21
czujnik1,39.34, czujnik2,17.38, czujnik3,16.34
czujnik1,16.62, czujnik2,38.13, czujnik3,16.75
czujnik1,21.63, czujnik2,16.51, czujnik3,16.75
czujnik1,16.22, czujnik2,37.79, czujnik3,16.29
czujnik1,16.22, czujnik2,38.27, czujnik3,16.28
czujnik1,16.21, czujnik2,16.07, czujnik3,15.88
czujnik1,16.22, czujnik2,38.23, czujnik3,17.62
czujnik1,38.62, czujnik2,38.25, czujnik3,18.49
czujnik1,24.47, czujnik2,38.71, czujnik3,17.19
czujnik1,38.61, czujnik2,38.15, czujnik3,18.08
czujnik1,38.61, czujnik2,38.28, czujnik3,17.21
czujnik1,22.91, czujnik2,39.13, czujnik3,16.73
czujnik1,38.52, czujnik2,38.25, czujnik3,16.73
czujnik1,17.07, czujnik2,38.16, czujnik3,17.62
czujnik1,24.59, czujnik2,38.27, czujnik3,16.73
czujnik1,27.09, czujnik2,16.56, czujnik3,16.75
czujnik1,21.16, czujnik2,16.12, czujnik3,16.73
czujnik1,38.62, czujnik2,44.29, czujnik3,17.62
czujnik1,39.05, czujnik2,38.71, czujnik3,18.08
czujnik1,38.59, czujnik2,17.50, czujnik3,17.72
czujnik1,38.50, czujnik2,17.48, czujnik3,17.74
czujnik1,39.06, czujnik2,19.18, czujnik3,18.13
czujnik1,38.61, czujnik2,38.25, czujnik3,18.54
czujnik1,38.61, czujnik2,17.50, czujnik3,18.54
czujnik1,38.08, czujnik2,46.92, czujnik3,18.96
czujnik1,39.06, czujnik2,18.71, czujnik3,17.62
czujnik1,38.62, czujnik2,37.84, czujnik3,18.49
czujnik1,38.62, czujnik2,37.86, czujnik3,18.50
czujnik1,38.96, czujnik2,17.89, czujnik3,18.91
czujnik1,38.61, czujnik2,17.02, czujnik3,19.37
czujnik1,38.62, czujnik2,39.13, czujnik3,18.08
czujnik1,38.20, czujnik2,17.45, czujnik3,18.49
czujnik1,38.54, czujnik2,18.72, czujnik3,18.49
czujnik1,38.59, czujnik2,17.86, czujnik3,19.78
czujnik1,38.64, czujnik2,17.40, czujnik3,17.16
czujnik1,38.62, czujnik2,16.99, czujnik3,17.16
czujnik1,39.37, czujnik2,16.11, czujnik3,16.70
czujnik1,16.68, czujnik2,16.12, czujnik3,17.16
czujnik1,16.68, czujnik2,18.20, czujnik3,17.16
czujnik1,17.14, czujnik2,15.71, czujnik3,17.16
czujnik1,16.68, czujnik2,16.53, czujnik3,18.03
czujnik1,16.68, czujnik2,16.51, czujnik3,17.16
czujnik1,16.67, czujnik2,15.66, czujnik3,16.70
czujnik1,16.26, czujnik2,15.66, czujnik3,16.28
czujnik1,16.22, czujnik2,15.65, czujnik3,15.83
czujnik1,16.21, czujnik2,15.20, czujnik3,15.82
