nczujnik1,37.74, czujnik2,38.66, czujnik3,27.59
czujnik1,37.65, czujnik2,38.01, czujnik3,22.09
czujnik1,38.15, czujnik2,26.28, czujnik3,16.80
czujnik1,37.62, czujnik2,38.23, czujnik3,18.03
czujnik1,37.76, czujnik2,18.93, czujnik3,18.15
czujnik1,38.15, czujnik2,19.34, czujnik3,18.66
czujnik1,37.67, czujnik2,19.01, czujnik3,17.52
czujnik1,24.13, czujnik2,20.20, czujnik3,18.84
czujnik1,22.93, czujnik2,20.77, czujnik3,20.46
czujnik1,22.50, czujnik2,20.75, czujnik3,20.17
czujnik1,23.28, czujnik2,20.75, czujnik3,19.25
czujnik1,22.09, czujnik2,21.51, czujnik3,19.73
czujnik1,38.55, czujnik2,21.21, czujnik3,20.46
czujnik1,38.20, czujnik2,21.22, czujnik3,19.27
czujnik1,38.06, czujnik2,22.50, czujnik3,19.73
czujnik1,38.16, czujnik2,22.86, czujnik3,19.74
czujnik1,38.18, czujnik2,22.50, czujnik3,20.03
czujnik1,38.57, czujnik2,25.48, czujnik3,20.60
czujnik1,38.04, czujnik2,23.37, czujnik3,20.19
czujnik1,38.15, czujnik2,22.86, czujnik3,20.58
czujnik1,38.54, czujnik2,22.55, czujnik3,20.09
czujnik1,38.16, czujnik2,38.71, czujnik3,20.65
czujnik1,38.06, czujnik2,39.13, czujnik3,20.60
czujnik1,38.13, czujnik2,38.15, czujnik3,20.95
czujnik1,37.74, czujnik2,23.71, czujnik3,20.87
czujnik1,37.74, czujnik2,23.72, czujnik3,20.54
czujnik1,37.67, czujnik2,39.13, czujnik3,21.41
czujnik1,38.15, czujnik2,38.59, czujnik3,20.60
czujnik1,38.15, czujnik2,39.18, czujnik3,21.33
czujnik1,38.16, czujnik2,22.04, czujnik3,20.19
czujnik1,38.06, czujnik2,21.68, czujnik3,21.89
czujnik1,37.74, czujnik2,21.58, czujnik3,21.02
czujnik1,37.79, czujnik2,22.50, czujnik3,21.33
czujnik1,38.20, czujnik2,23.78, czujnik3,21.43
czujnik1,37.67, czujnik2,38.66, czujnik3,21.82
czujnik1,38.15, czujnik2,39.01, czujnik3,22.23
czujnik1,38.15, czujnik2,38.25, czujnik3,18.91
czujnik1,37.72, czujnik2,38.69, czujnik3,18.91
czujnik1,37.64, czujnik2,38.66, czujnik3,21.00
czujnik1,37.76, czujnik2,38.16, czujnik3,18.49
czujnik1,37.77, czujnik2,38.69, czujnik3,18.95
