k1,38.61, czujnik2,26.09, czujnik3,38.38
czujnik1,39.42, czujnik2,42.96, czujnik3,38.28
czujnik1,20.20, czujnik2,24.12, czujnik3,37.94
czujnik1,19.39, czujnik2,23.38, czujnik3,37.96
czujnik1,20.48, czujnik2,19.85, czujnik3,38.76
czujnik1,20.15, czujnik2,38.95, czujnik3,37.98
czujnik1,21.43, czujnik2,41.26, czujnik3,38.37
czujnik1,38.04, czujnik2,39.08, czujnik3,37.53
czujnik1,23.83, czujnik2,39.47, czujnik3,38.37
czujnik1,23.79, czujnik2,39.08, czujnik3,37.81
czujnik1,38.16, czujnik2,39.27, czujnik3,37.93
czujnik1,37.60, czujnik2,39.49, czujnik3,38.37
czujnik1,38.16, czujnik2,19.71, czujnik3,38.76
czujnik1,20.19, czujnik2,20.77, czujnik3,24.25
czujnik1,18.50, czujnik2,21.70, czujnik3,38.33
czujnik1,38.10, czujnik2,20.92, czujnik3,37.94
czujnik1,38.18, czujnik2,20.87, czujnik3,38.37
czujnik1,38.57, czujnik2,21.89, czujnik3,38.28
czujnik1,38.62, czujnik2,40.51, czujnik3,38.35
czujnik1,38.93, czujnik2,20.66, czujnik3,38.35
czujnik1,38.21, czujnik2,19.42, czujnik3,37.89
czujnik1,38.18, czujnik2,19.03, czujnik3,39.08
czujnik1,39.05, czujnik2,19.01, czujnik3,37.96
czujnik1,38.06, czujnik2,44.73, czujnik3,37.96
czujnik1,38.21, czujnik2,40.34, czujnik3,23.93
czujnik1,38.57, czujnik2,39.12, czujnik3,23.88
czujnik1,38.62, czujnik2,39.06, czujnik3,22.70
czujnik1,38.49, czujnik2,41.82, czujnik3,21.92
czujnik1,38.57, czujnik2,43.79, czujnik3,21.92
czujnik1,38.16, czujnik2,26.22, czujnik3,20.60
czujnik1,38.57, czujnik2,25.51, czujnik3,21.53
czujnik1,38.49, czujnik2,43.91, czujnik3,22.38
czujnik1,38.55, czujnik2,38.13, czujnik3,20.29
czujnik1,39.00, czujnik2,38.23, czujnik3,20.19
czujnik1,38.16, czujnik2,37.79, czujnik3,38.78
czujnik1,38.50, czujnik2,23.83, czujnik3,23.27
czujnik1,38.16, czujnik2,37.67, czujnik3,21.11
czujnik1,38.55, czujnik2,38.20, czujnik3,23.95
czujnik1,38.98, czujnik2,37.79, czujnik3,22.76
czujnik1,38.91, czujnik2,39.08, czujnik3,21.94
czujnik1,38.20, czujnik2,38.10, czujnik3,21.53
czujnik1,38.16, czujnik2,24.59, czujnik3,21.46
czujnik1,38.62, czujnik2,37.81, czujnik3,20.75
czujnik1,38.04, czujnik2,20.26, czujnik3,20.34
czujnik1,38.20, czujnik2,38.57, czujnik3,21.55
czujnik1,39.01, czujnik2,37.79, czujnik3,21.87
czujnik1,38.62, czujnik2,37.81, czujnik3,20.75
czujnik1,38.45, czujnik2,43.93, czujnik3,20.75
czujnik1,38.15, czujnik2,18.98, czujnik3,22.86
czujnik1,38.15, czujnik2,19.85, czujnik3,38.25
czujnik1,38.20, czujnik2,41.79, czujnik3,21.58
czujnik1,38.93, czujnik2,43.10, czujnik3,20.29
czujnik1,21.43, czujnik2,18.98, czujnik3,21.99
czujnik1,38.21, czujnik2,42.96, czujnik3,21.89
czujnik1,38.16, czujnik2,20.26, czujnik3,37.96
czujnik1,38.50, czujnik2,38.23, czujnik3,22.86
czujnik1,38.18, czujnik2,27.96, czujnik3,38.74
czujnik1,38.55, czujnik2,26.70, czujnik3,38.67
czujnik1,38.20, czujnik2,43.96, czujnik3,23.67
czujnik1,39.32, czujnik2,37.81, czujnik3,21.97
czujnik1,38.61, czujnik2,41.77, czujnik3,38.37
czujnik1,38.61, czujnik2,19.39, czujnik3,22.70
czujnik1,38.15, czujnik2,19.00, czujnik3,38.32
czujnik1,21.33, czujnik2,28.03, czujnik3,21.11
czujnik1,38.18, czujnik2,19.71, czujnik3,21.11
czujnik1,38.96, czujnik2,41.34, czujnik3,22.30
czujnik1,38.59, czujnik2,18.54, czujnik3,21.99
czujnik1,38.10, czujnik2,38.27, czujnik3,22.40
czujnik1,38.62, czujnik2,38.16, czujnik3,21.58
czujnik1,38.59, czujnik2,38.27, czujnik3,25.27
czujnik1,38.18, czujnik2,38.67, czujnik3,21.17
czujnik1,38.06, czujnik2,38.27, czujnik3,22.41
czujnik1,39.05, czujnik2,25.41, czujnik3,25.37
czujnik1,38.55, czujnik2,19.00, czujnik3,24.39
czujnik1,38.55, czujnik2,24.29, czujnik3,23.98
czujnik1,38.47, czujnik2,38.25, czujnik3,23.67
czujnik1,38.62, czujnik2,18.98, czujnik3,22.81
czujnik1,38.21, czujnik2,44.69, czujnik3,20.60
czujnik1,38.57, czujnik2,28.03, czujnik3,23.98
czujnik1,38.52, czujnik2,24.23, czujnik3,24.91
czujnik1,38.16, czujnik2,18.98, czujnik3,21.97
czujnik1,38.18, czujnik2,41.38, czujnik3,23.16
czujnik1,38.61, czujnik2,18.57, czujnik3,21.17
czujnik1,38.50, czujnik2,38.25, czujnik3,23.27
