,22.40, czujnik2,20.20, czujnik3,17.01
czujnik1,21.12, czujnik2,19.03, czujnik3,16.55
czujnik1,22.40, czujnik2,20.20, czujnik3,17.01
czujnik1,21.12, czujnik2,19.03, czujnik3,16.55
czujniczujnik1,38.13, czujnik2,21.28, czujnik3,21.11
czujnik1,38.01, czujnik2,20.88, czujnik3,19.42
czujnik1,38.15, czujnik2,20.32, czujnik3,19.00
czujnik1,38.04, czujnik2,19.86, czujnik3,18.64
czujnik1,37.76, czujnik2,20.10, czujnik3,18.23
czujnik1,37.74, czujnik2,20.94, czujnik3,19.47
czujnik1,37.60, czujnik2,20.94, czujnik3,18.76
czujnik1,38.15, czujnik2,20.82, czujnik3,18.69
czujnik1,37.69, czujnik2,21.34, czujnik3,19.81
czujnik1,38.10, czujnik2,21.33, czujnik3,27.59
czujnik1,37.62, czujnik2,22.98, czujnik3,30.10
czujnik1,38.15, czujnik2,24.54, czujnik3,37.45
czujnik1,38.15, czujnik2,22.60, czujnik3,30.51
czujnik1,38.15, czujnik2,23.78, czujnik3,28.40
czujnik1,38.45, czujnik2,40.88, czujnik3,37.89
czujnik1,38.15, czujnik2,37.70, czujnik3,37.91
czujnik1,38.13, czujnik2,38.67, czujnik3,37.81
czujnik1,38.15, czujnik2,37.79, czujnik3,37.91
czujnik1,38.04, czujnik2,37.79, czujnik3,37.91
czujnik1,38.16, czujnik2,39.03, czujnik3,38.32
czujnik1,38.15, czujnik2,37.77, czujnik3,27.89
czujnik1,38.13, czujnik2,37.81, czujnik3,38.33
czujnik1,38.44, czujnik2,38.20, czujnik3,21.70
czujnik1,38.15, czujnik2,38.55, czujnik3,19.12
czujnik1,37.74, czujnik2,38.21, czujnik3,18.71
czujnik1,38.16, czujnik2,40.94, czujnik3,18.28
czujnik1,37.64, czujnik2,41.33, czujnik3,18.28
czujnik1,38.10, czujnik2,39.85, czujnik3,17.82
czujnik1,37.76, czujnik2,38.67, czujnik3,17.87
czujnik1,37.72, czujnik2,38.64, czujnik3,18.30
czujnik1,37.60, czujnik2,39.12, czujnik3,19.15
czujnik1,37.76, czujnik2,38.54, czujnik3,17.87
czujnik1,37.74, czujnik2,40.44, czujnik3,17.82
czujnik1,37.74, czujnik2,38.64, czujnik3,19.17
czujnik1,37.62, czujnik2,39.57, czujnik3,18.28
czujnik1,37.69, czujnik2,38.50, czujnik3,20.87
czujnik1,37.74, czujnik2,38.20, czujnik3,19.10
czujnik1,38.11, czujnik2,39.06, czujnik3,19.12
czujnik1,37.65, czujnik2,39.12, czujnik3,24.23
czujnik1,38.16, czujnik2,38.10, czujnik3,22.96
czujnik1,37.74, czujnik2,39.08, czujnik3,22.48
czujnik1,38.57, czujnik2,45.94, czujnik3,37.93
czujnik1,38.06, czujnik2,40.03, czujnik3,37.91
czujnik1,38.55, czujnik2,38.55, czujnik3,37.52
czujnik1,38.13, czujnik2,37.79, czujnik3,37.82
czujnik1,38.15, czujnik2,39.98, czujnik3,37.93
czujnik1,38.47, czujnik2,39.12, czujnik3,37.09
czujnik1,38.13, czujnik2,39.01, czujnik3,37.50
czujnik1,38.55, czujnik2,38.20, czujnik3,37.81
czujnik1,38.15, czujnik2,43.04, czujnik3,37.96
czujnik1,38.44, czujnik2,38.64, czujnik3,37.45
czujnik1,38.54, czujnik2,39.83, czujnik3,27.62
czujnik1,38.15, czujnik2,40.92, czujnik3,37.79
czujnik1,38.55, czujnik2,40.36, czujnik3,28.35
czujnik1,38.45, czujnik2,38.67, czujnik3,28.03
czujnik1,38.13, czujnik2,45.09, czujnik3,37.93
czujnik1,38.55, czujnik2,38.66, czujnik3,37.81
czujnik1,38.57, czujnik2,38.23, czujnik3,37.41
czujnik1,38.04, czujnik2,37.81, czujnik3,38.28
czujnik1,38.15, czujnik2,38.55, czujnik3,37.87
czujnik1,38.15, czujnik2,39.15, czujnik3,38.62
czujnik1,38.15, czujnik2,39.08, czujnik3,37.91
czujnik1,38.03, czujnik2,38.66, czujnik3,38.32
czujnik1,38.15, czujnik2,38.13, czujnik3,37.50
czujnik1,38.55, czujnik2,39.08, czujnik3,37.77
czujnik1,38.13, czujnik2,37.81, czujnik3,37.96
