.czujnik1,43.44, czujnik2,38.98, czujnik3,19.25
czujnik1,39.37, czujnik2,38.47, czujnik3,19.25
czujnik1,40.80, czujnik2,38.20, czujnik3,19.25
czujnik1,42.62, czujnik2,27.64, czujnik3,19.13
czujnik1,39.91, czujnik2,38.66, czujnik3,19.66
czujnik1,26.24, czujnik2,26.99, czujnik3,19.22
czujnik1,40.71, czujnik2,39.51, czujnik3,19.25
czujnik1,41.17, czujnik2,39.81, czujnik3,19.25
czujnik1,39.08, czujnik2,39.52, czujnik3,18.79
czujnik1,40.75, czujnik2,39.54, czujnik3,19.20
czujnik1,40.19, czujnik2,39.06, czujnik3,19.25
czujnik1,39.95, czujnik2,23.95, czujnik3,18.79
czujnik1,39.95, czujnik2,39.12, czujnik3,19.22
czujnik1,39.18, czujnik2,24.44, czujnik3,18.79
czujnik1,24.74, czujnik2,39.08, czujnik3,19.25
czujnik1,41.89, czujnik2,39.40, czujnik3,19.20
czujnik1,23.57, czujnik2,39.13, czujnik3,19.20
czujnik1,23.98, czujnik2,39.08, czujnik3,19.20
czujnik1,25.10, czujnik2,39.12, czujnik3,19.20
czujnik1,39.52, czujnik2,39.83, czujnik3,19.20
czujnik1,39.18, czujnik2,38.67, czujnik3,19.20
czujnik1,42.43, czujnik2,39.18, czujnik3,20.07
czujnik1,39.06, czujnik2,39.13, czujnik3,19.66
czujnik1,24.74, czujnik2,38.57, czujnik3,19.25
czujnik1,23.59, czujnik2,39.13, czujnik3,19.57
czujnik1,23.10, czujnik2,38.67, czujnik3,19.20
czujnik1,23.42, czujnik2,38.69, czujnik3,19.20
czujnik1,23.93, czujnik2,38.62, czujnik3,19.20
czujnik1,23.04, czujnik2,38.67, czujnik3,19.25
czujnik1,23.11, czujnik2,38.66, czujnik3,19.71
czujnik1,23.01, czujnik2,24.00, czujnik3,19.25
czujnik1,22.67, czujnik2,24.74, czujnik3,19.25
czujnik1,23.11, czujnik2,24.71, czujnik3,19.25
czujnik1,23.06, czujnik2,38.67, czujnik3,19.66
czujnik1,22.55, czujnik2,24.39, czujnik3,19.66
czujnik1,23.50, czujnik2,24.29, czujnik3,19.66
czujnik1,23.47, czujnik2,38.67, czujnik3,19.23
czujnik1,23.47, czujnik2,38.71, czujnik3,19.25
czujnik1,22.99, czujnik2,23.59, czujnik3,19.25
czujnik1,22.64, czujnik2,38.64, czujnik3,19.23
czujnik1,23.06, czujnik2,25.99, czujnik3,19.25
czujnik1,23.06, czujnik2,38.72, czujnik3,19.20
czujnik1,24.59, czujnik2,38.69, czujnik3,19.61
czujnik1,24.13, czujnik2,38.11, czujnik3,19.20
czujnik1,40.80, czujnik2,38.27, czujnik3,19.59
czujnik1,23.83, czujnik2,38.25, czujnik3,19.20
czujnik1,23.72, czujnik2,30.53, czujnik3,19.20
