k1czujnik1,38.35, czujnik2,24.86, czujnik3,20.80
czujnik1,39.57, czujnik2,23.76, czujnik3,20.56
czujnik1,39.49, czujnik2,24.78, czujnik3,19.93
czujnik1,38.61, czujnik2,22.87, czujnik3,19.81
czujnik1,38.20, czujnik2,22.14, czujnik3,20.24
czujnik1,39.12, czujnik2,23.08, czujnik3,20.34
czujnik1,39.05, czujnik2,23.06, czujnik3,20.34
czujnik1,23.11, czujnik2,22.52, czujnik3,21.51
czujnik1,23.11, czujnik2,25.02, czujnik3,22.14
czujnik1,23.03, czujnik2,23.38, czujnik3,22.60
czujnik1,22.86, czujnik2,23.74, czujnik3,21.73
czujnik1,22.96, czujnik2,23.64, czujnik3,22.18
czujnik1,23.42, czujnik2,24.10, czujnik3,22.94
czujnik1,22.96, czujnik2,24.61, czujnik3,24.23
czujnik1,23.78, czujnik2,25.07, czujnik3,23.11
czujnik1,23.93, czujnik2,23.33, czujnik3,19.46
czujnik1,23.95, czujnik2,24.20, czujnik3,20.22
czujnik1,23.16, czujnik2,23.10, czujnik3,19.93
czujnik1,22.65, czujnik2,23.54, czujnik3,21.99
czujnik1,23.20, czujnik2,22.21, czujnik3,21.21
czujnik1,39.17, czujnik2,23.13, czujnik3,20.70
czujnik1,38.74, czujnik2,22.72, czujnik3,20.34
czujnik1,38.61, czujnik2,22.70, czujnik3,20.78
czujnik1,39.97, czujnik2,23.47, czujnik3,19.93
czujnik1,38.33, czujnik2,23.13, czujnik3,19.81
czujnik1,38.37, czujnik2,24.00, czujnik3,19.10
czujnik1,38.61, czujnik2,23.11, czujnik3,19.56
czujnik1,38.74, czujnik2,21.75, czujnik3,19.56
czujnik1,26.17, czujnik2,21.85, czujnik3,19.10
czujnik1,38.74, czujnik2,22.24, czujnik3,19.49
czujnik1,23.45, czujnik2,23.49, czujnik3,19.46
czujnik1,38.74, czujnik2,22.09, czujnik3,19.88
czujnik1,23.57, czujnik2,21.80, czujnik3,19.47
czujnik1,23.98, czujnik2,21.38, czujnik3,19.05
czujnik1,38.64, czujnik2,21.80, czujnik3,19.47
czujnik1,39.15, czujnik2,22.98, czujnik3,19.05
czujnik1,38.74, czujnik2,22.67, czujnik3,19.51
czujnik1,39.57, czujnik2,21.02, czujnik3,19.12
czujnik1,24.34, czujnik2,22.65, czujnik3,19.51
czujnik1,39.20, czujnik2,22.14, czujnik3,19.93
czujnik1,38.72, czujnik2,22.21, czujnik3,20.19
czujnik1,38.78, czujnik2,22.60, czujnik3,20.29
czujnik1,38.64, czujnik2,23.04, czujnik3,20.27
czujnik1,39.61, czujnik2,22.57, czujnik3,20.29
czujnik1,47.26, czujnik2,22.62, czujnik3,20.61
czujnik1,38.76, czujnik2,22.19, czujnik3,20.27
czujnik1,38.66, czujnik2,22.62, czujnik3,20.71
czujnik1,40.37, czujnik2,23.33, czujnik3,21.11
czujnik1,39.56, czujnik2,22.99, czujnik3,21.00
czujnik1,39.98, czujnik2,22.93, czujnik3,21.11
czujnik1,39.51, czujnik2,23.28, czujnik3,22.64
czujnik1,39.56, czujnik2,22.26, czujnik3,21.79
czujnik1,39.17, czujnik2,22.38, czujnik3,21.67
czujnik1,39.18, czujnik2,22.82, czujnik3,21.82
czujnik1,39.10, czujnik2,23.69, czujnik3,23.11
czujnik1,39.22, czujnik2,23.18, czujnik3,22.69
czujnik1,40.02, czujnik2,23.28, czujnik3,22.19
czujnik1,39.61, czujnik2,23.28, czujnik3,21.82
czujnik1,39.47, czujnik2,23.71, czujnik3,21.79
czujnik1,39.59, czujnik2,22.74, czujnik3,21.36
czujnik1,39.57, czujnik2,21.97, czujnik3,21.68
czujnik1,39.56, czujnik2,22.84, czujnik3,21.84
czujnik1,39.51, czujnik2,21.56, czujnik3,21.72
czujnik1,39.56, czujnik2,23.15, czujnik3,20.97
czujnik1,39.56, czujnik2,23.23, czujnik3,21.28
czujnik1,39.59, czujnik2,22.82, czujnik3,21.79
czujnik1,39.47, czujnik2,22.84, czujnik3,22.69
czujnik1,39.57, czujnik2,23.61, czujnik3,37.38
czujnik1,39.22, czujnik2,23.30, czujnik3,22.23
czujnik1,39.57, czujnik2,23.35, czujnik3,21.99
czujnik1,39.10, czujnik2,22.94, czujnik3,22.40
czujnik1,40.43, czujnik2,22.82, czujnik3,21.11
czujnik1,39.98, czujnik2,23.76, czujnik3,23.47
czujnik1,39.59, czujnik2,22.86, czujnik3,21.46
czujnik1,23.93, czujnik2,21.55, czujnik3,37.38
czujnik1,23.55, czujnik2,23.21, czujnik3,22.43
czujnik1,25.26, czujnik2,23.38, czujnik3,21.11
czujnik1,24.44, czujnik2,23.03, czujnik3,21.67
czujnik1,23.95, czujnik2,23.03, czujnik3,19.91
czujnik1,23.96, czujnik2,22.93, czujnik3,20.34
czujnik1,26.19, czujnik2,22.99, czujnik3,21.92
czujnik1,26.12, czujnik2,23.33, czujnik3,21.51
czujnik1,23.93, czujnik2,23.33, czujnik3,20.68
czujnik1,24.00, czujnik2,22.87, czujnik3,21.56
czujnik1,24.39, czujnik2,22.96, czujnik3,20.24
czujnik1,25.32, czujnik2,23.01, czujnik3,19.91
czujnik1,26.51, czujnik2,21.84, czujnik3,20.80
czujnik1,39.22, czujnik2,22.16, czujnik3,19.51
czujnik1,39.22, czujnik2,22.62, czujnik3,20.65
czujnik1,26.58, czujnik2,22.96, czujnik3,21.60
czujnik1,23.88, czujnik2,22.98, czujnik3,21.56
czujnik1,24.80, czujnik2,22.35, czujnik3,22.65
czujnik1,22.33, czujnik2,21.99, czujnik3,21.36
czujnik1,23.57, czujnik2,21.60, czujnik3,21.05
czujnik1,22.69, czujnik2,22.47, czujnik3,22.33
czujnik1,22.81, czujnik2,23.18, czujnik3,21.92
czujnik1,22.79, czujnik2,22.87, czujnik3,20.95
czujnik1,24.01, czujnik2,21.99, czujnik3,23.01
czujnik1,23.01, czujnik2,21.09, czujnik3,19.51
czujnik1,25.39, czujnik2,21.28, czujnik3,19.51
