 czujnik1,22.74, czujnik2,23.03, czujnik3,37.81
czujnik1,22.70, czujnik2,24.10, czujnik3,37.57
czujnik1,23.06, czujnik2,25.97, czujnik3,37.86
czujnik1,22.76, czujnik2,24.35, czujnik3,37.79
czujnik1,22.62, czujnik2,24.68, czujnik3,38.25
czujnik1,23.16, czujnik2,24.80, czujnik3,38.32
czujnik1,22.60, czujnik2,23.88, czujnik3,27.79
czujnik1,23.04, czujnik2,24.13, czujnik3,26.92
czujnik1,23.01, czujnik2,23.78, czujnik3,28.89
czujnik1,23.03, czujnik2,22.96, czujnik3,26.77
czujnik1,22.93, czujnik2,23.72, czujnik3,37.84
czujnik1,39.57, czujnik2,22.60, czujnik3,37.82
czujnik1,22.30, czujnik2,23.52, czujnik3,37.77
czujnik1,21.50, czujnik2,22.70, czujnik3,37.82
czujnik1,21.48, czujnik2,22.67, czujnik3,37.84
czujnik1,21.94, czujnik2,23.06, czujnik3,37.87
czujnik1,22.84, czujnik2,23.21, czujnik3,37.74
czujnik1,22.14, czujnik2,22.91, czujnik3,37.89
czujnik1,22.50, czujnik2,22.96, czujnik3,38.28
czujnik1,23.01, czujnik2,24.03, czujnik3,37.84
czujnik1,26.12, czujnik2,22.64, czujnik3,37.74
czujnik1,25.15, czujnik2,22.55, czujnik3,37.84
czujnik1,38.54, czujnik2,24.25, czujnik3,37.84
czujnik1,39.12, czujnik2,23.21, czujnik3,38.25
czujnik1,26.28, czujnik2,22.87, czujnik3,37.74
czujnik1,22.09, czujnik2,26.65, czujnik3,28.03
czujnik1,22.41, czujnik2,23.93, czujnik3,37.84
czujnik1,23.06, czujnik2,38.98, czujnik3,37.84
czujnik1,38.35, czujnik2,38.66, czujnik3,37.33
czujnik1,38.76, czujnik2,39.57, czujnik3,37.87
czujnik1,39.05, czujnik2,39.13, czujnik3,37.84
czujnik1,39.18, czujnik2,25.82, czujnik3,37.84
czujnik1,39.17, czujnik2,39.13, czujnik3,37.74
czujnik1,39.49, czujnik2,25.14, czujnik3,37.84
czujnik1,39.05, czujnik2,38.69, czujnik3,28.08
czujnik1,38.74, czujnik2,39.01, czujnik3,28.06
czujnik1,38.28, czujnik2,24.71, czujnik3,37.74
czujnik1,38.72, czujnik2,25.99, czujnik3,37.84
czujnik1,23.28, czujnik2,38.69, czujnik3,37.84
czujnik1,38.71, czujnik2,24.27, czujnik3,37.86
czujnik1,23.06, czujnik2,38.64, czujnik3,24.25
