iczujnik1,39.20, czujnik2,6.51, czujnik3,3.76
czujnik1,43.20, czujnik2,39.23, czujnik3,3.50
czujnik1,40.44, czujnik2,7.06, czujnik3,3.91
czujnik1,39.47, czujnik2,6.82, czujnik3,3.95
czujnik1,47.31, czujnik2,39.25, czujnik3,3.96
czujnik1,40.02, czujnik2,7.87, czujnik3,3.96
czujnik1,42.45, czujnik2,6.53, czujnik3,3.95
czujnik1,39.61, czujnik2,7.36, czujnik3,4.27
czujnik1,39.61, czujnik2,6.22, czujnik3,4.37
czujnik1,41.60, czujnik2,7.06, czujnik3,4.35
czujnik1,44.51, czujnik2,6.55, czujnik3,3.91
czujnik1,40.43, czujnik2,7.47, czujnik3,3.86
czujnik1,40.43, czujnik2,6.65, czujnik3,3.55
czujnik1,39.51, czujnik2,6.96, czujnik3,3.55
czujnik1,40.88, czujnik2,6.55, czujnik3,3.40
czujnik1,41.29, czujnik2,7.47, czujnik3,3.50
czujnik1,40.77, czujnik2,5.78, czujnik3,3.50
czujnik1,41.58, czujnik2,39.15, czujnik3,3.49
czujnik1,40.43, czujnik2,8.18, czujnik3,3.84
czujnik1,40.43, czujnik2,39.23, czujnik3,3.95
czujnik1,39.91, czujnik2,39.68, czujnik3,3.55
czujnik1,40.02, czujnik2,7.36, czujnik3,3.96
czujnik1,41.68, czujnik2,8.59, czujnik3,3.49
czujnik1,39.91, czujnik2,6.19, czujnik3,3.55
czujnik1,39.93, czujnik2,5.68, czujnik3,3.89
czujnik1,41.29, czujnik2,5.77, czujnik3,3.86
czujnik1,40.02, czujnik2,6.19, czujnik3,3.49
czujnik1,39.91, czujnik2,5.78, czujnik3,3.49
czujnik1,40.00, czujnik2,7.35, czujnik3,3.96
czujnik1,40.03, czujnik2,38.83, czujnik3,3.55
czujnik1,40.03, czujnik2,7.06, czujnik3,4.00
czujnik1,39.90, czujnik2,7.36, czujnik3,3.95
czujnik1,40.88, czujnik2,38.81, czujnik3,3.91
czujnik1,40.03, czujnik2,6.24, czujnik3,3.96
czujnik1,41.17, czujnik2,6.65, czujnik3,3.96
czujnik1,39.61, czujnik2,8.64, czujnik3,3.89
czujnik1,41.28, czujnik2,8.21, czujnik3,4.68
czujnik1,40.43, czujnik2,38.83, czujnik3,3.89
czujnik1,41.19, czujnik2,8.74, czujnik3,4.00
czujnik1,40.02, czujnik2,6.55, czujnik3,3.93
czujnik1,44.20, czujnik2,6.24, czujnik3,3.95
czujnik1,40.77, czujnik2,8.74, czujnik3,3.55
czujnik1,40.31, czujnik2,6.96, czujnik3,3.96
czujnik1,40.03, czujnik2,8.64, czujnik3,3.84
czujnik1,40.02, czujnik2,6.65, czujnik3,3.50
czujnik1,39.91, czujnik2,8.74, czujnik3,3.54
czujnik1,40.85, czujnik2,6.96, czujnik3,3.54
czujnik1,43.76, czujnik2,6.65, czujnik3,3.96
czujnik1,41.16, czujnik2,38.81, czujnik3,3.49
czujnik1,40.31, czujnik2,6.55, czujnik3,3.49
czujnik1,40.00, czujnik2,7.77, czujnik3,3.44
czujnik1,39.63, czujnik2,39.23, czujnik3,3.96
czujnik1,102.06, czujnik2,6.65, czujnik3,3.54
czujnik1,42.43, czujnik2,6.96, czujnik3,4.42
czujnik1,39.61, czujnik2,7.06, czujnik3,4.32
czujnik1,40.44, czujnik2,6.65, czujnik3,3.95
czujnik1,40.73, czujnik2,39.25, czujnik3,3.96
czujnik1,40.43, czujnik2,39.10, czujnik3,3.54
czujnik1,40.02, czujnik2,6.65, czujnik3,4.35
czujnik1,40.75, czujnik2,7.04, czujnik3,3.91
czujnik1,42.84, czujnik2,7.77, czujnik3,3.49
czujnik1,42.11, czujnik2,7.36, czujnik3,3.38
czujnik1,39.61, czujnik2,7.47, czujnik3,4.01
czujnik1,44.95, czujnik2,39.22, czujnik3,4.00
czujnik1,40.02, czujnik2,6.55, czujnik3,3.96
czujnik1,40.05, czujnik2,9.86, czujnik3,4.27
czujnik1,40.44, czujnik2,7.06, czujnik3,3.96
czujnik1,40.77, czujnik2,7.36, czujnik3,4.42
czujnik1,39.63, czujnik2,6.14, czujnik3,4.30
czujnik1,40.02, czujnik2,7.06, czujnik3,3.96
czujnik1,40.32, czujnik2,6.65, czujnik3,4.78
czujnik1,40.05, czujnik2,6.96, czujnik3,4.40
czujnik1,40.43, czujnik2,8.64, czujnik3,3.84
czujnik1,40.44, czujnik2,6.65, czujnik3,4.42
czujnik1,39.49, czujnik2,6.65, czujnik3,4.00
czujnik1,39.61, czujnik2,9.05, czujnik3,3.89
czujnik1,39.18, czujnik2,6.65, czujnik3,3.96
czujnik1,39.51, czujnik2,9.15, czujnik3,4.78
czujnik1,39.61, czujnik2,6.55, czujnik3,4.83
czujnik1,39.63, czujnik2,5.82, czujnik3,5.60
czujnik1,40.03, czujnik2,6.24, czujnik3,4.78
czujnik1,47.43, czujnik2,6.65, czujnik3,4.78
czujnik1,40.02, czujnik2,39.12, czujnik3,6.48
czujnik1,40.43, czujnik2,6.24, czujnik3,5.19
czujnik1,41.62, czujnik2,39.29, czujnik3,5.29
czujnik1,42.01, czujnik2,39.15, czujnik3,4.37
czujnik1,40.02, czujnik2,6.53, czujnik3,4.32
czujnik1,40.02, czujnik2,6.65, czujnik3,5.65
czujnik1,42.84, czujnik2,6.65, czujnik3,39.29
czujnik1,39.61, czujnik2,39.18, czujnik3,4.78
czujnik1,40.02, czujnik2,39.27, czujnik3,4.63
czujnik1,40.83, czujnik2,39.71, czujnik3,4.27
czujnik1,39.91, czujnik2,39.23, czujnik3,4.30
czujnik1,40.03, czujnik2,5.22, czujnik3,7.19
czujnik1,40.03, czujnik2,5.73, czujnik3,6.26
czujnik1,39.93, czujnik2,5.73, czujnik3,39.69
czujnik1,39.51, czujnik2,5.63, czujnik3,40.20
czujnik1,40.02, czujnik2,5.61, czujnik3,39.57
czujnik1,40.43, czujnik2,5.73, czujnik3,39.30
czujnik1,42.82, czujnik2,5.73, czujnik3,8.88
