jczujnik1,38.64, czujnik2,28.44, czujnik3,37.72
czujnik1,38.55, czujnik2,28.33, czujnik3,37.79
czujnik1,38.47, czujnik2,29.69, czujnik3,38.06
czujnik1,39.05, czujnik2,28.76, czujnik3,38.13
czujnik1,38.96, czujnik2,26.73, czujnik3,38.23
czujnik1,39.47, czujnik2,27.70, czujnik3,38.25
czujnik1,38.93, czujnik2,27.19, czujnik3,37.84
czujnik1,39.80, czujnik2,26.26, czujnik3,37.84
czujnik1,39.01, czujnik2,25.82, czujnik3,38.11
czujnik1,39.06, czujnik2,26.45, czujnik3,38.20
czujnik1,38.54, czujnik2,26.07, czujnik3,37.79
czujnik1,39.88, czujnik2,27.31, czujnik3,37.79
czujnik1,39.06, czujnik2,26.94, czujnik3,37.72
czujnik1,39.06, czujnik2,26.22, czujnik3,28.78
czujnik1,39.35, czujnik2,27.09, czujnik3,37.84
czujnik1,38.64, czujnik2,26.53, czujnik3,37.82
czujnik1,38.69, czujnik2,29.13, czujnik3,37.69
czujnik1,26.87, czujnik2,26.68, czujnik3,37.84
czujnik1,38.95, czujnik2,28.01, czujnik3,38.21
czujnik1,39.46, czujnik2,27.04, czujnik3,37.82
czujnik1,25.60, czujnik2,28.35, czujnik3,38.08
czujnik1,39.03, czujnik2,28.01, czujnik3,37.84
czujnik1,38.95, czujnik2,27.14, czujnik3,38.20
czujnik1,39.51, czujnik2,27.87, czujnik3,37.82
czujnik1,39.46, czujnik2,26.58, czujnik3,37.74
czujnik1,39.44, czujnik2,28.72, czujnik3,37.84
czujnik1,39.35, czujnik2,27.52, czujnik3,37.84
czujnik1,39.46, czujnik2,27.84, czujnik3,37.82
czujnik1,39.47, czujnik2,28.28, czujnik3,38.15
czujnik1,39.49, czujnik2,28.32, czujnik3,37.84
czujnik1,38.98, czujnik2,27.57, czujnik3,38.23
czujnik1,40.29, czujnik2,28.38, czujnik3,37.84
czujnik1,26.89, czujnik2,27.93, czujnik3,38.15
czujnik1,39.42, czujnik2,29.20, czujnik3,38.20
czujnik1,39.78, czujnik2,27.57, czujnik3,37.84
czujnik1,39.42, czujnik2,28.33, czujnik3,37.86
czujnik1,39.47, czujnik2,27.06, czujnik3,38.13
czujnik1,39.93, czujnik2,28.03, czujnik3,38.20
czujnik1,38.95, czujnik2,29.30, czujnik3,37.84
czujnik1,39.46, czujnik2,28.35, czujnik3,38.21
czujnik1,39.01, czujnik2,27.93, czujnik3,37.74
czujnik1,27.30, czujnik2,27.57, czujnik3,38.21
czujnik1,26.36, czujnik2,27.60, czujnik3,37.84
czujnik1,25.95, czujnik2,27.11, czujnik3,38.27
czujnik1,38.64, czujnik2,27.57, czujnik3,38.11
czujnik1,38.62, czujnik2,28.11, czujnik3,37.84
czujnik1,39.00, czujnik2,28.13, czujnik3,37.82
czujnik1,39.08, czujnik2,27.55, czujnik3,38.21
czujnik1,39.10, czujnik2,26.73, czujnik3,38.13
czujnik1,38.18, czujnik2,28.49, czujnik3,38.21
czujnik1,38.54, czujnik2,27.31, czujnik3,37.81
czujnik1,39.06, czujnik2,26.80, czujnik3,38.23
czujnik1,39.08, czujnik2,26.79, czujnik3,37.69
czujnik1,39.42, czujnik2,28.13, czujnik3,37.79
czujnik1,38.13, czujnik2,27.67, czujnik3,38.25
czujnik1,39.10, czujnik2,27.96, czujnik3,38.25
czujnik1,25.20, czujnik2,27.98, czujnik3,38.13
czujnik1,38.64, czujnik2,28.42, czujnik3,38.25
czujnik1,39.32, czujnik2,28.13, czujnik3,37.79
czujnik1,38.66, czujnik2,27.62, czujnik3,37.82
czujnik1,38.66, czujnik2,27.23, czujnik3,37.70
czujnik1,39.05, czujnik2,25.27, czujnik3,28.15
czujnik1,27.60, czujnik2,24.49, czujnik3,38.25
czujnik1,28.11, czujnik2,24.00, czujnik3,30.39
czujnik1,27.41, czujnik2,25.26, czujnik3,37.69
czujnik1,39.93, czujnik2,24.56, czujnik3,37.38
czujnik1,39.81, czujnik2,24.95, czujnik3,29.51
czujnik1,40.29, czujnik2,24.05, czujnik3,31.29
czujnik1,39.86, czujnik2,24.05, czujnik3,37.69
czujnik1,39.95, czujnik2,24.51, czujnik3,37.79
czujnik1,39.37, czujnik2,24.46, czujnik3,38.20
czujnik1,39.05, czujnik2,24.35, czujnik3,38.20
czujnik1,39.47, czujnik2,25.15, czujnik3,38.15
czujnik1,39.93, czujnik2,24.86, czujnik3,37.81
czujnik1,39.35, czujnik2,24.05, czujnik3,38.25
czujnik1,26.82, czujnik2,24.35, czujnik3,38.20
czujnik1,39.06, czujnik2,24.29, czujnik3,37.72
czujnik1,39.47, czujnik2,24.76, czujnik3,37.82
czujnik1,39.39, czujnik2,25.99, czujnik3,38.20
