zuczujnik1,38.78, czujnik2,24.69, czujnik3,25.58
czujnik1,27.62, czujnik2,24.69, czujnik3,25.20
czujnik1,25.78, czujnik2,24.56, czujnik3,25.24
czujnik1,25.95, czujnik2,25.41, czujnik3,25.14
czujnik1,26.72, czujnik2,25.10, czujnik3,24.71
czujnik1,26.55, czujnik2,24.85, czujnik3,24.37
czujnik1,26.41, czujnik2,25.20, czujnik3,24.90
czujnik1,26.43, czujnik2,25.94, czujnik3,24.49
czujnik1,42.09, czujnik2,25.88, czujnik3,23.89
czujnik1,25.99, czujnik2,25.61, czujnik3,23.64
czujnik1,26.38, czujnik2,25.22, czujnik3,24.05
czujnik1,25.12, czujnik2,24.69, czujnik3,23.62
czujnik1,25.27, czujnik2,25.17, czujnik3,24.01
czujnik1,25.27, czujnik2,25.27, czujnik3,23.98
czujnik1,24.76, czujnik2,27.35, czujnik3,24.03
czujnik1,25.07, czujnik2,25.05, czujnik3,23.57
czujnik1,25.17, czujnik2,25.87, czujnik3,23.47
czujnik1,26.45, czujnik2,25.56, czujnik3,23.57
czujnik1,27.96, czujnik2,28.47, czujnik3,23.59
czujnik1,26.33, czujnik2,25.90, czujnik3,24.03
czujnik1,25.58, czujnik2,27.14, czujnik3,23.89
czujnik1,25.63, czujnik2,27.24, czujnik3,23.62
czujnik1,26.34, czujnik2,25.61, czujnik3,23.62
czujnik1,25.48, czujnik2,25.51, czujnik3,24.08
czujnik1,24.34, czujnik2,24.69, czujnik3,23.98
czujnik1,24.81, czujnik2,26.02, czujnik3,24.39
czujnik1,24.64, czujnik2,26.45, czujnik3,24.44
czujnik1,25.07, czujnik2,28.42, czujnik3,24.44
czujnik1,25.20, czujnik2,25.10, czujnik3,23.95
czujnik1,25.15, czujnik2,26.02, czujnik3,23.93
czujnik1,25.51, czujnik2,25.61, czujnik3,24.03
czujnik1,24.64, czujnik2,24.64, czujnik3,23.61
czujnik1,24.76, czujnik2,25.05, czujnik3,23.47
czujnik1,25.15, czujnik2,25.10, czujnik3,24.29
czujnik1,24.64, czujnik2,24.73, czujnik3,23.55
czujnik1,25.05, czujnik2,24.59, czujnik3,23.98
czujnik1,24.35, czujnik2,24.64, czujnik3,23.49
czujnik1,24.35, czujnik2,24.73, czujnik3,23.98
czujnik1,24.66, czujnik2,25.15, czujnik3,23.57
czujnik1,24.25, czujnik2,24.23, czujnik3,23.59
czujnik1,24.81, czujnik2,24.25, czujnik3,23.47
czujnik1,24.40, czujnik2,24.74, czujnik3,23.59
czujnik1,24.23, czujnik2,24.71, czujnik3,23.57
czujnik1,23.95, czujnik2,24.66, czujnik3,23.57
czujnik1,24.76, czujnik2,25.07, czujnik3,23.49
czujnik1,24.80, czujnik2,24.74, czujnik3,23.93
czujnik1,25.99, czujnik2,25.17, czujnik3,23.98
czujnik1,25.58, czujnik2,25.46, czujnik3,23.96
czujnik1,28.23, czujnik2,26.39, czujnik3,23.42
czujnik1,25.61, czujnik2,25.15, czujnik3,23.57
czujnik1,25.97, czujnik2,26.48, czujnik3,23.57
czujnik1,26.45, czujnik2,28.98, czujnik3,23.52
czujnik1,27.36, czujnik2,27.67, czujnik3,23.89
czujnik1,29.10, czujnik2,25.61, czujnik3,23.59
czujnik1,39.90, czujnik2,32.45, czujnik3,23.57
czujnik1,39.18, czujnik2,35.70, czujnik3,23.54
czujnik1,39.56, czujnik2,25.48, czujnik3,23.40
czujnik1,26.89, czujnik2,25.56, czujnik3,23.47
czujnik1,38.27, czujnik2,25.53, czujnik3,23.89
czujnik1,27.19, czujnik2,31.99, czujnik3,23.89
czujnik1,38.38, czujnik2,26.29, czujnik3,23.33
czujnik1,29.42, czujnik2,34.35, czujnik3,23.49
czujnik1,38.27, czujnik2,33.96, czujnik3,23.49
czujnik1,38.37, czujnik2,33.10, czujnik3,23.49
czujnik1,38.38, czujnik2,31.12, czujnik3,23.37
czujnik1,38.37, czujnik2,30.26, czujnik3,23.49
czujnik1,38.28, czujnik2,25.10, czujnik3,23.49
czujnik1,26.33, czujnik2,29.40, czujnik3,23.47
czujnik1,27.70, czujnik2,25.87, czujnik3,23.38
czujnik1,25.99, czujnik2,25.12, czujnik3,23.45
czujnik1,38.27, czujnik2,29.97, czujnik3,23.86
czujnik1,27.55, czujnik2,25.43, czujnik3,23.42
czujnik1,38.35, czujnik2,28.93, czujnik3,23.27
czujnik1,38.37, czujnik2,25.51, czujnik3,23.37
czujnik1,38.27, czujnik2,26.39, czujnik3,24.23
czujnik1,38.35, czujnik2,30.26, czujnik3,24.23
czujnik1,38.35, czujnik2,30.24, czujnik3,24.15
czujnik1,38.78, czujnik2,25.05, czujnik3,23.89
czujnik1,27.52, czujnik2,25.07, czujnik3,23.83
czujnik1,38.76, czujnik2,23.67, czujnik3,23.86
czujnik1,27.19, czujnik2,24.97, czujnik3,23.74
czujnik1,38.78, czujnik2,30.63, czujnik3,23.88
czujnik1,26.70, czujnik2,28.98, czujnik3,23.83
czujnik1,28.38, czujnik2,29.40, czujnik3,24.34
czujnik1,39.23, czujnik2,29.34, czujnik3,24.20
czujnik1,39.63, czujnik2,26.38, czujnik3,23.88
czujnik1,27.11, czujnik2,28.59, czujnik3,24.25
czujnik1,28.37, czujnik2,27.14, czujnik3,23.83
czujnik1,27.67, czujnik2,25.43, czujnik3,23.72
czujnik1,38.76, czujnik2,24.64, czujnik3,23.83
czujnik1,38.62, czujnik2,24.64, czujnik3,23.84
czujnik1,27.13, czujnik2,27.16, czujnik3,23.86
czujnik1,39.17, czujnik2,24.57, czujnik3,23.72
czujnik1,38.76, czujnik2,24.23, czujnik3,23.83
czujnik1,28.42, czujnik2,28.16, czujnik3,23.88
czujnik1,26.28, czujnik2,25.46, czujnik3,23.93
