Zczujnik1,37.86, czujnik2,29.30, czujnik3,25.53
czujnik1,36.63, czujnik2,29.88, czujnik3,25.87
czujnik1,29.25, czujnik2,32.33, czujnik3,25.12
czujnik1,29.80, czujnik2,39.35, czujnik3,25.10
czujnik1,37.52, czujnik2,29.46, czujnik3,25.17
czujnik1,38.32, czujnik2,28.49, czujnik3,25.43
czujnik1,38.62, czujnik2,29.03, czujnik3,25.99
czujnik1,40.41, czujnik2,28.18, czujnik3,26.00
czujnik1,39.20, czujnik2,28.62, czujnik3,25.53
czujnik1,37.50, czujnik2,27.99, czujnik3,25.99
czujnik1,31.38, czujnik2,29.20, czujnik3,26.16
czujnik1,34.74, czujnik2,28.32, czujnik3,26.16
czujnik1,39.22, czujnik2,28.78, czujnik3,26.90
czujnik1,39.23, czujnik2,38.84, czujnik3,26.09
czujnik1,31.05, czujnik2,28.28, czujnik3,25.78
czujnik1,28.54, czujnik2,31.04, czujnik3,26.62
czujnik1,32.13, czujnik2,29.00, czujnik3,25.63
czujnik1,38.01, czujnik2,31.87, czujnik3,26.50
czujnik1,27.09, czujnik2,29.86, czujnik3,27.02
czujnik1,37.94, czujnik2,29.03, czujnik3,26.62
czujnik1,37.07, czujnik2,38.42, czujnik3,37.09
czujnik1,27.70, czujnik2,29.03, czujnik3,26.09
czujnik1,27.55, czujnik2,30.32, czujnik3,37.19
czujnik1,37.50, czujnik2,29.46, czujnik3,31.99
czujnik1,26.79, czujnik2,28.23, czujnik3,26.55
czujnik1,27.26, czujnik2,30.75, czujnik3,37.14
czujnik1,26.39, czujnik2,39.29, czujnik3,37.21
czujnik1,27.98, czujnik2,37.93, czujnik3,36.73
czujnik1,26.75, czujnik2,29.32, czujnik3,31.80
czujnik1,27.60, czujnik2,37.16, czujnik3,37.60
czujnik1,26.65, czujnik2,30.31, czujnik3,30.14
czujnik1,38.81, czujnik2,28.11, czujnik3,26.56
czujnik1,30.88, czujnik2,31.48, czujnik3,26.89
czujnik1,27.21, czujnik2,29.39, czujnik3,26.89
czujnik1,27.93, czujnik2,30.73, czujnik3,31.38
czujnik1,26.65, czujnik2,30.19, czujnik3,36.73
czujnik1,27.57, czujnik2,29.74, czujnik3,32.13
czujnik1,26.29, czujnik2,29.71, czujnik3,30.53
czujnik1,26.60, czujnik2,29.40, czujnik3,25.68
czujnik1,26.58, czujnik2,31.04, czujnik3,26.58
czujnik1,27.19, czujnik2,30.20, czujnik3,26.89
czujnik1,27.67, czujnik2,29.39, czujnik3,30.60
czujnik1,27.55, czujnik2,28.66, czujnik3,26.17
czujnik1,27.09, czujnik2,30.56, czujnik3,31.11
czujnik1,26.73, czujnik2,28.95, czujnik3,37.07
czujnik1,28.06, czujnik2,29.76, czujnik3,25.66
czujnik1,26.19, czujnik2,30.70, czujnik3,30.61
czujnik1,26.60, czujnik2,29.73, czujnik3,25.27
czujnik1,26.28, czujnik2,35.83, czujnik3,28.86
czujnik1,26.70, czujnik2,37.09, czujnik3,26.43
czujnik1,27.02, czujnik2,32.55, czujnik3,25.70
czujnik1,27.45, czujnik2,31.39, czujnik3,26.56
czujnik1,26.68, czujnik2,32.94, czujnik3,28.88
czujnik1,27.16, czujnik2,32.50, czujnik3,26.50
czujnik1,26.19, czujnik2,34.23, czujnik3,29.78
czujnik1,38.78, czujnik2,29.85, czujnik3,30.80
czujnik1,27.16, czujnik2,34.27, czujnik3,25.68
czujnik1,27.60, czujnik2,29.34, czujnik3,26.09
czujnik1,27.45, czujnik2,32.94, czujnik3,25.31
czujnik1,26.12, czujnik2,35.05, czujnik3,29.42
czujnik1,28.30, czujnik2,37.53, czujnik3,26.04
czujnik1,27.04, czujnik2,34.20, czujnik3,26.04
czujnik1,26.53, czujnik2,36.34, czujnik3,27.01
czujnik1,37.99, czujnik2,37.91, czujnik3,26.19
czujnik1,27.11, czujnik2,37.57, czujnik3,26.09
czujnik1,38.42, czujnik2,36.77, czujnik3,28.91
czujnik1,27.04, czujnik2,32.21, czujnik3,25.32
czujnik1,26.99, czujnik2,26.89, czujnik3,25.27
czujnik1,26.68, czujnik2,30.53, czujnik3,25.15
czujnik1,27.09, czujnik2,37.55, czujnik3,25.63
czujnik1,26.56, czujnik2,27.41, czujnik3,25.73
czujnik1,26.09, czujnik2,32.94, czujnik3,29.85
czujnik1,26.60, czujnik2,30.17, czujnik3,25.22
czujnik1,37.09, czujnik2,28.25, czujnik3,25.19
czujnik1,27.01, czujnik2,26.65, czujnik3,26.24
czujnik1,38.76, czujnik2,32.69, czujnik3,25.88
