niczujnik1,27.31, czujnik2,25.19, czujnik3,26.87
czujnik1,27.72, czujnik2,25.60, czujnik3,26.36
czujnik1,27.52, czujnik2,26.60, czujnik3,25.54
czujnik1,27.60, czujnik2,26.04, czujnik3,24.97
czujnik1,26.92, czujnik2,25.29, czujnik3,25.14
czujnik1,26.85, czujnik2,25.48, czujnik3,25.22
czujnik1,27.45, czujnik2,25.88, czujnik3,25.31
czujnik1,26.28, czujnik2,25.36, czujnik3,24.44
czujnik1,27.26, czujnik2,25.73, czujnik3,24.34
czujnik1,27.62, czujnik2,27.59, czujnik3,24.74
czujnik1,26.65, czujnik2,25.83, czujnik3,25.66
czujnik1,27.45, czujnik2,24.85, czujnik3,26.02
czujnik1,28.28, czujnik2,25.68, czujnik3,28.96
czujnik1,37.94, czujnik2,24.91, czujnik3,36.79
czujnik1,37.01, czujnik2,24.91, czujnik3,37.53
czujnik1,37.55, czujnik2,26.09, czujnik3,36.77
czujnik1,33.88, czujnik2,25.22, czujnik3,37.07
czujnik1,29.25, czujnik2,26.24, czujnik3,36.26
czujnik1,38.28, czujnik2,24.91, czujnik3,28.08
czujnik1,27.09, czujnik2,24.86, czujnik3,26.84
czujnik1,27.62, czujnik2,25.71, czujnik3,37.07
czujnik1,35.56, czujnik2,25.37, czujnik3,36.70
czujnik1,37.81, czujnik2,25.78, czujnik3,37.18
czujnik1,26.24, czujnik2,25.20, czujnik3,37.59
czujnik1,29.61, czujnik2,25.26, czujnik3,36.75
czujnik1,25.99, czujnik2,25.37, czujnik3,26.17
czujnik1,26.33, czujnik2,25.83, czujnik3,27.62
czujnik1,36.70, czujnik2,25.68, czujnik3,37.60
czujnik1,28.08, czujnik2,26.14, czujnik3,32.93
czujnik1,39.59, czujnik2,27.52, czujnik3,28.08
czujnik1,27.98, czujnik2,27.11, czujnik3,28.13
czujnik1,27.19, czujnik2,29.97, czujnik3,31.26
czujnik1,28.38, czujnik2,29.86, czujnik3,30.20
czujnik1,28.83, czujnik2,38.01, czujnik3,38.01
czujnik1,28.83, czujnik2,38.44, czujnik3,37.16
czujnik1,32.53, czujnik2,26.55, czujnik3,30.22
czujnik1,38.83, czujnik2,40.97, czujnik3,25.94
czujnik1,38.33, czujnik2,27.62, czujnik3,25.53
czujnik1,38.69, czujnik2,26.75, czujnik3,35.14
czujnik1,38.72, czujnik2,37.87, czujnik3,25.26
czujnik1,30.82, czujnik2,30.29, czujnik3,29.68
czujnik1,27.96, czujnik2,28.96, czujnik3,28.03
czujnik1,27.40, czujnik2,29.93, czujnik3,25.15
czujnik1,27.40, czujnik2,28.06, czujnik3,28.50
czujnik1,38.78, czujnik2,38.01, czujnik3,25.41
czujnik1,28.21, czujnik2,38.42, czujnik3,25.43
czujnik1,29.85, czujnik2,39.27, czujnik3,27.62
czujnik1,39.22, czujnik2,38.30, czujnik3,25.95
czujnik1,26.12, czujnik2,39.29, czujnik3,25.37
czujnik1,26.07, czujnik2,28.08, czujnik3,24.95
czujnik1,25.56, czujnik2,26.34, czujnik3,25.94
czujnik1,26.02, czujnik2,27.11, czujnik3,25.07
czujnik1,26.53, czujnik2,26.17, czujnik3,25.37
czujnik1,26.94, czujnik2,26.29, czujnik3,25.83
czujnik1,26.84, czujnik2,27.57, czujnik3,26.75
czujnik1,28.88, czujnik2,26.19, czujnik3,25.48
czujnik1,27.33, czujnik2,27.47, czujnik3,24.91
czujnik1,38.35, czujnik2,25.43, czujnik3,26.19
czujnik1,37.84, czujnik2,25.77, czujnik3,26.67
czujnik1,36.67, czujnik2,27.67, czujnik3,28.21
czujnik1,38.40, czujnik2,26.38, czujnik3,25.20
czujnik1,37.94, czujnik2,25.29, czujnik3,28.20
czujnik1,27.47, czujnik2,25.43, czujnik3,28.03
