czczujnik1,26.05, czujnik2,24.56, czujnik3,25.68
czujnik1,25.70, czujnik2,24.93, czujnik3,28.10
czujnik1,26.16, czujnik2,24.95, czujnik3,28.93
czujnik1,25.31, czujnik2,24.71, czujnik3,25.10
czujnik1,26.22, czujnik2,25.02, czujnik3,35.19
czujnik1,25.41, czujnik2,25.14, czujnik3,28.20
czujnik1,25.78, czujnik2,25.12, czujnik3,29.05
czujnik1,25.82, czujnik2,25.05, czujnik3,25.20
czujnik1,26.33, czujnik2,24.61, czujnik3,37.55
czujnik1,26.33, czujnik2,25.12, czujnik3,30.70
czujnik1,25.82, czujnik2,25.17, czujnik3,24.74
czujnik1,26.24, czujnik2,25.48, czujnik3,25.65
czujnik1,26.80, czujnik2,25.88, czujnik3,24.23
czujnik1,26.79, czujnik2,25.17, czujnik3,24.69
czujnik1,25.82, czujnik2,25.15, czujnik3,24.80
czujnik1,26.24, czujnik2,25.49, czujnik3,24.39
czujnik1,25.51, czujnik2,25.07, czujnik3,24.30
czujnik1,27.26, czujnik2,24.81, czujnik3,23.91
czujnik1,27.60, czujnik2,24.78, czujnik3,24.85
czujnik1,25.46, czujnik2,24.68, czujnik3,31.62
czujnik1,26.38, czujnik2,24.25, czujnik3,25.58
czujnik1,28.96, czujnik2,24.78, czujnik3,25.58
czujnik1,28.89, czujnik2,24.76, czujnik3,29.05
czujnik1,30.94, czujnik2,24.63, czujnik3,27.06
czujnik1,31.34, czujnik2,24.20, czujnik3,27.31
czujnik1,30.63, czujnik2,24.30, czujnik3,28.23
czujnik1,29.23, czujnik2,24.32, czujnik3,27.41
czujnik1,30.10, czujnik2,24.17, czujnik3,28.69
czujnik1,29.25, czujnik2,24.22, czujnik3,26.85
czujnik1,28.95, czujnik2,24.30, czujnik3,26.90
czujnik1,30.99, czujnik2,24.76, czujnik3,26.19
czujnik1,32.48, czujnik2,24.66, czujnik3,26.19
czujnik1,30.14, czujnik2,24.30, czujnik3,27.31
czujnik1,29.76, czujnik2,24.76, czujnik3,26.94
czujnik1,28.88, czujnik2,24.78, czujnik3,28.28
czujnik1,26.34, czujnik2,24.73, czujnik3,25.83
czujnik1,26.96, czujnik2,24.76, czujnik3,26.21
czujnik1,26.50, czujnik2,24.81, czujnik3,26.14
czujnik1,26.84, czujnik2,24.81, czujnik3,25.77
czujnik1,26.38, czujnik2,24.32, czujnik3,27.91
czujnik1,27.81, czujnik2,24.71, czujnik3,27.87
czujnik1,26.94, czujnik2,24.81, czujnik3,25.83
czujnik1,27.30, czujnik2,24.42, czujnik3,26.33
czujnik1,25.97, czujnik2,24.73, czujnik3,27.14
czujnik1,26.94, czujnik2,25.54, czujnik3,27.41
czujnik1,26.48, czujnik2,24.37, czujnik3,25.22
czujnik1,26.79, czujnik2,24.35, czujnik3,26.22
czujnik1,25.56, czujnik2,24.73, czujnik3,27.11
czujnik1,26.90, czujnik2,24.71, czujnik3,27.43
czujnik1,27.33, czujnik2,24.42, czujnik3,26.14
czujnik1,27.24, czujnik2,24.81, czujnik3,26.22
czujnik1,27.31, czujnik2,24.35, czujnik3,25.41
czujnik1,27.01, czujnik2,24.73, czujnik3,27.06
czujnik1,27.40, czujnik2,25.66, czujnik3,26.14
czujnik1,26.90, czujnik2,25.70, czujnik3,26.73
czujnik1,27.31, czujnik2,25.17, czujnik3,28.38
czujnik1,27.06, czujnik2,24.76, czujnik3,27.01
czujnik1,27.76, czujnik2,25.22, czujnik3,26.55
czujnik1,26.02, czujnik2,25.68, czujnik3,27.47
czujnik1,26.84, czujnik2,25.12, czujnik3,26.62
czujnik1,26.96, czujnik2,25.17, czujnik3,27.84
czujnik1,26.19, czujnik2,25.73, czujnik3,30.39
czujnik1,26.09, czujnik2,26.24, czujnik3,27.57
czujnik1,26.58, czujnik2,25.73, czujnik3,29.32
czujnik1,26.75, czujnik2,25.73, czujnik3,27.99
czujnik1,26.73, czujnik2,25.83, czujnik3,28.33
czujnik1,26.55, czujnik2,26.21, czujnik3,27.94
czujnik1,26.09, czujnik2,26.11, czujnik3,26.72
czujnik1,26.21, czujnik2,25.65, czujnik3,30.44
czujnik1,26.16, czujnik2,26.56, czujnik3,28.64
czujnik1,26.48, czujnik2,25.37, czujnik3,27.99
czujnik1,26.53, czujnik2,26.19, czujnik3,29.35
czujnik1,26.75, czujnik2,25.88, czujnik3,28.13
czujnik1,26.04, czujnik2,26.90, czujnik3,37.69
czujnik1,25.97, czujnik2,26.90, czujnik3,29.93
czujnik1,25.56, czujnik2,26.45, czujnik3,31.79
czujnik1,26.09, czujnik2,26.80, czujnik3,37.96
czujnik1,25.63, czujnik2,26.45, czujnik3,36.05
