uczujnik1,32.91, czujnik2,25.99, czujnik3,26.02
czujnik1,35.87, czujnik2,25.90, czujnik3,26.16
czujnik1,35.00, czujnik2,26.04, czujnik3,26.26
czujnik1,35.00, czujnik2,26.09, czujnik3,29.37
czujnik1,36.28, czujnik2,26.04, czujnik3,28.13
czujnik1,32.53, czujnik2,25.78, czujnik3,26.85
czujnik1,38.25, czujnik2,26.22, czujnik3,29.78
czujnik1,37.14, czujnik2,26.07, czujnik3,36.73
czujnik1,28.32, czujnik2,26.02, czujnik3,36.77
czujnik1,27.91, czujnik2,26.09, czujnik3,26.43
czujnik1,26.96, czujnik2,26.48, czujnik3,25.61
czujnik1,27.36, czujnik2,25.99, czujnik3,27.77
czujnik1,37.13, czujnik2,26.02, czujnik3,28.64
czujnik1,37.98, czujnik2,26.19, czujnik3,28.59
czujnik1,38.27, czujnik2,26.65, czujnik3,29.01
czujnik1,35.51, czujnik2,26.04, czujnik3,27.82
czujnik1,28.32, czujnik2,25.63, czujnik3,27.62
czujnik1,37.14, czujnik2,25.71, czujnik3,28.11
czujnik1,32.19, czujnik2,26.19, czujnik3,26.12
czujnik1,38.78, czujnik2,26.14, czujnik3,27.87
czujnik1,28.06, czujnik2,26.58, czujnik3,30.39
czujnik1,27.72, czujnik2,26.28, czujnik3,27.04
czujnik1,28.47, czujnik2,26.29, czujnik3,30.85
czujnik1,28.42, czujnik2,25.77, czujnik3,27.57
czujnik1,27.31, czujnik2,25.77, czujnik3,27.98
czujnik1,27.30, czujnik2,26.28, czujnik3,26.65
czujnik1,27.60, czujnik2,26.28, czujnik3,27.60
czujnik1,27.14, czujnik2,26.60, czujnik3,26.24
czujnik1,28.08, czujnik2,26.60, czujnik3,27.01
czujnik1,39.13, czujnik2,26.24, czujnik3,27.93
czujnik1,27.50, czujnik2,26.19, czujnik3,26.65
czujnik1,27.45, czujnik2,26.04, czujnik3,27.47
czujnik1,27.98, czujnik2,26.07, czujnik3,28.30
czujnik1,38.32, czujnik2,26.29, czujnik3,27.93
czujnik1,28.42, czujnik2,25.94, czujnik3,29.30
czujnik1,28.08, czujnik2,26.29, czujnik3,29.00
czujnik1,28.20, czujnik2,26.24, czujnik3,27.93
czujnik1,28.13, czujnik2,25.88, czujnik3,27.52
czujnik1,27.62, czujnik2,25.88, czujnik3,29.23
czujnik1,28.38, czujnik2,26.24, czujnik3,27.18
czujnik1,28.10, czujnik2,27.11, czujnik3,27.06
czujnik1,28.57, czujnik2,26.80, czujnik3,26.19
czujnik1,27.96, czujnik2,26.80, czujnik3,28.35
czujnik1,28.06, czujnik2,26.24, czujnik3,28.45
czujnik1,28.44, czujnik2,26.19, czujnik3,27.01
czujnik1,28.55, czujnik2,26.28, czujnik3,29.22
czujnik1,27.19, czujnik2,26.29, czujnik3,27.98
czujnik1,28.45, czujnik2,26.12, czujnik3,28.40
czujnik1,27.64, czujnik2,26.14, czujnik3,27.87
czujnik1,40.00, czujnik2,25.83, czujnik3,29.61
czujnik1,30.43, czujnik2,25.87, czujnik3,27.52
czujnik1,27.65, czujnik2,26.24, czujnik3,28.40
czujnik1,27.76, czujnik2,25.83, czujnik3,28.38
czujnik1,27.36, czujnik2,27.21, czujnik3,27.14
czujnik1,26.80, czujnik2,26.34, czujnik3,27.21
czujnik1,27.26, czujnik2,26.22, czujnik3,26.80
czujnik1,27.33, czujnik2,26.24, czujnik3,26.65
czujnik1,27.30, czujnik2,26.33, czujnik3,27.13
czujnik1,26.80, czujnik2,28.08, czujnik3,27.62
czujnik1,27.26, czujnik2,26.67, czujnik3,27.62
czujnik1,26.96, czujnik2,39.30, czujnik3,27.52
czujnik1,27.38, czujnik2,27.72, czujnik3,29.23
czujnik1,27.31, czujnik2,28.25, czujnik3,27.16
czujnik1,28.18, czujnik2,26.38, czujnik3,31.41
czujnik1,27.36, czujnik2,27.14, czujnik3,28.81
czujnik1,26.99, czujnik2,29.34, czujnik3,28.40
czujnik1,26.92, czujnik2,26.84, czujnik3,28.08
czujnik1,26.89, czujnik2,28.03, czujnik3,32.11
czujnik1,27.38, czujnik2,38.45, czujnik3,26.67
czujnik1,26.89, czujnik2,38.10, czujnik3,26.65
czujnik1,27.19, czujnik2,28.08, czujnik3,26.75
czujnik1,26.43, czujnik2,26.70, czujnik3,30.54
czujnik1,26.99, czujnik2,26.75, czujnik3,32.82
czujnik1,27.82, czujnik2,26.34, czujnik3,30.90
czujnik1,38.20, czujnik2,26.24, czujnik3,29.93
czujnik1,26.79, czujnik2,26.17, czujnik3,30.85
czujnik1,39.13, czujnik2,26.19, czujnik3,29.91
czujnik1,27.26, czujnik2,26.68, czujnik3,28.30
czujnik1,27.62, czujnik2,25.92, czujnik3,31.68
czujnik1,26.43, czujnik2,27.11, czujnik3,26.34
czujnik1,27.76, czujnik2,26.22, czujnik3,28.33
czujnik1,27.77, czujnik2,26.34, czujnik3,26.65
czujnik1,26.79, czujnik2,26.68, czujnik3,27.09
czujnik1,27.53, czujnik2,26.12, czujnik3,27.06
czujnik1,27.30, czujnik2,26.21, czujnik3,27.47
czujnik1,27.81, czujnik2,26.41, czujnik3,28.08
