zczujnik1,38.83, czujnik2,37.23, czujnik3,38.01
czujnik1,38.67, czujnik2,37.23, czujnik3,37.65
czujnik1,39.22, czujnik2,37.64, czujnik3,37.60
czujnik1,39.18, czujnik2,37.57, czujnik3,37.89
czujnik1,28.62, czujnik2,37.60, czujnik3,37.65
czujnik1,29.51, czujnik2,36.79, czujnik3,37.64
czujnik1,29.10, czujnik2,37.14, czujnik3,37.65
czujnik1,27.87, czujnik2,37.91, czujnik3,38.01
czujnik1,28.74, czujnik2,38.47, czujnik3,37.50
czujnik1,28.38, czujnik2,37.55, czujnik3,37.60
czujnik1,27.43, czujnik2,37.64, czujnik3,37.64
czujnik1,29.10, czujnik2,37.96, czujnik3,37.24
czujnik1,28.30, czujnik2,37.53, czujnik3,37.52
czujnik1,27.93, czujnik2,37.64, czujnik3,37.60
czujnik1,28.69, czujnik2,37.14, czujnik3,38.06
czujnik1,28.67, czujnik2,37.04, czujnik3,38.04
czujnik1,28.69, czujnik2,37.62, czujnik3,37.50
czujnik1,30.09, czujnik2,37.16, czujnik3,37.99
czujnik1,28.69, czujnik2,38.04, czujnik3,37.60
czujnik1,29.12, czujnik2,37.50, czujnik3,37.60
czujnik1,29.91, czujnik2,37.99, czujnik3,37.55
czujnik1,28.74, czujnik2,37.55, czujnik3,37.23
czujnik1,30.34, czujnik2,37.59, czujnik3,37.21
czujnik1,28.62, czujnik2,37.93, czujnik3,37.60
czujnik1,38.78, czujnik2,37.50, czujnik3,37.11
czujnik1,38.79, czujnik2,38.06, czujnik3,37.21
czujnik1,29.46, czujnik2,37.55, czujnik3,37.60
czujnik1,38.37, czujnik2,37.45, czujnik3,37.60
czujnik1,39.22, czujnik2,37.62, czujnik3,37.53
czujnik1,30.43, czujnik2,37.55, czujnik3,37.62
czujnik1,29.93, czujnik2,37.60, czujnik3,37.60
czujnik1,29.10, czujnik2,37.52, czujnik3,38.06
czujnik1,29.52, czujnik2,37.14, czujnik3,37.50
czujnik1,28.76, czujnik2,37.99, czujnik3,37.65
czujnik1,27.36, czujnik2,37.55, czujnik3,37.65
czujnik1,28.20, czujnik2,36.79, czujnik3,37.60
czujnik1,28.28, czujnik2,37.53, czujnik3,37.53
czujnik1,29.57, czujnik2,38.06, czujnik3,37.67
czujnik1,29.51, czujnik2,37.55, czujnik3,37.65
czujnik1,28.62, czujnik2,37.45, czujnik3,37.65
czujnik1,27.87, czujnik2,38.01, czujnik3,37.57
czujnik1,28.74, czujnik2,37.21, czujnik3,37.65
czujnik1,27.76, czujnik2,37.55, czujnik3,37.62
czujnik1,38.38, czujnik2,37.48, czujnik3,37.62
czujnik1,27.45, czujnik2,37.18, czujnik3,37.52
czujnik1,31.26, czujnik2,37.18, czujnik3,37.60
czujnik1,30.32, czujnik2,37.60, czujnik3,37.62
czujnik1,39.18, czujnik2,29.61, czujnik3,37.65
czujnik1,37.98, czujnik2,37.09, czujnik3,37.55
czujnik1,26.99, czujnik2,37.60, czujnik3,37.23
czujnik1,26.89, czujnik2,37.53, czujnik3,37.19
czujnik1,38.78, czujnik2,37.48, czujnik3,37.60
czujnik1,39.18, czujnik2,36.72, czujnik3,37.50
czujnik1,32.38, czujnik2,36.33, czujnik3,37.19
czujnik1,38.30, czujnik2,37.13, czujnik3,37.19
czujnik1,38.38, czujnik2,37.02, czujnik3,37.23
czujnik1,38.40, czujnik2,37.96, czujnik3,37.09
czujnik1,38.38, czujnik2,37.99, czujnik3,37.59
czujnik1,28.11, czujnik2,37.55, czujnik3,28.96
czujnik1,38.37, czujnik2,37.47, czujnik3,37.23
czujnik1,38.78, czujnik2,37.94, czujnik3,37.13
czujnik1,38.38, czujnik2,37.13, czujnik3,37.24
czujnik1,38.28, czujnik2,30.70, czujnik3,36.82
czujnik1,38.40, czujnik2,36.70, czujnik3,37.19
czujnik1,37.91, czujnik2,37.53, czujnik3,37.09
czujnik1,38.38, czujnik2,27.79, czujnik3,37.23
czujnik1,37.45, czujnik2,36.70, czujnik3,37.60
czujnik1,38.78, czujnik2,37.41, czujnik3,37.19
czujnik1,37.96, czujnik2,37.94, czujnik3,37.07
czujnik1,37.53, czujnik2,37.93, czujnik3,29.74
czujnik1,38.27, czujnik2,37.94, czujnik3,30.61
czujnik1,37.55, czujnik2,37.87, czujnik3,37.19
czujnik1,37.96, czujnik2,37.98, czujnik3,30.61
czujnik1,37.98, czujnik2,37.52, czujnik3,37.19
czujnik1,29.35, czujnik2,37.50, czujnik3,37.19
czujnik1,37.94, czujnik2,37.02, czujnik3,37.19
czujnik1,37.96, czujnik2,37.09, czujnik3,37.07
czujnik1,38.37, czujnik2,38.86, czujnik3,31.89
czujnik1,37.86, czujnik2,28.59, czujnik3,37.18
czujnik1,38.37, czujnik2,36.72, czujnik3,37.18
czujnik1,37.98, czujnik2,37.16, czujnik3,37.13
czujnik1,37.96, czujnik2,37.53, czujnik3,30.60
czujnik1,38.67, czujnik2,38.44, czujnik3,37.62
czujnik1,37.96, czujnik2,29.27, czujnik3,36.77
czujnik1,37.94, czujnik2,37.94, czujnik3,36.79
czujnik1,37.96, czujnik2,37.94, czujnik3,30.19
czujnik1,38.27, czujnik2,37.52, czujnik3,37.18
czujnik1,37.53, czujnik2,37.45, czujnik3,37.18
czujnik1,37.98, czujnik2,37.59, czujnik3,37.48
czujnik1,38.81, czujnik2,37.57, czujnik3,37.24
czujnik1,39.13, czujnik2,37.57, czujnik3,37.59
czujnik1,39.54, czujnik2,37.45, czujnik3,37.24
czujnik1,40.44, czujnik2,37.55, czujnik3,37.09
czujnik1,38.81, czujnik2,37.53, czujnik3,37.19
czujnik1,38.27, czujnik2,37.55, czujnik3,37.60
czujnik1,38.76, czujnik2,37.50, czujnik3,37.65
czujnik1,38.33, czujnik2,37.19, czujnik3,37.55
czujnik1,38.79, czujnik2,37.59, czujnik3,37.62
czujnik1,38.25, czujnik2,37.55, czujnik3,37.19
czujnik1,39.20, czujnik2,37.02, czujnik3,37.64
