jnik1,27.21, czujnik2,30.19, czujnik3,38.01
czujnik1,27.62, czujnik2,28.13, czujnik3,29.74
czujnik1,27.21, czujnik2,30.19, czujnik3,38.01
czujnik1,37.89, czujnik2,29.30, czujnik3,29.44
czujnik1,38.20, czujnik2,25.99, czujnik3,26.99
czujnik1,37.89, czujnik2,27.33, czujnik3,28.61
czujnik1,37.77, czujnik2,29.59, czujnik3,27.74
czujnik1,37.81, czujnik2,27.57, czujnik3,29.17
czujnik1,37.84, czujnik2,26.67, czujnik3,27.57
czujnik1,37.48, czujnik2,26.97, czujnik3,28.40
czujnik1,37.45, czujnik2,26.11, czujnik3,27.47
czujnik1,28.57, czujnik2,27.09, czujnik3,27.98
czujnik1,27.21, czujnik2,28.86, czujnik3,28.81
czujnik1,28.08, czujnik2,37.84, czujnik3,29.78
czujnik1,26.53, czujnik2,27.45, czujnik3,28.35
czujnik1,27.77, czujnik2,39.34, czujnik3,28.40
czujnik1,28.89, czujnik2,27.11, czujnik3,30.03
czujnik1,27.69, czujnik2,26.58, czujnik3,28.45
czujnik1,37.50, czujnik2,27.47, czujnik3,29.63
czujnik1,27.36, czujnik2,27.57, czujnik3,29.66
czujnik1,26.85, czujnik2,27.55, czujnik3,28.79
czujnik1,27.26, czujnik2,27.45, czujnik3,29.32
czujnik1,28.95, czujnik2,27.87, czujnik3,29.17
czujnik1,27.36, czujnik2,27.09, czujnik3,30.90
czujnik1,29.35, czujnik2,27.09, czujnik3,30.00
czujnik1,29.35, czujnik2,27.43, czujnik3,28.88
czujnik1,29.35, czujnik2,39.32, czujnik3,29.22
czujnik1,27.79, czujnik2,27.55, czujnik3,29.63
czujnik1,28.06, czujnik2,28.83, czujnik3,27.99
czujnik1,27.67, czujnik2,28.72, czujnik3,29.78
czujnik1,27.35, czujnik2,28.32, czujnik3,28.81
czujnik1,26.53, czujnik2,29.59, czujnik3,29.66
czujnik1,26.43, czujnik2,39.35, czujnik3,30.49
czujnik1,26.02, czujnik2,28.32, czujnik3,28.50
czujnik1,26.12, czujnik2,29.64, czujnik3,28.81
czujnik1,26.53, czujnik2,29.64, czujnik3,29.27
czujnik1,25.61, czujnik2,30.22, czujnik3,30.14
czujnik1,25.19, czujnik2,30.05, czujnik3,31.05
czujnik1,25.71, czujnik2,29.64, czujnik3,29.25
czujnik1,25.71, czujnik2,29.66, czujnik3,29.73
czujnik1,25.61, czujnik2,31.02, czujnik3,29.73
czujnik1,25.17, czujnik2,30.10, czujnik3,29.42
czujnik1,25.26, czujnik2,28.84, czujnik3,28.89
czujnik1,24.85, czujnik2,29.71, czujnik3,28.86
czujnik1,24.74, czujnik2,29.35, czujnik3,28.40
czujnik1,24.73, czujnik2,30.07, czujnik3,28.96
czujnik1,24.85, czujnik2,28.84, czujnik3,28.86
czujnik1,25.71, czujnik2,28.84, czujnik3,28.45
czujnik1,25.20, czujnik2,28.95, czujnik3,29.27
czujnik1,24.74, czujnik2,29.66, czujnik3,28.96
czujnik1,25.71, czujnik2,29.71, czujnik3,29.73
czujnik1,25.29, czujnik2,29.27, czujnik3,29.68
czujnik1,25.61, czujnik2,29.78, czujnik3,30.14
czujnik1,25.63, czujnik2,30.97, czujnik3,30.70
czujnik1,25.73, czujnik2,30.12, czujnik3,30.15
czujnik1,25.73, czujnik2,30.12, czujnik3,28.91
