zujnik1,39.90, czujnik2,39.63, czujnik3,4.32
czujnik1,40.07, czujnik2,40.44, czujnik3,4.78
czujnik1,39.90, czujnik2,39.63, czujnik3,4.32
czujnik1,40.07, czujnik2,40.44, czujnik3,4.78
czujnik1,39.63, czujnik2,39.63, czujnik3,39.27
czujnik1,40.37, czujnik2,40.32, czujnik3,39.03
czujnik1,39.49, czujnik2,39.52, czujnik3,39.15
czujnik1,39.61, czujnik2,40.00, czujnik3,39.15
czujnik1,39.63, czujnik2,40.97, czujnik3,40.53
czujnik1,39.63, czujnik2,40.10, czujnik3,39.23
czujnik1,39.52, czujnik2,39.68, czujnik3,39.30
czujnik1,40.03, czujnik2,39.98, czujnik3,38.86
czujnik1,39.61, czujnik2,39.69, czujnik3,39.18
czujnik1,39.59, czujnik2,39.68, czujnik3,39.34
czujnik1,39.95, czujnik2,40.10, czujnik3,39.27
czujnik1,39.61, czujnik2,39.59, czujnik3,39.23
czujnik1,40.02, czujnik2,39.64, czujnik3,6.68
czujnik1,40.48, czujnik2,39.64, czujnik3,7.09
czujnik1,39.97, czujnik2,39.23, czujnik3,5.49
czujnik1,40.07, czujnik2,39.12, czujnik3,4.68
czujnik1,40.07, czujnik2,39.68, czujnik3,5.03
czujnik1,40.03, czujnik2,40.56, czujnik3,5.54
czujnik1,39.98, czujnik2,40.99, czujnik3,5.14
czujnik1,39.61, czujnik2,40.95, czujnik3,5.10
czujnik1,39.63, czujnik2,39.68, czujnik3,5.44
czujnik1,40.37, czujnik2,40.12, czujnik3,5.14
czujnik1,39.54, czujnik2,40.43, czujnik3,5.15
czujnik1,39.61, czujnik2,40.03, czujnik3,5.03
czujnik1,39.63, czujnik2,39.66, czujnik3,4.73
czujnik1,39.52, czujnik2,39.68, czujnik3,4.73
czujnik1,39.61, czujnik2,39.10, czujnik3,5.14
czujnik1,39.57, czujnik2,40.94, czujnik3,4.63
czujnik1,40.02, czujnik2,39.66, czujnik3,4.73
czujnik1,39.10, czujnik2,39.22, czujnik3,4.73
czujnik1,39.20, czujnik2,40.44, czujnik3,4.73
czujnik1,40.03, czujnik2,39.20, czujnik3,4.63
czujnik1,39.66, czujnik2,40.14, czujnik3,4.73
czujnik1,39.88, czujnik2,40.60, czujnik3,4.73
czujnik1,39.63, czujnik2,40.00, czujnik3,4.73
czujnik1,40.49, czujnik2,40.53, czujnik3,4.63
czujnik1,39.51, czujnik2,39.66, czujnik3,5.60
czujnik1,39.97, czujnik2,39.10, czujnik3,4.73
czujnik1,40.02, czujnik2,40.48, czujnik3,4.63
czujnik1,39.20, czujnik2,39.64, czujnik3,4.73
czujnik1,40.80, czujnik2,40.61, czujnik3,4.32
czujnik1,40.34, czujnik2,40.00, czujnik3,4.73
czujnik1,39.59, czujnik2,40.10, czujnik3,4.63
czujnik1,40.07, czujnik2,39.20, czujnik3,4.73
czujnik1,39.52, czujnik2,39.20, czujnik3,4.32
czujnik1,39.61, czujnik2,40.00, czujnik3,4.73
czujnik1,39.61, czujnik2,39.22, czujnik3,4.22
czujnik1,40.05, czujnik2,40.56, czujnik3,4.73
czujnik1,39.52, czujnik2,39.64, czujnik3,4.32
czujnik1,40.03, czujnik2,39.54, czujnik3,4.32
czujnik1,40.03, czujnik2,39.64, czujnik3,4.22
czujnik1,39.08, czujnik2,40.10, czujnik3,5.19
czujnik1,40.39, czujnik2,40.00, czujnik3,4.73
czujnik1,39.61, czujnik2,39.57, czujnik3,4.63
czujnik1,40.05, czujnik2,40.09, czujnik3,4.32
czujnik1,39.51, czujnik2,40.09, czujnik3,4.32
czujnik1,40.05, czujnik2,40.46, czujnik3,4.73
czujnik1,40.07, czujnik2,39.68, czujnik3,4.63
czujnik1,40.03, czujnik2,40.10, czujnik3,4.73
czujnik1,39.52, czujnik2,39.64, czujnik3,4.73
czujnik1,39.59, czujnik2,39.98, czujnik3,4.73
