0.czujnik1,13.40, czujnik2,15.29, czujnik3,9.29
czujnik1,13.38, czujnik2,11.41, czujnik3,8.74
czujnik1,11.77, czujnik2,13.91, czujnik3,8.84
czujnik1,12.53, czujnik2,11.00, czujnik3,9.44
czujnik1,13.08, czujnik2,11.12, czujnik3,9.74
czujnik1,14.44, czujnik2,11.24, czujnik3,9.80
czujnik1,13.95, czujnik2,12.06, czujnik3,9.44
czujnik1,13.50, czujnik2,11.55, czujnik3,9.37
czujnik1,12.77, czujnik2,11.96, czujnik3,8.88
czujnik1,12.65, czujnik2,11.24, czujnik3,9.80
czujnik1,12.65, czujnik2,13.64, czujnik3,8.98
czujnik1,13.52, czujnik2,11.96, czujnik3,9.34
czujnik1,13.57, czujnik2,14.73, czujnik3,8.45
czujnik1,12.65, czujnik2,12.01, czujnik3,8.57
czujnik1,12.19, czujnik2,12.72, czujnik3,8.52
czujnik1,11.79, czujnik2,14.00, czujnik3,8.47
czujnik1,12.76, czujnik2,11.50, czujnik3,8.47
czujnik1,11.84, czujnik2,12.01, czujnik3,8.98
czujnik1,12.24, czujnik2,13.18, czujnik3,8.98
czujnik1,11.94, czujnik2,11.09, czujnik3,8.93
czujnik1,12.76, czujnik2,39.46, czujnik3,8.88
czujnik1,13.08, czujnik2,12.47, czujnik3,9.39
czujnik1,12.19, czujnik2,10.68, czujnik3,9.39
czujnik1,12.35, czujnik2,13.59, czujnik3,8.45
czujnik1,13.93, czujnik2,10.78, czujnik3,8.88
czujnik1,14.63, czujnik2,11.09, czujnik3,8.98
czujnik1,13.11, czujnik2,11.55, czujnik3,8.88
czujnik1,15.48, czujnik2,11.55, czujnik3,8.88
czujnik1,12.70, czujnik2,11.24, czujnik3,9.39
czujnik1,13.11, czujnik2,11.14, czujnik3,9.44
czujnik1,13.13, czujnik2,11.19, czujnik3,10.20
czujnik1,14.51, czujnik2,10.48, czujnik3,10.66
czujnik1,39.91, czujnik2,10.46, czujnik3,11.14
czujnik1,39.61, czujnik2,11.24, czujnik3,10.78
czujnik1,16.75, czujnik2,10.37, czujnik3,10.68
czujnik1,18.03, czujnik2,11.19, czujnik3,10.66
czujnik1,14.39, czujnik2,10.48, czujnik3,10.66
czujnik1,16.34, czujnik2,10.78, czujnik3,11.24
czujnik1,17.09, czujnik2,10.37, czujnik3,11.55
czujnik1,39.57, czujnik2,10.48, czujnik3,11.07
czujnik1,39.83, czujnik2,11.29, czujnik3,10.27
czujnik1,17.07, czujnik2,12.01, czujnik3,10.31
czujnik1,39.18, czujnik2,16.02, czujnik3,9.29
czujnik1,14.39, czujnik2,39.46, czujnik3,8.86
czujnik1,13.06, czujnik2,13.74, czujnik3,8.98
czujnik1,13.47, czujnik2,39.37, czujnik3,9.80
czujnik1,12.65, czujnik2,12.36, czujnik3,9.34
czujnik1,12.76, czujnik2,12.36, czujnik3,9.29
czujnik1,11.84, czujnik2,12.87, czujnik3,8.93
czujnik1,11.38, czujnik2,11.90, czujnik3,8.55
czujnik1,11.48, czujnik2,11.09, czujnik3,8.45
czujnik1,10.97, czujnik2,12.41, czujnik3,8.55
czujnik1,12.26, czujnik2,12.36, czujnik3,9.03
