czujnik1,19.74, czujnik2,2296.73, czujnik3,39.61
czujnik1,20.17, czujnik2,42.99, czujnik3,40.02
czujnik1,41.29, czujnik2,0.00, czujnik3,40.02
czujnik1,41.24, czujnik2,42.55, czujnik3,39.63
czujnik1,21.02, czujnik2,50.44, czujnik3,40.02
czujnik1,42.59, czujnik2,41.53, czujnik3,39.93
czujnik1,41.36, czujnik2,670.22, czujnik3,39.93
czujnik1,19.66, czujnik2,42.89, czujnik3,39.35
czujnik1,41.72, czujnik2,441.04, czujnik3,39.61
czujnik1,41.77, czujnik2,41.67, czujnik3,39.64
czujnik1,41.04, czujnik2,53.67, czujnik3,39.63
czujnik1,41.28, czujnik2,41.33, czujnik3,39.63
czujnik1,19.34, czujnik2,42.13, czujnik3,39.44
czujnik1,41.29, czujnik2,42.76, czujnik3,39.74
czujnik1,41.02, czujnik2,43.10, czujnik3,39.98
czujnik1,45.49, czujnik2,42.53, czujnik3,39.51
czujnik1,40.63, czujnik2,46.53, czujnik3,39.98
czujnik1,20.61, czujnik2,44.85, czujnik3,40.03
czujnik1,41.21, czujnik2,41.70, czujnik3,39.63
czujnik1,41.29, czujnik2,42.50, czujnik3,39.52
czujnik1,20.61, czujnik2,42.57, czujnik3,39.61
czujnik1,43.78, czujnik2,0.00, czujnik3,39.63
czujnik1,47.07, czujnik2,0.00, czujnik3,40.07
czujnik1,42.18, czujnik2,0.00, czujnik3,39.61
czujnik1,20.17, czujnik2,43.18, czujnik3,40.02
czujnik1,20.17, czujnik2,42.41, czujnik3,39.88
czujnik1,40.73, czujnik2,52.99, czujnik3,40.00
czujnik1,43.96, czujnik2,52.87, czujnik3,39.91
czujnik1,19.66, czujnik2,41.24, czujnik3,39.52
czujnik1,40.90, czujnik2,42.60, czujnik3,40.05
czujnik1,40.88, czujnik2,42.55, czujnik3,39.61
czujnik1,42.64, czujnik2,0.00, czujnik3,39.52
czujnik1,43.66, czujnik2,41.79, czujnik3,39.61
czujnik1,20.17, czujnik2,237.86, czujnik3,39.52
czujnik1,41.56, czujnik2,43.04, czujnik3,39.61
czujnik1,45.31, czujnik2,53.83, czujnik3,39.49
czujnik1,40.92, czujnik2,41.29, czujnik3,39.51
czujnik1,41.38, czujnik2,41.82, czujnik3,39.59
czujnik1,20.15, czujnik2,42.52, czujnik3,39.88
czujnik1,41.68, czujnik2,42.52, czujnik3,40.02
czujnik1,41.34, czujnik2,41.70, czujnik3,40.02
czujnik1,40.88, czujnik2,41.96, czujnik3,39.61
czujnik1,44.64, czujnik2,42.82, czujnik3,39.51
czujnik1,20.17, czujnik2,42.64, czujnik3,39.97
czujnik1,42.16, czujnik2,42.62, czujnik3,39.61
czujnik1,42.84, czujnik2,46.45, czujnik3,40.02
czujnik1,41.67, czujnik2,44.30, czujnik3,39.51
czujnik1,42.94, czujnik2,42.16, czujnik3,39.61
czujnik1,41.14, czujnik2,41.80, czujnik3,39.61
czujnik1,44.54, czujnik2,41.70, czujnik3,39.59
czujnik1,48.33, czujnik2,0.00, czujnik3,39.61
czujnik1,44.10, czujnik2,42.19, czujnik3,39.63
czujnik1,43.79, czujnik2,41.73, czujnik3,39.52
czujnik1,20.92, czujnik2,42.01, czujnik3,39.37
czujnik1,41.96, czujnik2,43.40, czujnik3,39.49
czujnik1,46.04, czujnik2,41.92, czujnik3,39.47
