iczujnik1,9.61, czujnik2,27.45, czujnik3,41.77
czujnik1,9.47, czujnik2,42.09, czujnik3,41.50
czujnik1,9.37, czujnik2,41.36, czujnik3,41.50
czujnik1,9.49, czujnik2,41.45, czujnik3,41.38
czujnik1,9.37, czujnik2,26.17, czujnik3,41.34
czujnik1,9.34, czujnik2,41.46, czujnik3,41.87
czujnik1,9.51, czujnik2,41.34, czujnik3,41.94
czujnik1,9.52, czujnik2,24.93, czujnik3,41.80
czujnik1,9.61, czujnik2,41.45, czujnik3,41.41
czujnik1,9.51, czujnik2,41.46, czujnik3,41.89
czujnik1,9.51, czujnik2,26.21, czujnik3,41.50
czujnik1,9.61, czujnik2,41.34, czujnik3,42.59
czujnik1,9.61, czujnik2,41.45, czujnik3,41.79
czujnik1,9.51, czujnik2,41.45, czujnik3,41.87
czujnik1,9.52, czujnik2,23.69, czujnik3,41.87
czujnik1,9.61, czujnik2,41.77, czujnik3,41.39
czujnik1,9.61, czujnik2,24.61, czujnik3,41.79
czujnik1,9.51, czujnik2,41.84, czujnik3,41.11
czujnik1,9.51, czujnik2,41.75, czujnik3,41.87
czujnik1,9.61, czujnik2,41.85, czujnik3,42.18
czujnik1,9.63, czujnik2,42.21, czujnik3,42.30
czujnik1,9.51, czujnik2,25.05, czujnik3,42.28
czujnik1,9.51, czujnik2,41.36, czujnik3,41.43
czujnik1,9.61, czujnik2,41.85, czujnik3,41.79
czujnik1,9.52, czujnik2,41.46, czujnik3,41.51
czujnik1,9.51, czujnik2,42.18, czujnik3,41.89
czujnik1,9.51, czujnik2,41.34, czujnik3,42.14
czujnik1,9.61, czujnik2,24.66, czujnik3,41.77
czujnik1,9.52, czujnik2,41.82, czujnik3,41.89
czujnik1,9.51, czujnik2,42.52, czujnik3,41.87
czujnik1,9.63, czujnik2,26.19, czujnik3,41.80
czujnik1,9.61, czujnik2,41.85, czujnik3,41.41
czujnik1,9.51, czujnik2,25.88, czujnik3,41.53
czujnik1,9.51, czujnik2,42.52, czujnik3,42.23
czujnik1,9.63, czujnik2,41.84, czujnik3,41.41
czujnik1,9.61, czujnik2,41.43, czujnik3,41.89
czujnik1,9.51, czujnik2,41.07, czujnik3,41.89
czujnik1,9.51, czujnik2,22.87, czujnik3,41.87
czujnik1,9.61, czujnik2,26.19, czujnik3,40.99
czujnik1,9.57, czujnik2,41.43, czujnik3,41.92
czujnik1,9.51, czujnik2,24.54, czujnik3,41.51
czujnik1,9.51, czujnik2,41.34, czujnik3,41.41
czujnik1,9.63, czujnik2,25.48, czujnik3,41.77
czujnik1,9.51, czujnik2,27.57, czujnik3,41.87
czujnik1,9.51, czujnik2,41.73, czujnik3,41.46
czujnik1,9.61, czujnik2,24.08, czujnik3,41.75
czujnik1,9.61, czujnik2,42.24, czujnik3,41.39
czujnik1,9.51, czujnik2,41.43, czujnik3,41.90
czujnik1,9.52, czujnik2,41.34, czujnik3,41.50
czujnik1,9.61, czujnik2,41.45, czujnik3,41.79
czujnik1,9.63, czujnik2,41.82, czujnik3,41.85
czujnik1,9.52, czujnik2,41.84, czujnik3,41.87
czujnik1,9.51, czujnik2,24.10, czujnik3,41.92
czujnik1,9.63, czujnik2,25.07, czujnik3,41.75
czujnik1,9.61, czujnik2,25.88, czujnik3,41.87
czujnik1,9.52, czujnik2,41.38, czujnik3,41.50
czujnik1,9.51, czujnik2,41.73, czujnik3,41.77
czujnik1,9.63, czujnik2,24.64, czujnik3,41.41
czujnik1,9.51, czujnik2,25.88, czujnik3,41.89
czujnik1,9.51, czujnik2,41.75, czujnik3,41.50
