jczujnik1,9.91, czujnik2,10.85, czujnik3,42.19
czujnik1,9.90, czujnik2,10.49, czujnik3,41.28
czujnik1,9.90, czujnik2,10.68, czujnik3,24.22
czujnik1,10.39, czujnik2,10.27, czujnik3,23.89
czujnik1,9.80, czujnik2,10.44, czujnik3,41.82
czujnik1,10.03, czujnik2,10.68, czujnik3,41.92
czujnik1,9.91, czujnik2,10.68, czujnik3,41.92
czujnik1,10.34, czujnik2,10.58, czujnik3,23.91
czujnik1,10.03, czujnik2,10.53, czujnik3,41.39
czujnik1,10.44, czujnik2,10.65, czujnik3,41.50
czujnik1,9.93, czujnik2,10.63, czujnik3,41.90
czujnik1,10.34, czujnik2,10.12, czujnik3,23.91
czujnik1,10.44, czujnik2,10.58, czujnik3,42.19
czujnik1,10.02, czujnik2,10.63, czujnik3,41.90
czujnik1,10.80, czujnik2,10.68, czujnik3,41.92
czujnik1,9.93, czujnik2,10.58, czujnik3,41.82
czujnik1,10.03, czujnik2,10.53, czujnik3,41.82
czujnik1,10.90, czujnik2,10.70, czujnik3,24.32
czujnik1,9.93, czujnik2,10.14, czujnik3,23.89
czujnik1,10.78, czujnik2,10.58, czujnik3,42.21
czujnik1,9.61, czujnik2,10.54, czujnik3,42.21
czujnik1,9.91, czujnik2,10.65, czujnik3,24.30
czujnik1,10.37, czujnik2,10.58, czujnik3,41.50
czujnik1,9.93, czujnik2,10.54, czujnik3,41.80
czujnik1,10.03, czujnik2,10.65, czujnik3,24.22
czujnik1,10.80, czujnik2,10.63, czujnik3,42.74
czujnik1,9.91, czujnik2,10.60, czujnik3,43.13
czujnik1,10.02, czujnik2,10.54, czujnik3,41.80
czujnik1,10.03, czujnik2,10.60, czujnik3,41.80
czujnik1,10.80, czujnik2,10.63, czujnik3,41.92
czujnik1,10.34, czujnik2,10.53, czujnik3,41.51
czujnik1,10.02, czujnik2,10.53, czujnik3,41.82
czujnik1,10.90, czujnik2,10.58, czujnik3,25.07
czujnik1,9.91, czujnik2,11.09, czujnik3,24.73
czujnik1,10.34, czujnik2,10.17, czujnik3,23.86
czujnik1,10.34, czujnik2,10.58, czujnik3,24.23
czujnik1,10.44, czujnik2,10.99, czujnik3,24.22
czujnik1,10.80, czujnik2,10.65, czujnik3,41.50
czujnik1,10.80, czujnik2,10.54, czujnik3,41.92
czujnik1,10.34, czujnik2,10.53, czujnik3,24.22
czujnik1,10.03, czujnik2,10.53, czujnik3,41.82
czujnik1,9.93, czujnik2,10.70, czujnik3,43.15
czujnik1,10.39, czujnik2,10.58, czujnik3,24.32
czujnik1,10.03, czujnik2,10.19, czujnik3,41.82
czujnik1,10.03, czujnik2,10.27, czujnik3,41.41
czujnik1,9.93, czujnik2,10.27, czujnik3,24.32
czujnik1,9.93, czujnik2,10.17, czujnik3,41.92
czujnik1,10.44, czujnik2,10.99, czujnik3,41.41
czujnik1,10.03, czujnik2,10.29, czujnik3,41.80
czujnik1,9.91, czujnik2,10.65, czujnik3,42.31
czujnik1,9.51, czujnik2,10.53, czujnik3,24.32
czujnik1,10.03, czujnik2,10.58, czujnik3,41.41
czujnik1,10.03, czujnik2,10.68, czujnik3,42.64
czujnik1,10.34, czujnik2,10.70, czujnik3,42.33
czujnik1,9.91, czujnik2,10.14, czujnik3,23.91
czujnik1,10.44, czujnik2,10.58, czujnik3,42.64
czujnik1,10.44, czujnik2,10.70, czujnik3,23.89
czujnik1,9.91, czujnik2,11.04, czujnik3,24.30
czujnik1,10.32, czujnik2,10.60, czujnik3,41.92
czujnik1,10.43, czujnik2,10.54, czujnik3,41.80
