k1,15.39, czujnik2,9.71, czujnik3,12.79
czujnik1,15.39, czujnik2,9.40, czujnik3,13.55
czujnik1,15.39, czujnik2,9.71, czujnik3,12.79
czujnik1,15.39, czujnik2,9.71, czujnik3,12.79
czujnik1,12.99, czujnik2,9.88, czujnik3,13.03
czujnik1,42.14, czujnik2,9.27, czujnik3,12.14
czujnik1,41.85, czujnik2,10.27, czujnik3,12.19
czujnik1,12.87, czujnik2,9.73, czujnik3,12.28
czujnik1,41.79, czujnik2,9.40, czujnik3,12.35
czujnik1,14.98, czujnik2,9.81, czujnik3,13.15
czujnik1,14.98, czujnik2,9.32, czujnik3,13.61
czujnik1,13.01, czujnik2,9.30, czujnik3,12.33
czujnik1,42.24, czujnik2,9.83, czujnik3,16.80
czujnik1,42.14, czujnik2,9.30, czujnik3,11.56
czujnik1,15.82, czujnik2,9.76, czujnik3,13.15
czujnik1,42.36, czujnik2,9.76, czujnik3,11.92
czujnik1,42.23, czujnik2,9.88, czujnik3,16.80
czujnik1,41.48, czujnik2,9.78, czujnik3,12.43
czujnik1,42.40, czujnik2,9.30, czujnik3,13.61
czujnik1,41.58, czujnik2,9.40, czujnik3,11.87
czujnik1,13.01, czujnik2,9.86, czujnik3,14.69
czujnik1,41.46, czujnik2,9.76, czujnik3,12.84
czujnik1,16.22, czujnik2,9.76, czujnik3,15.53
czujnik1,42.28, czujnik2,9.40, czujnik3,11.46
czujnik1,15.39, czujnik2,9.86, czujnik3,13.57
czujnik1,15.82, czujnik2,9.76, czujnik3,12.43
czujnik1,14.25, czujnik2,9.32, czujnik3,13.15
czujnik1,41.89, czujnik2,9.86, czujnik3,11.87
czujnik1,17.91, czujnik2,9.30, czujnik3,12.43
czujnik1,42.31, czujnik2,9.78, czujnik3,11.92
czujnik1,41.58, czujnik2,9.40, czujnik3,12.33
czujnik1,41.45, czujnik2,9.86, czujnik3,11.92
czujnik1,12.60, czujnik2,9.32, czujnik3,16.80
czujnik1,41.96, czujnik2,9.30, czujnik3,13.15
czujnik1,15.41, czujnik2,9.40, czujnik3,11.92
czujnik1,41.05, czujnik2,9.86, czujnik3,12.33
czujnik1,41.45, czujnik2,9.30, czujnik3,12.43
czujnik1,41.94, czujnik2,9.30, czujnik3,14.42
czujnik1,42.76, czujnik2,9.42, czujnik3,17.19
czujnik1,42.23, czujnik2,9.40, czujnik3,14.69
czujnik1,42.60, czujnik2,9.30, czujnik3,14.81
czujnik1,13.84, czujnik2,9.76, czujnik3,12.74
czujnik1,13.11, czujnik2,9.42, czujnik3,15.51
czujnik1,14.52, czujnik2,9.32, czujnik3,11.56
czujnik1,42.77, czujnik2,9.78, czujnik3,12.33
czujnik1,42.72, czujnik2,9.30, czujnik3,11.51
czujnik1,13.84, czujnik2,9.86, czujnik3,12.33
czujnik1,16.21, czujnik2,10.17, czujnik3,11.62
czujnik1,42.36, czujnik2,9.32, czujnik3,11.51
czujnik1,41.94, czujnik2,9.86, czujnik3,11.11
czujnik1,14.29, czujnik2,9.40, czujnik3,14.42
czujnik1,41.85, czujnik2,9.76, czujnik3,12.89
czujnik1,42.31, czujnik2,9.30, czujnik3,11.50
czujnik1,15.82, czujnik2,9.88, czujnik3,14.69
czujnik1,13.42, czujnik2,9.86, czujnik3,11.62
czujnik1,15.00, czujnik2,9.71, czujnik3,13.28
czujnik1,14.25, czujnik2,9.78, czujnik3,17.19
czujnik1,17.50, czujnik2,9.86, czujnik3,12.33
czujnik1,42.21, czujnik2,9.40, czujnik3,12.02
czujnik1,13.42, czujnik2,9.76, czujnik3,13.20
czujnik1,41.94, czujnik2,9.73, czujnik3,12.33
czujnik1,42.24, czujnik2,9.86, czujnik3,12.74
czujnik1,12.99, czujnik2,9.78, czujnik3,12.02
czujnik1,42.30, czujnik2,9.78, czujnik3,13.59
czujnik1,42.21, czujnik2,9.40, czujnik3,15.51
czujnik1,16.22, czujnik2,9.86, czujnik3,11.11
czujnik1,15.82, czujnik2,9.32, czujnik3,16.39
czujnik1,42.24, czujnik2,9.30, czujnik3,13.55
czujnik1,13.11, czujnik2,9.86, czujnik3,13.20
czujnik1,16.63, czujnik2,9.86, czujnik3,12.74
czujnik1,15.80, czujnik2,9.76, czujnik3,13.30
czujnik1,14.98, czujnik2,9.76, czujnik3,13.55
czujnik1,13.11, czujnik2,9.86, czujnik3,13.13
czujnik1,13.04, czujnik2,9.40, czujnik3,14.01
czujnik1,42.60, czujnik2,9.76, czujnik3,12.02
czujnik1,41.99, czujnik2,9.30, czujnik3,17.62
czujnik1,14.63, czujnik2,9.86, czujnik3,12.33
czujnik1,14.93, czujnik2,9.30, czujnik3,12.43
czujnik1,42.36, czujnik2,9.76, czujnik3,12.33
czujnik1,41.84, czujnik2,9.76, czujnik3,14.71
czujnik1,42.65, czujnik2,9.42, czujnik3,19.30
czujnik1,12.19, czujnik2,9.76, czujnik3,11.97
czujnik1,13.88, czujnik2,9.30, czujnik3,15.97
czujnik1,42.76, czujnik2,9.40, czujnik3,11.92
czujnik1,13.42, czujnik2,9.83, czujnik3,15.12
czujnik1,13.42, czujnik2,9.76, czujnik3,12.45
czujnik1,42.40, czujnik2,9.30, czujnik3,12.33
czujnik1,13.11, czujnik2,9.40, czujnik3,13.15
czujnik1,13.42, czujnik2,9.86, czujnik3,11.97
