jnik1,13.88, czujnik2,14.80, czujnik3,20.02
czujnik1,13.88, czujnik2,14.76, czujnik3,43.04
czujnik1,13.47, czujnik2,14.80, czujnik3,41.63
czujnik1,13.40, czujnik2,14.80, czujnik3,22.18
czujnik1,13.44, czujnik2,15.22, czujnik3,20.48
czujnik1,13.47, czujnik2,14.80, czujnik3,43.03
czujnik1,13.57, czujnik2,15.20, czujnik3,42.18
czujnik1,13.47, czujnik2,14.85, czujnik3,20.94
czujnik1,13.47, czujnik2,14.80, czujnik3,21.34
czujnik1,13.88, czujnik2,14.74, czujnik3,41.75
czujnik1,14.03, czujnik2,14.80, czujnik3,42.98
czujnik1,13.45, czujnik2,15.32, czujnik3,20.94
czujnik1,13.88, czujnik2,14.80, czujnik3,23.03
czujnik1,13.86, czujnik2,15.20, czujnik3,21.65
czujnik1,14.03, czujnik2,14.80, czujnik3,22.59
czujnik1,13.47, czujnik2,14.85, czujnik3,42.67
czujnik1,13.47, czujnik2,14.80, czujnik3,20.48
czujnik1,13.47, czujnik2,15.20, czujnik3,22.06
czujnik1,13.98, czujnik2,15.20, czujnik3,42.57
czujnik1,13.88, czujnik2,14.95, czujnik3,21.34
czujnik1,13.47, czujnik2,14.74, czujnik3,23.04
czujnik1,13.47, czujnik2,14.80, czujnik3,41.77
czujnik1,13.98, czujnik2,14.80, czujnik3,41.75
czujnik1,14.34, czujnik2,14.85, czujnik3,20.90
czujnik1,13.88, czujnik2,15.15, czujnik3,22.98
czujnik1,13.88, czujnik2,15.15, czujnik3,19.97
czujnik1,13.57, czujnik2,14.74, czujnik3,21.77
czujnik1,13.89, czujnik2,15.26, czujnik3,22.13
czujnik1,13.47, czujnik2,14.80, czujnik3,21.72
czujnik1,13.88, czujnik2,14.80, czujnik3,21.26
czujnik1,13.57, czujnik2,14.80, czujnik3,41.38
czujnik1,13.47, czujnik2,14.85, czujnik3,21.36
czujnik1,13.47, czujnik2,15.20, czujnik3,20.95
czujnik1,13.45, czujnik2,14.76, czujnik3,23.35
czujnik1,13.98, czujnik2,14.85, czujnik3,20.49
czujnik1,13.88, czujnik2,14.85, czujnik3,41.48
czujnik1,13.88, czujnik2,14.74, czujnik3,20.88
czujnik1,13.88, czujnik2,14.80, czujnik3,20.85
czujnik1,13.98, czujnik2,14.80, czujnik3,22.18
czujnik1,13.88, czujnik2,14.88, czujnik3,42.67
czujnik1,13.47, czujnik2,14.85, czujnik3,41.45
czujnik1,13.88, czujnik2,15.20, czujnik3,42.59
czujnik1,13.57, czujnik2,14.80, czujnik3,42.53
czujnik1,13.88, czujnik2,14.90, czujnik3,42.24
czujnik1,13.47, czujnik2,14.80, czujnik3,22.18
czujnik1,14.34, czujnik2,14.80, czujnik3,42.14
czujnik1,13.57, czujnik2,14.80, czujnik3,20.07
czujnik1,13.47, czujnik2,14.90, czujnik3,21.36
czujnik1,13.88, czujnik2,14.80, czujnik3,20.07
czujnik1,13.88, czujnik2,14.80, czujnik3,23.35
czujnik1,13.98, czujnik2,15.19, czujnik3,20.88
czujnik1,13.47, czujnik2,14.85, czujnik3,22.99
czujnik1,13.88, czujnik2,15.20, czujnik3,42.26
czujnik1,13.88, czujnik2,14.81, czujnik3,22.45
czujnik1,13.57, czujnik2,14.74, czujnik3,21.77
czujnik1,13.47, czujnik2,14.85, czujnik3,41.82
czujnik1,13.47, czujnik2,15.20, czujnik3,21.36
czujnik1,13.88, czujnik2,14.74, czujnik3,41.73
czujnik1,13.98, czujnik2,14.74, czujnik3,20.09
czujnik1,13.47, czujnik2,14.85, czujnik3,41.84
czujnik1,13.47, czujnik2,14.80, czujnik3,20.48
czujnik1,13.47, czujnik2,14.76, czujnik3,41.36
czujnik1,13.57, czujnik2,14.80, czujnik3,41.36
czujnik1,13.47, czujnik2,15.31, czujnik3,41.87
czujnik1,13.47, czujnik2,15.20, czujnik3,41.89
czujnik1,13.47, czujnik2,14.80, czujnik3,41.73
czujnik1,13.98, czujnik2,15.20, czujnik3,42.19
czujnik1,13.47, czujnik2,14.91, czujnik3,41.84
czujnik1,13.88, czujnik2,15.20, czujnik3,42.70
czujnik1,13.45, czujnik2,14.74, czujnik3,42.55
czujnik1,13.98, czujnik2,14.74, czujnik3,21.31
czujnik1,13.47, czujnik2,14.90, czujnik3,22.18
czujnik1,13.47, czujnik2,14.74, czujnik3,20.49
czujnik1,13.88, czujnik2,14.76, czujnik3,21.24
czujnik1,13.98, czujnik2,14.80, czujnik3,23.01
czujnik1,13.47, czujnik2,14.90, czujnik3,20.05
czujnik1,13.88, czujnik2,14.80, czujnik3,23.86
czujnik1,13.47, czujnik2,15.20, czujnik3,20.37
czujnik1,14.46, czujnik2,14.80, czujnik3,21.31
czujnik1,13.88, czujnik2,14.86, czujnik3,41.85
czujnik1,13.47, czujnik2,14.80, czujnik3,20.44
czujnik1,13.47, czujnik2,15.17, czujnik3,41.36
czujnik1,14.44, czujnik2,14.74, czujnik3,42.18
czujnik1,13.47, czujnik2,14.90, czujnik3,41.46
czujnik1,13.89, czujnik2,14.74, czujnik3,41.87
czujnik1,13.45, czujnik2,14.74, czujnik3,21.24
czujnik1,13.98, czujnik2,14.80, czujnik3,42.18
czujnik1,13.47, czujnik2,14.90, czujnik3,20.49
czujnik1,13.89, czujnik2,14.80, czujnik3,21.72
czujnik1,13.47, czujnik2,14.85, czujnik3,20.32
czujnik1,13.98, czujnik2,14.80, czujnik3,22.59
czujnik1,13.88, czujnik2,14.85, czujnik3,20.94
czujnik1,13.47, czujnik2,14.80, czujnik3,20.53
czujnik1,13.88, czujnik2,14.80, czujnik3,41.77
czujnik1,13.57, czujnik2,14.80, czujnik3,21.34
czujnik1,13.47, czujnik2,14.85, czujnik3,23.04
czujnik1,13.88, czujnik2,14.74, czujnik3,20.48
czujnik1,13.88, czujnik2,14.81, czujnik3,22.07
czujnik1,13.57, czujnik2,14.80, czujnik3,41.80
czujnik1,13.47, czujnik2,14.90, czujnik3,22.18
czujnik1,13.88, czujnik2,14.85, czujnik3,21.29
czujnik1,13.86, czujnik2,14.74, czujnik3,20.39
czujnik1,13.57, czujnik2,14.80, czujnik3,20.90
czujnik1,13.88, czujnik2,14.90, czujnik3,21.31
czujnik1,13.88, czujnik2,14.74, czujnik3,20.90
czujnik1,14.30, czujnik2,15.22, czujnik3,41.34
czujnik1,13.57, czujnik2,15.20, czujnik3,20.02
czujnik1,13.88, czujnik2,14.90, czujnik3,41.48
czujnik1,13.47, czujnik2,14.80, czujnik3,20.03
czujnik1,13.47, czujnik2,15.20, czujnik3,42.21
czujnik1,13.57, czujnik2,14.80, czujnik3,21.31
czujnik1,13.88, czujnik2,14.90, czujnik3,20.90
czujnik1,13.88, czujnik2,14.80, czujnik3,20.44
czujnik1,13.88, czujnik2,14.78, czujnik3,41.36
czujnik1,14.00, czujnik2,14.74, czujnik3,22.18
czujnik1,13.88, czujnik2,15.31, czujnik3,20.88
czujnik1,14.29, czujnik2,14.78, czujnik3,20.88
czujnik1,13.88, czujnik2,14.80, czujnik3,42.18
czujnik1,13.98, czujnik2,15.20, czujnik3,42.57
czujnik1,13.47, czujnik2,14.90, czujnik3,42.24
czujnik1,13.47, czujnik2,14.80, czujnik3,21.34
czujnik1,13.88, czujnik2,14.74, czujnik3,20.34
czujnik1,13.98, czujnik2,14.80, czujnik3,20.94
czujnik1,14.29, czujnik2,15.31, czujnik3,43.47
czujnik1,14.34, czujnik2,14.74, czujnik3,22.62
czujnik1,13.88, czujnik2,15.15, czujnik3,41.79
czujnik1,13.57, czujnik2,15.20, czujnik3,21.34
czujnik1,13.88, czujnik2,14.91, czujnik3,20.88
czujnik1,13.88, czujnik2,15.15, czujnik3,43.04
czujnik1,14.34, czujnik2,14.80, czujnik3,42.53
czujnik1,13.98, czujnik2,14.80, czujnik3,22.16
czujnik1,14.34, czujnik2,14.85, czujnik3,23.03
czujnik1,14.34, czujnik2,14.80, czujnik3,42.24
czujnik1,13.47, czujnik2,14.76, czujnik3,20.37
czujnik1,13.57, czujnik2,14.76, czujnik3,20.48
czujnik1,13.88, czujnik2,15.26, czujnik3,20.85
czujnik1,13.47, czujnik2,14.80, czujnik3,43.10
czujnik1,13.47, czujnik2,14.80, czujnik3,42.59
czujnik1,14.00, czujnik2,14.81, czujnik3,20.09
czujnik1,13.88, czujnik2,14.90, czujnik3,23.40
czujnik1,14.34, czujnik2,14.80, czujnik3,21.29
czujnik1,14.29, czujnik2,14.78, czujnik3,22.06
czujnik1,13.98, czujnik2,14.74, czujnik3,41.77
czujnik1,13.88, czujnik2,14.88, czujnik3,22.62
czujnik1,13.47, czujnik2,14.76, czujnik3,20.48
czujnik1,14.34, czujnik2,15.20, czujnik3,20.80
czujnik1,13.98, czujnik2,14.74, czujnik3,21.75
czujnik1,13.88, czujnik2,14.95, czujnik3,20.95
czujnik1,13.88, czujnik2,14.74, czujnik3,42.28
czujnik1,13.47, czujnik2,14.80, czujnik3,20.37
czujnik1,14.44, czujnik2,15.15, czujnik3,22.13
czujnik1,13.88, czujnik2,14.90, czujnik3,21.34
czujnik1,13.88, czujnik2,15.20, czujnik3,41.48
czujnik1,13.47, czujnik2,14.80, czujnik3,43.81
czujnik1,14.00, czujnik2,15.15, czujnik3,21.72
czujnik1,13.88, czujnik2,14.90, czujnik3,42.28
czujnik1,13.47, czujnik2,14.80, czujnik3,41.89
czujnik1,13.47, czujnik2,14.80, czujnik3,21.26
