1,13.88, czujnik2,14.64, czujnik3,42.19
czujnik1,14.00, czujnik2,15.10, czujnik3,41.79
czujnik1,13.47, czujnik2,15.10, czujnik3,21.87
czujnik1,13.33, czujnik2,14.81, czujnik3,21.26
czujnik1,13.83, czujnik2,14.64, czujnik3,41.84
czujnik1,13.88, czujnik2,15.10, czujnik3,42.18
czujnik1,13.98, czujnik2,15.14, czujnik3,42.19
czujnik1,13.93, czujnik2,14.80, czujnik3,41.87
czujnik1,13.88, czujnik2,14.32, czujnik3,41.87
czujnik1,13.88, czujnik2,14.66, czujnik3,41.79
czujnik1,13.98, czujnik2,14.32, czujnik3,41.36
czujnik1,13.88, czujnik2,14.81, czujnik3,41.46
czujnik1,13.88, czujnik2,14.64, czujnik3,41.85
czujnik1,13.47, czujnik2,14.66, czujnik3,41.75
czujnik1,13.57, czujnik2,14.64, czujnik3,41.77
czujnik1,13.88, czujnik2,15.26, czujnik3,42.23
czujnik1,13.93, czujnik2,14.64, czujnik3,41.45
czujnik1,13.45, czujnik2,14.69, czujnik3,41.77
czujnik1,13.98, czujnik2,14.64, czujnik3,17.81
czujnik1,13.47, czujnik2,14.80, czujnik3,41.45
czujnik1,13.93, czujnik2,14.32, czujnik3,42.26
czujnik1,13.47, czujnik2,15.12, czujnik3,41.77
czujnik1,13.57, czujnik2,14.64, czujnik3,41.77
czujnik1,13.88, czujnik2,14.74, czujnik3,18.23
czujnik1,13.88, czujnik2,14.64, czujnik3,41.84
czujnik1,13.88, czujnik2,14.32, czujnik3,41.75
czujnik1,13.57, czujnik2,14.69, czujnik3,19.56
czujnik1,13.47, czujnik2,14.42, czujnik3,42.23
czujnik1,13.47, czujnik2,14.66, czujnik3,22.57
czujnik1,13.88, czujnik2,14.32, czujnik3,19.86
czujnik1,13.98, czujnik2,15.15, czujnik3,21.26
czujnik1,13.88, czujnik2,14.81, czujnik3,41.46
czujnik1,13.88, czujnik2,14.64, czujnik3,26.36
czujnik1,13.47, czujnik2,14.63, czujnik3,41.73
czujnik1,13.57, czujnik2,15.10, czujnik3,41.77
czujnik1,13.47, czujnik2,14.80, czujnik3,41.82
czujnik1,13.88, czujnik2,14.64, czujnik3,41.84
czujnik1,13.47, czujnik2,15.12, czujnik3,41.75
czujnik1,13.98, czujnik2,14.66, czujnik3,41.36
czujnik1,13.45, czujnik2,14.76, czujnik3,41.46
czujnik1,13.47, czujnik2,14.66, czujnik3,42.30
czujnik1,13.47, czujnik2,14.32, czujnik3,41.38
czujnik1,13.57, czujnik2,14.66, czujnik3,41.75
czujnik1,13.88, czujnik2,14.80, czujnik3,41.85
czujnik1,13.47, czujnik2,15.12, czujnik3,42.70
czujnik1,13.47, czujnik2,14.32, czujnik3,41.38
czujnik1,13.59, czujnik2,14.61, czujnik3,42.18
czujnik1,13.47, czujnik2,14.81, czujnik3,41.85
czujnik1,13.47, czujnik2,14.66, czujnik3,41.87
czujnik1,13.88, czujnik2,14.32, czujnik3,27.94
czujnik1,13.98, czujnik2,14.64, czujnik3,41.75
czujnik1,13.88, czujnik2,14.74, czujnik3,29.20
czujnik1,13.88, czujnik2,15.10, czujnik3,41.85
czujnik1,13.47, czujnik2,14.64, czujnik3,22.47
czujnik1,13.57, czujnik2,15.10, czujnik3,41.36
czujnik1,13.47, czujnik2,14.74, czujnik3,41.46
czujnik1,13.47, czujnik2,14.66, czujnik3,41.48
czujnik1,13.88, czujnik2,14.64, czujnik3,41.77
czujnik1,13.57, czujnik2,14.66, czujnik3,25.39
czujnik1,13.47, czujnik2,14.44, czujnik3,41.48
czujnik1,13.88, czujnik2,15.12, czujnik3,41.45
czujnik1,13.45, czujnik2,14.71, czujnik3,41.36
czujnik1,13.98, czujnik2,14.66, czujnik3,41.34
czujnik1,13.47, czujnik2,14.74, czujnik3,41.50
czujnik1,13.47, czujnik2,14.66, czujnik3,22.59
czujnik1,13.88, czujnik2,14.64, czujnik3,41.77
czujnik1,13.57, czujnik2,14.69, czujnik3,41.34
czujnik1,13.47, czujnik2,14.74, czujnik3,41.84
czujnik1,13.88, czujnik2,15.15, czujnik3,41.46
czujnik1,13.89, czujnik2,14.64, czujnik3,42.16
czujnik1,13.57, czujnik2,15.10, czujnik3,41.77
czujnik1,13.47, czujnik2,14.74, czujnik3,41.46
czujnik1,13.47, czujnik2,15.10, czujnik3,41.85
czujnik1,13.49, czujnik2,14.69, czujnik3,41.77
czujnik1,13.98, czujnik2,14.66, czujnik3,42.53
czujnik1,13.47, czujnik2,14.42, czujnik3,41.89
czujnik1,13.91, czujnik2,14.66, czujnik3,41.46
