1czujnik1,0.00, czujnik2,16.28, czujnik3,15.05
czujnik1,16.68, czujnik2,15.82, czujnik3,17.82
czujnik1,16.26, czujnik2,15.87, czujnik3,15.80
czujnik1,16.28, czujnik2,15.95, czujnik3,15.32
czujnik1,15.99, czujnik2,15.83, czujnik3,16.02
czujnik1,16.22, czujnik2,16.29, czujnik3,41.36
czujnik1,15.87, czujnik2,15.36, czujnik3,18.30
czujnik1,16.26, czujnik2,15.92, czujnik3,14.91
czujnik1,15.85, czujnik2,15.87, czujnik3,19.56
czujnik1,16.26, czujnik2,15.88, czujnik3,41.33
czujnik1,16.68, czujnik2,15.87, czujnik3,14.59
czujnik1,15.85, czujnik2,16.28, czujnik3,14.90
czujnik1,15.85, czujnik2,15.83, czujnik3,14.71
czujnik1,15.87, czujnik2,16.29, czujnik3,16.55
czujnik1,16.21, czujnik2,15.51, czujnik3,41.34
czujnik1,15.85, czujnik2,15.83, czujnik3,19.52
czujnik1,16.28, czujnik2,15.83, czujnik3,16.14
czujnik1,16.22, czujnik2,16.28, czujnik3,15.32
czujnik1,16.22, czujnik2,15.87, czujnik3,15.73
czujnik1,16.28, czujnik2,15.82, czujnik3,14.71
czujnik1,15.87, czujnik2,15.87, czujnik3,18.30
czujnik1,16.28, czujnik2,16.33, czujnik3,14.91
czujnik1,16.28, czujnik2,15.87, czujnik3,14.91
czujnik1,15.87, czujnik2,15.82, czujnik3,15.32
czujnik1,16.68, czujnik2,15.87, czujnik3,18.69
czujnik1,16.28, czujnik2,15.46, czujnik3,17.01
czujnik1,16.28, czujnik2,15.83, czujnik3,14.56
czujnik1,16.28, czujnik2,15.87, czujnik3,41.43
czujnik1,15.82, czujnik2,16.28, czujnik3,16.14
czujnik1,16.28, czujnik2,15.46, czujnik3,14.71
czujnik1,15.85, czujnik2,15.83, czujnik3,15.73
czujnik1,16.26, czujnik2,15.82, czujnik3,15.32
czujnik1,15.85, czujnik2,15.82, czujnik3,14.91
czujnik1,16.67, czujnik2,15.82, czujnik3,15.63
czujnik1,16.26, czujnik2,15.87, czujnik3,15.31
czujnik1,15.85, czujnik2,15.92, czujnik3,15.27
czujnik1,15.85, czujnik2,15.87, czujnik3,19.56
czujnik1,15.85, czujnik2,16.33, czujnik3,15.32
czujnik1,16.28, czujnik2,15.36, czujnik3,14.91
czujnik1,16.22, czujnik2,15.82, czujnik3,15.73
czujnik1,15.87, czujnik2,15.92, czujnik3,15.32
czujnik1,16.26, czujnik2,16.33, czujnik3,41.79
czujnik1,16.68, czujnik2,15.82, czujnik3,14.44
czujnik1,16.28, czujnik2,15.92, czujnik3,41.48
czujnik1,15.87, czujnik2,16.28, czujnik3,15.66
