ik1,14.34, czujnik2,22.48, czujnik3,41.48
czujnik1,14.44, czujnik2,24.57, czujnik3,41.41
czujnik1,14.34, czujnik2,22.48, czujnik3,41.48
czujnik1,14.44, czujnik2,24.57, czujnik3,41.41
czujnik1,14.34, czujnik2,22.48, czujnik3,41.48
czujnik1,14.44, czujnik2,24.57, czujnik3,41.41
czujnik1,14.34, czujnik2,22.48, czujnik3,41.48
czczujnik1,14.20, czujnik2,40.87, czujnik3,41.29
czujnik1,14.22, czujnik2,23.21, czujnik3,41.46
czujnik1,14.22, czujnik2,23.21, czujnik3,41.38
czujnik1,14.32, czujnik2,22.04, czujnik3,41.33
czujnik1,14.22, czujnik2,21.92, czujnik3,40.92
czujnik1,14.46, czujnik2,22.06, czujnik3,41.31
czujnik1,14.34, czujnik2,23.74, czujnik3,41.43
czujnik1,14.35, czujnik2,21.96, czujnik3,41.41
czujnik1,14.34, czujnik2,23.33, czujnik3,41.33
czujnik1,14.44, czujnik2,23.74, czujnik3,41.34
czujnik1,14.66, czujnik2,40.99, czujnik3,41.43
czujnik1,14.68, czujnik2,21.96, czujnik3,41.39
czujnik1,14.66, czujnik2,23.33, czujnik3,41.34
czujnik1,14.44, czujnik2,23.32, czujnik3,41.31
czujnik1,14.34, czujnik2,23.74, czujnik3,41.84
czujnik1,14.34, czujnik2,41.28, czujnik3,41.43
czujnik1,14.37, czujnik2,22.47, czujnik3,41.31
czujnik1,14.46, czujnik2,40.99, czujnik3,41.33
czujnik1,14.35, czujnik2,23.33, czujnik3,41.05
czujnik1,14.34, czujnik2,24.90, czujnik3,41.45
czujnik1,14.34, czujnik2,23.74, czujnik3,41.33
czujnik1,14.44, czujnik2,23.72, czujnik3,41.33
czujnik1,14.66, czujnik2,23.33, czujnik3,41.45
czujnik1,14.66, czujnik2,23.64, czujnik3,41.43
czujnik1,14.34, czujnik2,23.33, czujnik3,41.31
czujnik1,14.46, czujnik2,41.00, czujnik3,41.07
czujnik1,14.34, czujnik2,22.47, czujnik3,41.41
czujnik1,14.34, czujnik2,22.36, czujnik3,41.79
czujnik1,14.66, czujnik2,22.47, czujnik3,41.31
czujnik1,14.44, czujnik2,22.06, czujnik3,41.36
czujnik1,14.34, czujnik2,24.15, czujnik3,41.41
czujnik1,14.34, czujnik2,22.36, czujnik3,41.43
czujnik1,14.35, czujnik2,40.99, czujnik3,40.92
czujnik1,14.46, czujnik2,23.74, czujnik3,41.34
czujnik1,14.35, czujnik2,23.74, czujnik3,41.41
czujnik1,14.34, czujnik2,40.87, czujnik3,41.79
czujnik1,14.35, czujnik2,41.26, czujnik3,40.95
czujnik1,14.46, czujnik2,23.32, czujnik3,41.33
czujnik1,14.35, czujnik2,23.33, czujnik3,41.46
czujnik1,14.34, czujnik2,23.62, czujnik3,41.85
czujnik1,14.35, czujnik2,23.74, czujnik3,41.31
czujnik1,14.46, czujnik2,23.74, czujnik3,41.36
czujnik1,14.35, czujnik2,23.33, czujnik3,41.04
czujnik1,14.34, czujnik2,21.94, czujnik3,41.87
czujnik1,14.35, czujnik2,24.90, czujnik3,40.92
czujnik1,14.46, czujnik2,24.59, czujnik3,41.34
czujnik1,14.68, czujnik2,23.32, czujnik3,41.39
czujnik1,14.35, czujnik2,24.90, czujnik3,41.05
czujnik1,14.34, czujnik2,41.00, czujnik3,40.95
czujnik1,14.46, czujnik2,23.32, czujnik3,41.67
czujnik1,14.66, czujnik2,41.00, czujnik3,41.84
czujnik1,14.34, czujnik2,24.90, czujnik3,41.41
czujnik1,14.35, czujnik2,23.32, czujnik3,41.73
czujnik1,14.46, czujnik2,23.32, czujnik3,41.31
czujnik1,14.35, czujnik2,23.33, czujnik3,41.43
czujnik1,14.35, czujnik2,22.81, czujnik3,41.85
czujnik1,14.35, czujnik2,23.32, czujnik3,40.94
czujnik1,14.46, czujnik2,22.91, czujnik3,41.33
czujnik1,14.35, czujnik2,23.33, czujnik3,41.43
czujnik1,14.35, czujnik2,21.96, czujnik3,41.79
czujnik1,14.35, czujnik2,22.06, czujnik3,41.33
czujnik1,14.46, czujnik2,23.32, czujnik3,41.02
czujnik1,14.35, czujnik2,23.32, czujnik3,41.04
czujnik1,14.34, czujnik2,21.94, czujnik3,41.43
czujnik1,14.35, czujnik2,23.32, czujnik3,41.36
czujnik1,14.76, czujnik2,25.43, czujnik3,41.31
czujnik1,14.34, czujnik2,22.91, czujnik3,41.82
czujnik1,14.35, czujnik2,23.64, czujnik3,41.41
czujnik1,14.34, czujnik2,22.91, czujnik3,41.33
czujnik1,14.44, czujnik2,23.32, czujnik3,41.72
czujnik1,14.35, czujnik2,22.91, czujnik3,41.41
czujnik1,14.35, czujnik2,23.64, czujnik3,41.77
czujnik1,14.34, czujnik2,23.33, czujnik3,41.68
czujnik1,14.44, czujnik2,22.06, czujnik3,41.73
czujnik1,14.34, czujnik2,23.33, czujnik3,41.41
czujnik1,14.34, czujnik2,24.05, czujnik3,41.41
czujnik1,14.35, czujnik2,40.97, czujnik3,41.28
czujnik1,14.46, czujnik2,40.99, czujnik3,41.31
czujnik1,14.66, czujnik2,23.72, czujnik3,41.82
czujnik1,14.35, czujnik2,23.21, czujnik3,41.85
czujnik1,14.35, czujnik2,23.76, czujnik3,41.33
czujnik1,14.44, czujnik2,22.04, czujnik3,41.33
czujnik1,14.34, czujnik2,40.97, czujnik3,41.39
czujnik1,14.34, czujnik2,22.36, czujnik3,41.85
czujnik1,14.66, czujnik2,22.91, czujnik3,41.31
czujnik1,14.46, czujnik2,23.33, czujnik3,41.07
czujnik1,14.35, czujnik2,22.06, czujnik3,41.04
czujnik1,14.34, czujnik2,21.94, czujnik3,41.07
czujnik1,14.35, czujnik2,22.06, czujnik3,41.33
czujnik1,14.46, czujnik2,22.47, czujnik3,41.33
czujnik1,14.34, czujnik2,22.47, czujnik3,41.79
czujnik1,14.35, czujnik2,24.47, czujnik3,41.43
czujnik1,14.34, czujnik2,22.47, czujnik3,40.97
czujnik1,14.46, czujnik2,24.17, czujnik3,41.04
czujnik1,14.35, czujnik2,23.74, czujnik3,41.85
czujnik1,14.34, czujnik2,23.64, czujnik3,41.43
czujnik1,14.34, czujnik2,21.65, czujnik3,41.29
czujnik1,14.44, czujnik2,24.57, czujnik3,41.67
czujnik1,14.68, czujnik2,23.74, czujnik3,41.41
czujnik1,14.35, czujnik2,23.64, czujnik3,41.05
czujnik1,14.35, czujnik2,23.32, czujnik3,41.33
czujnik1,14.44, czujnik2,41.75, czujnik3,41.36
czujnik1,14.34, czujnik2,23.32, czujnik3,41.43
czujnik1,14.34, czujnik2,41.65, czujnik3,41.43
czujnik1,14.34, czujnik2,23.74, czujnik3,41.31
czujnik1,14.46, czujnik2,22.91, czujnik3,41.31
czujnik1,14.34, czujnik2,22.47, czujnik3,41.04
czujnik1,14.35, czujnik2,24.05, czujnik3,41.05
czujnik1,14.68, czujnik2,22.06, czujnik3,41.36
czujnik1,14.44, czujnik2,23.76, czujnik3,41.31
czujnik1,14.34, czujnik2,22.06, czujnik3,41.48
czujnik1,14.34, czujnik2,24.06, czujnik3,41.43
czujnik1,14.34, czujnik2,23.74, czujnik3,41.33
czujnik1,14.46, czujnik2,23.74, czujnik3,41.33
czujnik1,14.34, czujnik2,23.76, czujnik3,41.05
czujnik1,14.68, czujnik2,40.87, czujnik3,41.41
czujnik1,14.66, czujnik2,22.47, czujnik3,41.33
czujnik1,14.78, czujnik2,40.97, czujnik3,41.05
czujnik1,14.34, czujnik2,23.74, czujnik3,41.82
czujnik1,14.34, czujnik2,21.94, czujnik3,41.05
czujnik1,14.34, czujnik2,23.74, czujnik3,41.33
czujnik1,14.44, czujnik2,23.74, czujnik3,41.73
czujnik1,14.34, czujnik2,22.47, czujnik3,41.04
czujnik1,14.34, czujnik2,22.36, czujnik3,41.46
czujnik1,14.35, czujnik2,23.32, czujnik3,41.33
czujnik1,14.78, czujnik2,22.47, czujnik3,41.34
czujnik1,14.39, czujnik2,23.33, czujnik3,41.79
czujnik1,14.68, czujnik2,22.77, czujnik3,41.85
czujnik1,14.34, czujnik2,23.74, czujnik3,41.33
czujnik1,14.46, czujnik2,23.74, czujnik3,41.33
czujnik1,14.35, czujnik2,23.74, czujnik3,41.43
czujnik1,14.66, czujnik2,23.64, czujnik3,41.43
czujnik1,14.34, czujnik2,40.99, czujnik3,41.29
czujnik1,14.46, czujnik2,23.33, czujnik3,41.07
czujnik1,14.34, czujnik2,40.97, czujnik3,41.43
czujnik1,14.34, czujnik2,40.87, czujnik3,41.79
czujnik1,14.35, czujnik2,22.06, czujnik3,41.33
czujnik1,14.46, czujnik2,40.97, czujnik3,41.72
czujnik1,14.68, czujnik2,23.32, czujnik3,41.07
czujnik1,14.34, czujnik2,22.36, czujnik3,41.80
