nczujnik1,0.00, czujnik2,38.81, czujnik3,9.46
czujnik1,45.39, czujnik2,37.86, czujnik3,9.35
czujnik1,64.46, czujnik2,38.35, czujnik3,9.30
czujnik1,43.62, czujnik2,38.38, czujnik3,9.91
czujnik1,43.49, czujnik2,37.98, czujnik3,9.81
czujnik1,39.73, czujnik2,38.69, czujnik3,9.35
czujnik1,38.15, czujnik2,38.37, czujnik3,9.35
czujnik1,38.45, czujnik2,37.96, czujnik3,9.46
czujnik1,39.81, czujnik2,37.47, czujnik3,9.46
czujnik1,40.46, czujnik2,37.98, czujnik3,9.35
czujnik1,62.48, czujnik2,38.37, czujnik3,10.22
czujnik1,63.23, czujnik2,38.37, czujnik3,9.91
czujnik1,40.02, czujnik2,39.95, czujnik3,9.46
czujnik1,62.89, czujnik2,38.01, czujnik3,9.80
czujnik1,40.26, czujnik2,39.61, czujnik3,9.35
czujnik1,62.81, czujnik2,38.40, czujnik3,9.46
czujnik1,40.05, czujnik2,38.38, czujnik3,9.35
czujnik1,44.71, czujnik2,37.60, czujnik3,9.34
czujnik1,38.86, czujnik2,38.38, czujnik3,9.35
czujnik1,46.77, czujnik2,38.25, czujnik3,9.91
czujnik1,39.40, czujnik2,39.23, czujnik3,9.35
czujnik1,46.39, czujnik2,39.23, czujnik3,9.35
czujnik1,45.90, czujnik2,38.37, czujnik3,9.46
czujnik1,39.39, czujnik2,38.27, czujnik3,9.46
czujnik1,39.83, czujnik2,38.78, czujnik3,9.81
czujnik1,46.02, czujnik2,37.99, czujnik3,9.34
czujnik1,48.45, czujnik2,38.37, czujnik3,9.46
czujnik1,39.61, czujnik2,37.89, czujnik3,9.91
czujnik1,39.80, czujnik2,38.01, czujnik3,10.20
czujnik1,45.19, czujnik2,37.98, czujnik3,9.35
czujnik1,42.47, czujnik2,38.38, czujnik3,9.46
czujnik1,38.16, czujnik2,38.03, czujnik3,10.32
czujnik1,64.12, czujnik2,38.83, czujnik3,9.35
czujnik1,40.92, czujnik2,37.99, czujnik3,9.81
czujnik1,40.12, czujnik2,38.32, czujnik3,9.46
czujnik1,41.77, czujnik2,38.01, czujnik3,10.20
czujnik1,39.40, czujnik2,38.01, czujnik3,9.35
czujnik1,39.93, czujnik2,38.84, czujnik3,9.80
czujnik1,46.28, czujnik2,37.89, czujnik3,9.46
czujnik1,64.05, czujnik2,38.03, czujnik3,9.35
czujnik1,38.96, czujnik2,38.78, czujnik3,9.35
czujnik1,38.04, czujnik2,37.98, czujnik3,9.46
czujnik1,44.59, czujnik2,38.69, czujnik3,9.46
czujnik1,42.60, czujnik2,38.79, czujnik3,9.35
czujnik1,42.13, czujnik2,38.37, czujnik3,10.22
czujnik1,41.21, czujnik2,37.99, czujnik3,9.86
czujnik1,45.02, czujnik2,37.47, czujnik3,9.86
czujnik1,38.96, czujnik2,38.83, czujnik3,9.35
czujnik1,39.01, czujnik2,37.98, czujnik3,9.35
czujnik1,40.77, czujnik2,37.98, czujnik3,9.46
czujnik1,38.96, czujnik2,37.96, czujnik3,9.46
czujnik1,46.00, czujnik2,37.99, czujnik3,10.22
czujnik1,41.72, czujnik2,38.37, czujnik3,9.35
czujnik1,45.03, czujnik2,38.27, czujnik3,9.46
czujnik1,40.90, czujnik2,38.38, czujnik3,9.35
czujnik1,46.87, czujnik2,37.96, czujnik3,9.35
czujnik1,47.21, czujnik2,39.66, czujnik3,9.46
czujnik1,39.17, czujnik2,38.72, czujnik3,10.32
czujnik1,40.44, czujnik2,37.59, czujnik3,9.76
czujnik1,39.78, czujnik2,38.35, czujnik3,9.35
czujnik1,41.22, czujnik2,38.40, czujnik3,10.32
czujnik1,39.35, czujnik2,38.30, czujnik3,9.46
czujnik1,40.44, czujnik2,37.96, czujnik3,9.35
czujnik1,46.45, czujnik2,38.42, czujnik3,9.35
czujnik1,41.22, czujnik2,38.01, czujnik3,9.46
czujnik1,38.96, czujnik2,37.86, czujnik3,9.86
czujnik1,40.03, czujnik2,38.38, czujnik3,9.35
czujnik1,45.15, czujnik2,38.01, czujnik3,9.35
czujnik1,40.80, czujnik2,38.35, czujnik3,9.86
czujnik1,42.91, czujnik2,38.01, czujnik3,9.46
czujnik1,39.17, czujnik2,38.42, czujnik3,9.74
czujnik1,45.88, czujnik2,38.37, czujnik3,9.76
czujnik1,47.18, czujnik2,38.30, czujnik3,9.46
czujnik1,40.24, czujnik2,37.96, czujnik3,9.35
czujnik1,46.41, czujnik2,37.96, czujnik3,9.74
czujnik1,43.28, czujnik2,38.35, czujnik3,9.46
czujnik1,39.12, czujnik2,37.86, czujnik3,9.86
czujnik1,38.96, czujnik2,37.98, czujnik3,9.35
czujnik1,41.72, czujnik2,37.57, czujnik3,9.35
czujnik1,39.30, czujnik2,37.98, czujnik3,9.86
czujnik1,59.03, czujnik2,37.87, czujnik3,9.47
czujnik1,47.57, czujnik2,38.78, czujnik3,9.76
czujnik1,47.65, czujnik2,37.98, czujnik3,10.22
czujnik1,38.44, czujnik2,38.76, czujnik3,9.46
czujnik1,45.07, czujnik2,38.28, czujnik3,9.46
czujnik1,41.29, czujnik2,37.98, czujnik3,10.63
czujnik1,39.56, czujnik2,38.79, czujnik3,9.76
czujnik1,41.63, czujnik2,39.25, czujnik3,9.46
czujnik1,41.48, czujnik2,37.96, czujnik3,9.46
czujnik1,40.24, czujnik2,38.37, czujnik3,9.35
czujnik1,40.34, czujnik2,39.59, czujnik3,9.76
czujnik1,40.34, czujnik2,38.72, czujnik3,9.46
czujnik1,41.26, czujnik2,38.83, czujnik3,9.35
czujnik1,44.71, czujnik2,38.01, czujnik3,9.76
czujnik1,41.22, czujnik2,38.38, czujnik3,9.46
czujnik1,39.83, czujnik2,37.87, czujnik3,9.86
czujnik1,45.53, czujnik2,38.83, czujnik3,9.35
czujnik1,40.87, czujnik2,38.78, czujnik3,9.35
czujnik1,46.77, czujnik2,39.61, czujnik3,9.46
czujnik1,44.59, czujnik2,38.25, czujnik3,9.46
czujnik1,43.88, czujnik2,37.96, czujnik3,9.35
czujnik1,43.40, czujnik2,37.96, czujnik3,9.76
czujnik1,40.34, czujnik2,38.78, czujnik3,9.86
czujnik1,39.61, czujnik2,39.49, czujnik3,10.73
czujnik1,38.55, czujnik2,38.37, czujnik3,9.35
czujnik1,38.15, czujnik2,39.20, czujnik3,9.35
czujnik1,65.71, czujnik2,38.71, czujnik3,9.86
czujnik1,45.07, czujnik2,38.38, czujnik3,10.22
czujnik1,64.57, czujnik2,39.20, czujnik3,9.35
czujnik1,43.37, czujnik2,38.01, czujnik3,9.35
czujnik1,46.75, czujnik2,38.25, czujnik3,10.32
czujnik1,38.95, czujnik2,38.81, czujnik3,9.34
czujnik1,61.63, czujnik2,38.79, czujnik3,9.35
czujnik1,43.37, czujnik2,38.81, czujnik3,9.46
czujnik1,38.57, czujnik2,37.87, czujnik3,9.44
czujnik1,40.85, czujnik2,39.61, czujnik3,9.76
czujnik1,38.96, czujnik2,37.99, czujnik3,9.35
czujnik1,63.62, czujnik2,39.15, czujnik3,9.86
czujnik1,44.13, czujnik2,38.30, czujnik3,9.86
czujnik1,64.46, czujnik2,37.57, czujnik3,9.35
czujnik1,65.41, czujnik2,38.81, czujnik3,9.37
czujnik1,40.10, czujnik2,38.38, czujnik3,9.46
czujnik1,38.96, czujnik2,37.98, czujnik3,9.46
czujnik1,45.17, czujnik2,38.38, czujnik3,9.35
czujnik1,38.88, czujnik2,37.96, czujnik3,9.35
czujnik1,41.63, czujnik2,38.27, czujnik3,9.46
czujnik1,40.46, czujnik2,39.91, czujnik3,9.35
czujnik1,47.69, czujnik2,38.42, czujnik3,9.35
czujnik1,42.86, czujnik2,38.44, czujnik3,9.83
czujnik1,41.21, czujnik2,38.27, czujnik3,9.86
czujnik1,45.88, czujnik2,38.42, czujnik3,9.76
czujnik1,41.33, czujnik2,37.96, czujnik3,9.37
czujnik1,43.74, czujnik2,38.81, czujnik3,9.86
czujnik1,41.63, czujnik2,39.08, czujnik3,9.46
czujnik1,43.88, czujnik2,38.79, czujnik3,9.35
czujnik1,39.40, czujnik2,38.83, czujnik3,9.76
czujnik1,45.94, czujnik2,38.37, czujnik3,9.47
czujnik1,40.03, czujnik2,37.96, czujnik3,9.46
czujnik1,41.33, czujnik2,38.78, czujnik3,9.35
czujnik1,46.00, czujnik2,38.83, czujnik3,9.35
czujnik1,62.77, czujnik2,38.25, czujnik3,9.86
czujnik1,38.54, czujnik2,38.83, czujnik3,9.76
czujnik1,38.54, czujnik2,37.96, czujnik3,9.35
czujnik1,40.36, czujnik2,38.78, czujnik3,9.46
czujnik1,41.21, czujnik2,37.89, czujnik3,9.88
czujnik1,62.81, czujnik2,38.35, czujnik3,9.35
czujnik1,65.41, czujnik2,38.37, czujnik3,9.76
czujnik1,39.93, czujnik2,37.55, czujnik3,9.46
czujnik1,48.44, czujnik2,38.25, czujnik3,9.46
czujnik1,39.78, czujnik2,37.94, czujnik3,9.35
czujnik1,41.26, czujnik2,39.18, czujnik3,9.35
czujnik1,39.05, czujnik2,39.22, czujnik3,9.46
czujnik1,40.03, czujnik2,37.86, czujnik3,9.46
czujnik1,40.26, czujnik2,39.23, czujnik3,9.35
czujnik1,41.31, czujnik2,38.01, czujnik3,9.76
czujnik1,47.18, czujnik2,37.98, czujnik3,9.46
czujnik1,38.57, czujnik2,38.01, czujnik3,9.76
czujnik1,39.57, czujnik2,38.78, czujnik3,10.22
czujnik1,47.59, czujnik2,38.78, czujnik3,9.35
czujnik1,45.03, czujnik2,37.45, czujnik3,10.32
czujnik1,45.90, czujnik2,37.94, czujnik3,10.22
czujnik1,42.57, czujnik2,38.37, czujnik3,9.35
czujnik1,61.55, czujnik2,38.01, czujnik3,9.46
czujnik1,46.34, czujnik2,38.25, czujnik3,9.46
czujnik1,45.43, czujnik2,37.96, czujnik3,9.76
czujnik1,45.97, czujnik2,37.96, czujnik3,9.76
czujnik1,41.63, czujnik2,38.35, czujnik3,9.86
