nik1,39.59, czujnik2,39.22, czujnik3,37.09
czujnik1,42.48, czujnik2,38.30, czujnik3,37.11
czujnik1,39.59, czujnik2,39.22, czujnik3,37.09
czujnik1,39.51, czujnik2,38.35, czujnik3,37.09
czujnik1,40.12, czujnik2,119.18, czujnik3,37.13
czujnik1,38.74, czujnik2,38.78, czujnik3,37.94
czujnik1,40.03, czujnik2,38.42, czujnik3,37.48
czujnik1,38.64, czujnik2,37.94, czujnik3,37.43
czujnik1,40.39, czujnik2,38.76, czujnik3,37.53
czujnik1,39.39, czujnik2,37.48, czujnik3,37.07
czujnik1,42.26, czujnik2,38.40, czujnik3,37.43
czujnik1,39.63, czujnik2,38.81, czujnik3,37.13
czujnik1,41.28, czujnik2,39.22, czujnik3,37.11
czujnik1,39.17, czujnik2,39.13, czujnik3,37.53
czujnik1,38.30, czujnik2,38.40, czujnik3,23.42
czujnik1,40.97, czujnik2,40.90, czujnik3,37.13
czujnik1,40.10, czujnik2,40.09, czujnik3,37.53
czujnik1,40.05, czujnik2,38.27, czujnik3,22.67
czujnik1,39.18, czujnik2,117.99, czujnik3,37.11
czujnik1,39.64, czujnik2,38.40, czujnik3,37.11
czujnik1,40.48, czujnik2,38.81, czujnik3,37.11
czujnik1,40.82, czujnik2,38.28, czujnik3,37.52
czujnik1,38.96, czujnik2,38.38, czujnik3,37.01
czujnik1,42.26, czujnik2,38.81, czujnik3,37.11
czujnik1,40.44, czujnik2,38.76, czujnik3,37.13
czujnik1,38.78, czujnik2,118.06, czujnik3,37.11
czujnik1,40.97, czujnik2,37.59, czujnik3,37.01
czujnik1,40.46, czujnik2,38.40, czujnik3,37.11
czujnik1,41.28, czujnik2,37.57, czujnik3,37.11
czujnik1,40.87, czujnik2,38.28, czujnik3,37.11
czujnik1,40.09, czujnik2,38.81, czujnik3,37.02
czujnik1,40.02, czujnik2,38.76, czujnik3,37.11
czujnik1,39.68, czujnik2,39.17, czujnik3,37.11
czujnik1,66.16, czujnik2,37.91, czujnik3,37.48
czujnik1,40.54, czujnik2,44.64, czujnik3,37.01
czujnik1,41.33, czujnik2,38.42, czujnik3,37.52
czujnik1,24.57, czujnik2,39.17, czujnik3,37.13
czujnik1,39.81, czujnik2,37.86, czujnik3,37.53
czujnik1,39.68, czujnik2,41.26, czujnik3,37.02
czujnik1,40.58, czujnik2,45.92, czujnik3,37.53
czujnik1,39.10, czujnik2,39.15, czujnik3,37.11
czujnik1,40.14, czujnik2,39.52, czujnik3,37.13
czujnik1,64.91, czujnik2,118.49, czujnik3,37.13
czujnik1,39.20, czujnik2,38.40, czujnik3,22.24
czujnik1,41.21, czujnik2,37.94, czujnik3,37.13
czujnik1,66.16, czujnik2,38.32, czujnik3,37.13
czujnik1,23.83, czujnik2,37.96, czujnik3,37.41
czujnik1,40.99, czujnik2,39.69, czujnik3,37.53
czujnik1,38.66, czujnik2,39.18, czujnik3,37.13
czujnik1,40.43, czujnik2,38.32, czujnik3,37.50
czujnik1,40.14, czujnik2,39.22, czujnik3,37.02
czujnik1,39.22, czujnik2,41.28, czujnik3,37.48
czujnik1,40.03, czujnik2,38.35, czujnik3,37.13
czujnik1,39.22, czujnik2,38.67, czujnik3,37.55
czujnik1,40.56, czujnik2,37.99, czujnik3,37.43
czujnik1,38.76, czujnik2,39.54, czujnik3,37.94
czujnik1,25.00, czujnik2,37.96, czujnik3,37.11
czujnik1,39.22, czujnik2,120.15, czujnik3,37.53
czujnik1,65.32, czujnik2,37.57, czujnik3,37.02
czujnik1,40.03, czujnik2,38.84, czujnik3,37.11
czujnik1,39.10, czujnik2,119.57, czujnik3,37.02
czujnik1,120.63, czujnik2,39.61, czujnik3,37.11
czujnik1,39.20, czujnik2,119.57, czujnik3,37.11
czujnik1,39.17, czujnik2,37.57, czujnik3,37.52
czujnik1,39.98, czujnik2,39.20, czujnik3,37.52
czujnik1,40.44, czujnik2,112.76, czujnik3,37.11
czujnik1,39.37, czujnik2,37.98, czujnik3,37.47
czujnik1,38.55, czujnik2,38.81, czujnik3,37.52
czujnik1,40.88, czujnik2,120.36, czujnik3,37.53
czujnik1,39.98, czujnik2,38.42, czujnik3,37.47
czujnik1,40.03, czujnik2,38.71, czujnik3,37.53
czujnik1,39.22, czujnik2,38.78, czujnik3,37.11
czujnik1,39.22, czujnik2,39.54, czujnik3,37.11
czujnik1,38.69, czujnik2,39.13, czujnik3,37.53
czujnik1,41.00, czujnik2,113.74, czujnik3,37.52
czujnik1,39.57, czujnik2,39.18, czujnik3,37.13
czujnik1,38.76, czujnik2,38.32, czujnik3,37.52
czujnik1,39.66, czujnik2,38.79, czujnik3,37.13
czujnik1,40.92, czujnik2,119.49, czujnik3,37.52
czujnik1,40.54, czujnik2,38.81, czujnik3,37.11
czujnik1,41.84, czujnik2,39.23, czujnik3,37.11
czujnik1,38.86, czujnik2,38.40, czujnik3,37.13
czujnik1,39.69, czujnik2,37.91, czujnik3,37.53
czujnik1,39.69, czujnik2,38.40, czujnik3,37.13
czujnik1,39.74, czujnik2,37.96, czujnik3,37.11
czujnik1,39.64, czujnik2,39.66, czujnik3,37.13
czujnik1,38.76, czujnik2,37.93, czujnik3,37.53
czujnik1,41.02, czujnik2,38.79, czujnik3,37.11
czujnik1,39.78, czujnik2,38.40, czujnik3,37.53
czujnik1,39.63, czujnik2,37.98, czujnik3,37.13
czujnik1,40.92, czujnik2,38.74, czujnik3,37.52
czujnik1,41.73, czujnik2,40.07, czujnik3,37.11
czujnik1,39.39, czujnik2,38.78, czujnik3,37.53
czujnik1,39.93, czujnik2,40.82, czujnik3,37.13
czujnik1,43.32, czujnik2,38.32, czujnik3,37.52
czujnik1,43.83, czujnik2,37.96, czujnik3,37.48
czujnik1,41.84, czujnik2,38.01, czujnik3,37.53
czujnik1,39.52, czujnik2,43.89, czujnik3,37.11
czujnik1,39.22, czujnik2,38.64, czujnik3,37.11
czujnik1,41.79, czujnik2,39.61, czujnik3,37.09
czujnik1,38.78, czujnik2,37.98, czujnik3,37.09
czujnik1,38.86, czujnik2,37.98, czujnik3,23.11
czujnik1,24.69, czujnik2,38.62, czujnik3,37.53
czujnik1,40.10, czujnik2,37.98, czujnik3,37.53
czujnik1,25.10, czujnik2,38.74, czujnik3,37.11
czujnik1,39.64, czujnik2,39.13, czujnik3,37.13
czujnik1,39.39, czujnik2,119.22, czujnik3,37.11
czujnik1,41.31, czujnik2,37.94, czujnik3,37.53
czujnik1,41.33, czujnik2,38.37, czujnik3,37.13
czujnik1,39.95, czujnik2,37.96, czujnik3,37.52
czujnik1,38.96, czujnik2,39.52, czujnik3,37.11
czujnik1,24.69, czujnik2,39.18, czujnik3,37.11
czujnik1,40.14, czujnik2,39.63, czujnik3,37.11
czujnik1,40.80, czujnik2,38.83, czujnik3,37.53
czujnik1,38.98, czujnik2,41.24, czujnik3,37.11
czujnik1,38.76, czujnik2,37.96, czujnik3,37.11
czujnik1,38.76, czujnik2,37.60, czujnik3,37.48
czujnik1,42.09, czujnik2,39.23, czujnik3,37.13
czujnik1,39.66, czujnik2,38.67, czujnik3,37.50
czujnik1,38.78, czujnik2,39.23, czujnik3,37.11
czujnik1,40.09, czujnik2,38.76, czujnik3,37.09
czujnik1,42.52, czujnik2,39.18, czujnik3,37.11
czujnik1,38.78, czujnik2,39.12, czujnik3,37.52
czujnik1,38.32, czujnik2,37.59, czujnik3,37.53
czujnik1,39.68, czujnik2,37.57, czujnik3,37.09
czujnik1,38.66, czujnik2,40.09, czujnik3,37.11
czujnik1,40.46, czujnik2,39.13, czujnik3,37.47
czujnik1,40.95, czujnik2,39.23, czujnik3,37.53
czujnik1,40.20, czujnik2,37.55, czujnik3,37.52
czujnik1,40.00, czujnik2,38.38, czujnik3,37.53
czujnik1,40.05, czujnik2,112.99, czujnik3,37.52
czujnik1,41.39, czujnik2,39.23, czujnik3,37.11
czujnik1,40.56, czujnik2,38.40, czujnik3,37.11
czujnik1,39.52, czujnik2,39.17, czujnik3,37.52
czujnik1,117.86, czujnik2,119.12, czujnik3,37.28
czujnik1,40.10, czujnik2,37.98, czujnik3,37.02
czujnik1,39.22, czujnik2,38.37, czujnik3,37.09
czujnik1,40.82, czujnik2,115.15, czujnik3,37.11
czujnik1,40.05, czujnik2,38.74, czujnik3,37.52
czujnik1,39.18, czujnik2,38.42, czujnik3,37.01
czujnik1,40.09, czujnik2,120.36, czujnik3,37.11
czujnik1,38.23, czujnik2,37.98, czujnik3,37.11
czujnik1,40.51, czujnik2,119.22, czujnik3,37.11
czujnik1,39.71, czujnik2,38.83, czujnik3,37.01
czujnik1,39.76, czujnik2,39.59, czujnik3,37.13
czujnik1,42.93, czujnik2,38.84, czujnik3,37.53
czujnik1,38.76, czujnik2,39.52, czujnik3,37.11
czujnik1,39.68, czujnik2,38.79, czujnik3,37.01
czujnik1,40.88, czujnik2,38.78, czujnik3,37.09
czujnik1,41.17, czujnik2,119.56, czujnik3,37.01
czujnik1,24.18, czujnik2,38.64, czujnik3,37.11
czujnik1,38.74, czujnik2,38.38, czujnik3,37.01
czujnik1,40.05, czujnik2,38.38, czujnik3,37.11
czujnik1,40.44, czujnik2,39.22, czujnik3,37.13
czujnik1,39.22, czujnik2,38.28, czujnik3,37.53
czujnik1,40.10, czujnik2,39.59, czujnik3,37.41
czujnik1,38.78, czujnik2,39.17, czujnik3,37.13
czujnik1,42.60, czujnik2,37.55, czujnik3,37.13
czujnik1,38.35, czujnik2,121.67, czujnik3,37.48
czujnik1,39.69, czujnik2,38.79, czujnik3,37.43
czujnik1,23.83, czujnik2,37.55, czujnik3,37.53
czujnik1,40.87, czujnik2,40.07, czujnik3,37.52
czujnik1,39.34, czujnik2,38.69, czujnik3,37.07
czujnik1,40.03, czujnik2,38.78, czujnik3,37.43
czujnik1,40.10, czujnik2,38.79, czujnik3,37.53
czujnik1,38.66, czujnik2,38.37, czujnik3,37.13
czujnik1,42.55, czujnik2,118.64, czujnik3,37.52
czujnik1,40.17, czujnik2,38.01, czujnik3,37.01
czujnik1,40.05, czujnik2,40.09, czujnik3,37.48
czujnik1,39.49, czujnik2,119.37, czujnik3,37.02
czujnik1,40.00, czujnik2,37.87, czujnik3,37.50
czujnik1,40.09, czujnik2,119.32, czujnik3,37.53
czujnik1,39.22, czujnik2,40.03, czujnik3,37.53
czujnik1,40.80, czujnik2,37.99, czujnik3,37.13
czujnik1,39.06, czujnik2,39.08, czujnik3,37.53
czujnik1,41.02, czujnik2,38.33, czujnik3,37.43
czujnik1,39.22, czujnik2,39.20, czujnik3,37.13
czujnik1,38.64, czujnik2,38.78, czujnik3,37.09
czujnik1,38.32, czujnik2,37.86, czujnik3,37.11
czujnik1,41.39, czujnik2,38.78, czujnik3,24.27
czujnik1,38.78, czujnik2,38.32, czujnik3,37.13
czujnik1,24.59, czujnik2,38.79, czujnik3,37.11
czujnik1,39.57, czujnik2,38.69, czujnik3,37.11
czujnik1,40.53, czujnik2,39.95, czujnik3,37.01
czujnik1,23.42, czujnik2,38.79, czujnik3,37.09
czujnik1,39.12, czujnik2,39.12, czujnik3,37.50
czujnik1,39.52, czujnik2,44.64, czujnik3,37.11
czujnik1,40.48, czujnik2,38.74, czujnik3,37.01
czujnik1,39.34, czujnik2,38.78, czujnik3,37.11
czujnik1,42.07, czujnik2,117.33, czujnik3,37.41
czujnik1,38.33, czujnik2,37.45, czujnik3,37.11
czujnik1,39.81, czujnik2,38.71, czujnik3,37.01
czujnik1,39.61, czujnik2,37.96, czujnik3,37.11
czujnik1,38.74, czujnik2,40.12, czujnik3,37.11
czujnik1,40.12, czujnik2,116.09, czujnik3,37.09
czujnik1,38.74, czujnik2,39.46, czujnik3,37.11
czujnik1,40.46, czujnik2,37.98, czujnik3,37.13
czujnik1,114.93, czujnik2,114.85, czujnik3,37.38
czujnik1,39.91, czujnik2,39.15, czujnik3,37.11
czujnik1,39.23, czujnik2,37.93, czujnik3,37.53
czujnik1,41.73, czujnik2,38.83, czujnik3,37.09
czujnik1,118.89, czujnik2,37.98, czujnik3,37.48
czujnik1,40.83, czujnik2,119.01, czujnik3,37.47
czujnik1,40.54, czujnik2,120.95, czujnik3,37.14
czujnik1,40.44, czujnik2,39.13, czujnik3,37.09
czujnik1,40.10, czujnik2,38.37, czujnik3,37.11
czujnik1,41.26, czujnik2,120.14, czujnik3,37.01
czujnik1,40.15, czujnik2,38.72, czujnik3,37.11
czujnik1,41.04, czujnik2,121.80, czujnik3,23.37
czujnik1,39.17, czujnik2,38.35, czujnik3,37.09
czujnik1,39.08, czujnik2,38.35, czujnik3,37.55
czujnik1,40.92, czujnik2,38.28, czujnik3,37.09
