zujnik1,16.58, czujnik2,37.96, czujnik3,37.11
czujnik1,16.58, czujnik2,37.96, czujnik3,37.11
czujnik1,16.19, czujnik2,39.98, czujnik3,37.28
czujnik1,16.60, czujnik2,38.40, czujnik3,36.99
czujnik1,17.01, czujnik2,40.51, czujnik3,23.55
czujnik1,16.19, czujnik2,38.33, czujnik3,37.86
czujnik1,16.60, czujnik2,38.84, czujnik3,37.53
czujnik1,16.19, czujnik2,46.46, czujnik3,23.57
czujnik1,16.58, czujnik2,37.89, czujnik3,37.53
czujnik1,16.17, czujnik2,38.40, czujnik3,23.88
czujnik1,16.19, czujnik2,39.64, czujnik3,37.50
czujnik1,16.60, czujnik2,124.81, czujnik3,23.03
czujnik1,17.01, czujnik2,38.30, czujnik3,37.53
czujnik1,16.17, czujnik2,41.31, czujnik3,37.45
czujnik1,16.19, czujnik2,39.23, czujnik3,23.16
czujnik1,16.17, czujnik2,38.84, czujnik3,23.16
czujnik1,17.01, czujnik2,38.30, czujnik3,37.57
czujnik1,16.17, czujnik2,38.76, czujnik3,37.43
czujnik1,16.60, czujnik2,40.12, czujnik3,37.53
czujnik1,16.60, czujnik2,38.83, czujnik3,37.52
czujnik1,16.19, czujnik2,37.86, czujnik3,23.11
czujnik1,16.19, czujnik2,38.40, czujnik3,22.59
czujnik1,16.19, czujnik2,39.25, czujnik3,37.50
czujnik1,16.19, czujnik2,38.84, czujnik3,24.39
czujnik1,16.58, czujnik2,39.52, czujnik3,37.13
czujnik1,16.58, czujnik2,39.18, czujnik3,37.02
czujnik1,16.58, czujnik2,37.98, czujnik3,37.11
czujnik1,16.19, czujnik2,38.38, czujnik3,37.53
czujnik1,16.17, czujnik2,103.93, czujnik3,37.52
czujnik1,16.19, czujnik2,39.22, czujnik3,37.84
czujnik1,16.19, czujnik2,38.01, czujnik3,37.13
czujnik1,16.19, czujnik2,38.79, czujnik3,37.52
czujnik1,16.60, czujnik2,37.87, czujnik3,37.55
czujnik1,16.60, czujnik2,38.84, czujnik3,37.04
czujnik1,16.19, czujnik2,43.91, czujnik3,37.16
czujnik1,17.02, czujnik2,39.66, czujnik3,37.13
czujnik1,16.60, czujnik2,38.30, czujnik3,37.13
czujnik1,16.60, czujnik2,39.20, czujnik3,24.69
czujnik1,16.60, czujnik2,38.40, czujnik3,37.53
czujnik1,16.19, czujnik2,39.25, czujnik3,37.13
czujnik1,16.19, czujnik2,39.12, czujnik3,37.52
czujnik1,17.01, czujnik2,107.76, czujnik3,37.43
czujnik1,17.02, czujnik2,38.81, czujnik3,37.13
czujnik1,16.60, czujnik2,38.81, czujnik3,37.13
czujnik1,16.60, czujnik2,38.28, czujnik3,37.52
czujnik1,16.60, czujnik2,38.35, czujnik3,37.01
czujnik1,16.60, czujnik2,37.98, czujnik3,23.88
czujnik1,16.62, czujnik2,38.78, czujnik3,37.11
czujnik1,17.01, czujnik2,37.89, czujnik3,37.53
czujnik1,16.58, czujnik2,38.38, czujnik3,23.47
czujnik1,16.60, czujnik2,37.99, czujnik3,37.94
czujnik1,16.60, czujnik2,40.12, czujnik3,37.13
czujnik1,16.60, czujnik2,39.20, czujnik3,37.13
czujnik1,17.01, czujnik2,38.38, czujnik3,37.43
czujnik1,16.58, czujnik2,38.40, czujnik3,37.13
czujnik1,16.60, czujnik2,159.12, czujnik3,22.57
czujnik1,16.60, czujnik2,39.51, czujnik3,23.10
czujnik1,16.58, czujnik2,45.07, czujnik3,37.02
czujnik1,16.19, czujnik2,37.99, czujnik3,37.53
czujnik1,16.99, czujnik2,39.25, czujnik3,37.53
czujnik1,16.60, czujnik2,37.89, czujnik3,23.11
czujnik1,16.60, czujnik2,109.69, czujnik3,37.43
czujnik1,16.19, czujnik2,38.78, czujnik3,37.52
czujnik1,16.19, czujnik2,39.18, czujnik3,37.11
czujnik1,16.17, czujnik2,38.28, czujnik3,37.13
czujnik1,16.60, czujnik2,38.38, czujnik3,37.41
czujnik1,16.60, czujnik2,39.25, czujnik3,37.52
czujnik1,16.17, czujnik2,38.38, czujnik3,37.53
czujnik1,16.62, czujnik2,38.23, czujnik3,37.52
czujnik1,16.60, czujnik2,39.23, czujnik3,37.06
czujnik1,17.01, czujnik2,38.84, czujnik3,37.93
czujnik1,16.60, czujnik2,38.81, czujnik3,37.11
czujnik1,16.60, czujnik2,38.30, czujnik3,23.55
czujnik1,16.60, czujnik2,38.35, czujnik3,37.41
czujnik1,16.60, czujnik2,39.68, czujnik3,37.52
czujnik1,16.19, czujnik2,43.49, czujnik3,37.53
czujnik1,16.60, czujnik2,45.07, czujnik3,37.52
czujnik1,16.60, czujnik2,104.49, czujnik3,24.29
czujnik1,16.60, czujnik2,38.37, czujnik3,23.88
czujnik1,16.17, czujnik2,37.96, czujnik3,37.14
