cczujnik1,6.82, czujnik2,38.42, czujnik3,37.13
czujnik1,6.68, czujnik2,38.35, czujnik3,37.48
czujnik1,6.82, czujnik2,38.40, czujnik3,36.99
czujnik1,6.68, czujnik2,39.23, czujnik3,37.55
czujnik1,6.82, czujnik2,38.81, czujnik3,36.99
czujnik1,6.84, czujnik2,38.42, czujnik3,37.52
czujnik1,6.73, czujnik2,40.83, czujnik3,37.52
czujnik1,6.84, czujnik2,38.37, czujnik3,37.45
czujnik1,6.84, czujnik2,41.26, czujnik3,37.13
czujnik1,6.72, czujnik2,38.76, czujnik3,37.55
czujnik1,6.72, czujnik2,39.08, czujnik3,37.14
czujnik1,6.82, czujnik2,40.31, czujnik3,37.40
czujnik1,6.82, czujnik2,38.42, czujnik3,37.48
czujnik1,6.72, czujnik2,38.35, czujnik3,37.13
czujnik1,6.72, czujnik2,38.25, czujnik3,37.50
czujnik1,6.82, czujnik2,39.25, czujnik3,37.43
czujnik1,6.82, czujnik2,39.23, czujnik3,37.14
czujnik1,6.72, czujnik2,38.42, czujnik3,37.11
czujnik1,6.82, czujnik2,38.27, czujnik3,37.13
czujnik1,6.82, czujnik2,38.35, czujnik3,37.13
czujnik1,6.82, czujnik2,37.98, czujnik3,37.13
czujnik1,6.72, czujnik2,39.98, czujnik3,37.94
czujnik1,6.84, czujnik2,39.97, czujnik3,37.02
czujnik1,6.82, czujnik2,38.40, czujnik3,37.50
czujnik1,6.73, czujnik2,39.18, czujnik3,37.11
czujnik1,6.72, czujnik2,37.89, czujnik3,37.53
czujnik1,6.82, czujnik2,38.81, czujnik3,37.04
czujnik1,6.82, czujnik2,38.35, czujnik3,37.53
czujnik1,6.72, czujnik2,40.44, czujnik3,37.53
czujnik1,6.73, czujnik2,42.48, czujnik3,37.50
czujnik1,6.82, czujnik2,38.35, czujnik3,37.40
czujnik1,6.82, czujnik2,39.27, czujnik3,37.13
czujnik1,7.59, czujnik2,42.53, czujnik3,37.50
czujnik1,6.82, czujnik2,37.86, czujnik3,37.50
czujnik1,6.84, czujnik2,41.22, czujnik3,37.52
czujnik1,6.82, czujnik2,40.03, czujnik3,37.13
czujnik1,6.72, czujnik2,39.17, czujnik3,37.13
czujnik1,6.82, czujnik2,38.35, czujnik3,37.11
czujnik1,6.82, czujnik2,37.99, czujnik3,37.50
czujnik1,6.80, czujnik2,41.28, czujnik3,37.48
czujnik1,7.18, czujnik2,38.25, czujnik3,37.13
czujnik1,6.82, czujnik2,38.35, czujnik3,37.40
czujnik1,6.82, czujnik2,37.96, czujnik3,37.55
czujnik1,6.72, czujnik2,38.40, czujnik3,37.55
czujnik1,6.73, czujnik2,41.28, czujnik3,37.13
czujnik1,6.82, czujnik2,39.23, czujnik3,37.01
czujnik1,6.82, czujnik2,38.42, czujnik3,37.13
czujnik1,6.72, czujnik2,38.37, czujnik3,37.09
czujnik1,6.77, czujnik2,38.67, czujnik3,37.94
czujnik1,6.84, czujnik2,38.83, czujnik3,37.38
czujnik1,6.84, czujnik2,38.78, czujnik3,37.50
czujnik1,6.72, czujnik2,38.81, czujnik3,37.50
czujnik1,6.82, czujnik2,37.96, czujnik3,37.52
czujnik1,6.82, czujnik2,39.63, czujnik3,37.13
czujnik1,6.82, czujnik2,37.60, czujnik3,37.11
czujnik1,6.73, czujnik2,39.88, czujnik3,37.13
czujnik1,6.82, czujnik2,115.73, czujnik3,37.89
czujnik1,6.82, czujnik2,38.42, czujnik3,37.52
czujnik1,7.59, czujnik2,117.18, czujnik3,37.82
czujnik1,6.73, czujnik2,39.12, czujnik3,37.13
czujnik1,6.82, czujnik2,39.23, czujnik3,37.45
czujnik1,6.84, czujnik2,38.83, czujnik3,37.91
czujnik1,6.72, czujnik2,37.96, czujnik3,37.50
czujnik1,6.72, czujnik2,37.87, czujnik3,37.14
czujnik1,6.84, czujnik2,38.81, czujnik3,37.45
czujnik1,6.84, czujnik2,40.44, czujnik3,37.48
czujnik1,6.73, czujnik2,38.37, czujnik3,37.55
czujnik1,6.82, czujnik2,38.66, czujnik3,37.13
czujnik1,6.84, czujnik2,37.99, czujnik3,37.53
czujnik1,6.82, czujnik2,38.42, czujnik3,37.14
czujnik1,6.72, czujnik2,39.22, czujnik3,37.48
czujnik1,6.82, czujnik2,39.13, czujnik3,37.14
czujnik1,6.82, czujnik2,38.37, czujnik3,37.53
czujnik1,6.77, czujnik2,38.42, czujnik3,37.14
czujnik1,6.73, czujnik2,38.30, czujnik3,37.50
czujnik1,7.69, czujnik2,38.44, czujnik3,37.40
czujnik1,7.70, czujnik2,39.18, czujnik3,37.52
czujnik1,7.60, czujnik2,39.18, czujnik3,37.50
czujnik1,6.73, czujnik2,39.54, czujnik3,37.13
czujnik1,6.84, czujnik2,40.03, czujnik3,37.43
czujnik1,6.84, czujnik2,39.63, czujnik3,37.55
czujnik1,6.72, czujnik2,38.44, czujnik3,37.50
czujnik1,6.72, czujnik2,38.28, czujnik3,37.55
czujnik1,6.82, czujnik2,38.38, czujnik3,37.40
czujnik1,6.82, czujnik2,38.79, czujnik3,37.53
czujnik1,6.72, czujnik2,37.94, czujnik3,37.50
czujnik1,6.82, czujnik2,39.52, czujnik3,37.50
czujnik1,6.82, czujnik2,37.94, czujnik3,37.50
czujnik1,6.82, czujnik2,39.23, czujnik3,37.09
czujnik1,6.72, czujnik2,39.08, czujnik3,37.52
czujnik1,7.69, czujnik2,39.23, czujnik3,37.45
czujnik1,6.82, czujnik2,39.64, czujnik3,37.50
czujnik1,6.73, czujnik2,38.40, czujnik3,37.55
czujnik1,7.59, czujnik2,39.98, czujnik3,37.48
czujnik1,6.82, czujnik2,40.75, czujnik3,37.41
czujnik1,6.82, czujnik2,38.81, czujnik3,37.13
czujnik1,6.72, czujnik2,39.61, czujnik3,37.13
czujnik1,6.72, czujnik2,39.54, czujnik3,37.13
czujnik1,7.28, czujnik2,115.99, czujnik3,37.52
czujnik1,6.82, czujnik2,38.84, czujnik3,37.50
czujnik1,6.73, czujnik2,38.81, czujnik3,37.50
czujnik1,7.60, czujnik2,38.27, czujnik3,37.53
czujnik1,7.69, czujnik2,38.79, czujnik3,37.50
czujnik1,6.82, czujnik2,39.63, czujnik3,37.48
czujnik1,6.72, czujnik2,38.35, czujnik3,37.50
czujnik1,6.82, czujnik2,39.08, czujnik3,37.02
czujnik1,6.82, czujnik2,38.79, czujnik3,37.53
czujnik1,6.72, czujnik2,38.37, czujnik3,37.50
czujnik1,7.59, czujnik2,39.42, czujnik3,37.13
czujnik1,6.82, czujnik2,46.73, czujnik3,36.99
czujnik1,6.84, czujnik2,38.79, czujnik3,37.13
czujnik1,6.72, czujnik2,37.96, czujnik3,37.53
czujnik1,6.72, czujnik2,37.87, czujnik3,37.50
czujnik1,6.84, czujnik2,38.76, czujnik3,37.43
czujnik1,6.82, czujnik2,44.29, czujnik3,37.55
czujnik1,6.73, czujnik2,37.99, czujnik3,37.13
czujnik1,6.82, czujnik2,37.87, czujnik3,37.53
czujnik1,6.82, czujnik2,37.99, czujnik3,37.52
czujnik1,6.82, czujnik2,50.41, czujnik3,37.13
czujnik1,6.73, czujnik2,39.68, czujnik3,37.13
czujnik1,6.84, czujnik2,39.15, czujnik3,37.52
czujnik1,6.84, czujnik2,38.35, czujnik3,37.11
czujnik1,6.79, czujnik2,38.81, czujnik3,37.13
czujnik1,6.73, czujnik2,39.49, czujnik3,37.55
czujnik1,6.84, czujnik2,42.07, czujnik3,37.01
czujnik1,6.82, czujnik2,39.23, czujnik3,37.13
czujnik1,6.72, czujnik2,37.96, czujnik3,37.55
czujnik1,7.60, czujnik2,41.19, czujnik3,37.13
czujnik1,7.69, czujnik2,43.30, czujnik3,37.43
czujnik1,7.69, czujnik2,37.96, czujnik3,37.13
czujnik1,6.72, czujnik2,38.40, czujnik3,37.11
czujnik1,6.79, czujnik2,38.25, czujnik3,37.13
czujnik1,6.84, czujnik2,41.33, czujnik3,37.13
czujnik1,6.82, czujnik2,49.27, czujnik3,37.13
czujnik1,7.59, czujnik2,39.23, czujnik3,37.55
czujnik1,6.82, czujnik2,38.32, czujnik3,37.11
czujnik1,6.84, czujnik2,41.36, czujnik3,37.13
czujnik1,6.82, czujnik2,40.90, czujnik3,37.11
czujnik1,6.72, czujnik2,37.89, czujnik3,37.11
czujnik1,6.84, czujnik2,39.22, czujnik3,37.41
czujnik1,6.82, czujnik2,38.40, czujnik3,37.13
czujnik1,6.72, czujnik2,38.40, czujnik3,37.55
czujnik1,6.73, czujnik2,39.13, czujnik3,37.52
czujnik1,6.84, czujnik2,39.27, czujnik3,37.02
czujnik1,6.82, czujnik2,38.81, czujnik3,37.13
czujnik1,6.73, czujnik2,40.14, czujnik3,37.52
czujnik1,6.72, czujnik2,39.15, czujnik3,37.11
czujnik1,6.82, czujnik2,110.83, czujnik3,37.02
czujnik1,6.82, czujnik2,37.99, czujnik3,37.94
czujnik1,6.72, czujnik2,38.01, czujnik3,37.48
czujnik1,6.82, czujnik2,38.32, czujnik3,37.11
czujnik1,6.84, czujnik2,38.35, czujnik3,37.11
czujnik1,6.82, czujnik2,39.23, czujnik3,37.55
czujnik1,6.72, czujnik2,40.97, czujnik3,37.52
czujnik1,6.82, czujnik2,39.15, czujnik3,37.43
czujnik1,6.84, czujnik2,123.86, czujnik3,37.38
czujnik1,6.75, czujnik2,38.38, czujnik3,37.53
czujnik1,6.73, czujnik2,40.82, czujnik3,37.13
czujnik1,6.84, czujnik2,39.91, czujnik3,37.41
czujnik1,6.82, czujnik2,39.22, czujnik3,37.53
czujnik1,6.73, czujnik2,38.84, czujnik3,37.53
czujnik1,6.72, czujnik2,38.72, czujnik3,37.13
czujnik1,6.84, czujnik2,38.38, czujnik3,37.40
czujnik1,6.82, czujnik2,38.35, czujnik3,37.53
czujnik1,6.73, czujnik2,39.23, czujnik3,37.13
czujnik1,6.77, czujnik2,37.89, czujnik3,37.11
czujnik1,6.82, czujnik2,39.63, czujnik3,37.43
czujnik1,6.82, czujnik2,39.25, czujnik3,37.53
czujnik1,6.72, czujnik2,38.72, czujnik3,37.55
czujnik1,6.84, czujnik2,38.27, czujnik3,37.50
czujnik1,6.84, czujnik2,38.40, czujnik3,37.50
czujnik1,6.82, czujnik2,38.37, czujnik3,37.50
czujnik1,6.72, czujnik2,38.27, czujnik3,37.14
czujnik1,6.84, czujnik2,38.81, czujnik3,37.43
czujnik1,6.84, czujnik2,37.96, czujnik3,37.11
czujnik1,6.72, czujnik2,39.64, czujnik3,37.53
czujnik1,6.72, czujnik2,38.71, czujnik3,37.48
czujnik1,6.82, czujnik2,39.17, czujnik3,37.40
czujnik1,6.82, czujnik2,38.40, czujnik3,37.13
czujnik1,6.72, czujnik2,38.78, czujnik3,37.50
czujnik1,6.72, czujnik2,38.28, czujnik3,37.50
czujnik1,6.82, czujnik2,40.10, czujnik3,37.06
czujnik1,6.84, czujnik2,38.38, czujnik3,37.50
czujnik1,6.72, czujnik2,40.46, czujnik3,37.55
czujnik1,6.84, czujnik2,37.91, czujnik3,37.50
czujnik1,6.84, czujnik2,38.81, czujnik3,37.55
czujnik1,7.69, czujnik2,40.49, czujnik3,37.55
czujnik1,6.72, czujnik2,39.59, czujnik3,37.13
czujnik1,6.84, czujnik2,38.78, czujnik3,37.02
czujnik1,6.82, czujnik2,37.94, czujnik3,37.11
czujnik1,6.72, czujnik2,39.18, czujnik3,37.94
czujnik1,6.72, czujnik2,38.30, czujnik3,37.13
czujnik1,6.84, czujnik2,44.59, czujnik3,37.43
czujnik1,6.84, czujnik2,38.37, czujnik3,37.14
czujnik1,6.72, czujnik2,38.40, czujnik3,37.14
czujnik1,6.73, czujnik2,39.52, czujnik3,37.11
czujnik1,6.84, czujnik2,38.37, czujnik3,37.43
czujnik1,7.69, czujnik2,37.98, czujnik3,37.50
czujnik1,6.72, czujnik2,42.62, czujnik3,37.55
czujnik1,6.84, czujnik2,39.51, czujnik3,37.53
czujnik1,6.82, czujnik2,39.64, czujnik3,37.13
czujnik1,6.82, czujnik2,39.64, czujnik3,37.94
czujnik1,6.73, czujnik2,38.79, czujnik3,37.13
czujnik1,7.69, czujnik2,122.82, czujnik3,37.13
czujnik1,6.82, czujnik2,39.63, czujnik3,37.13
czujnik1,6.79, czujnik2,39.23, czujnik3,37.11
czujnik1,6.72, czujnik2,38.67, czujnik3,37.94
czujnik1,6.82, czujnik2,38.84, czujnik3,37.84
czujnik1,6.82, czujnik2,37.99, czujnik3,37.50
czujnik1,6.72, czujnik2,39.23, czujnik3,37.50
czujnik1,6.73, czujnik2,38.67, czujnik3,37.94
czujnik1,6.84, czujnik2,38.79, czujnik3,37.43
czujnik1,6.82, czujnik2,39.64, czujnik3,37.13
czujnik1,7.60, czujnik2,38.83, czujnik3,37.50
czujnik1,6.75, czujnik2,38.71, czujnik3,37.53
czujnik1,6.84, czujnik2,37.94, czujnik3,37.45
czujnik1,6.82, czujnik2,38.83, czujnik3,37.13
czujnik1,6.72, czujnik2,38.40, czujnik3,37.53
czujnik1,6.82, czujnik2,39.10, czujnik3,37.50
czujnik1,6.82, czujnik2,39.23, czujnik3,37.14
czujnik1,6.84, czujnik2,40.41, czujnik3,37.50
czujnik1,6.73, czujnik2,37.87, czujnik3,37.13
czujnik1,6.84, czujnik2,38.78, czujnik3,37.43
czujnik1,6.84, czujnik2,38.40, czujnik3,37.48
czujnik1,6.72, czujnik2,124.90, czujnik3,37.01
czujnik1,6.72, czujnik2,38.72, czujnik3,37.55
czujnik1,6.82, czujnik2,38.42, czujnik3,37.02
czujnik1,6.84, czujnik2,40.92, czujnik3,37.13
czujnik1,6.73, czujnik2,40.05, czujnik3,37.13
czujnik1,6.73, czujnik2,37.86, czujnik3,37.13
czujnik1,6.84, czujnik2,40.07, czujnik3,37.43
czujnik1,6.84, czujnik2,38.40, czujnik3,37.57
czujnik1,6.73, czujnik2,38.76, czujnik3,37.11
czujnik1,6.84, czujnik2,40.85, czujnik3,37.11
czujnik1,6.82, czujnik2,38.78, czujnik3,37.53
czujnik1,6.82, czujnik2,39.23, czujnik3,37.55
czujnik1,6.73, czujnik2,38.37, czujnik3,37.48
czujnik1,6.84, czujnik2,39.90, czujnik3,37.45
czujnik1,6.84, czujnik2,38.78, czujnik3,37.09
czujnik1,6.72, czujnik2,38.84, czujnik3,37.11
czujnik1,6.72, czujnik2,38.25, czujnik3,37.55
czujnik1,6.84, czujnik2,37.55, czujnik3,37.01
czujnik1,6.82, czujnik2,39.57, czujnik3,37.52
czujnik1,6.72, czujnik2,38.37, czujnik3,37.52
czujnik1,6.73, czujnik2,39.12, czujnik3,37.50
czujnik1,6.82, czujnik2,38.35, czujnik3,37.01
czujnik1,6.84, czujnik2,39.57, czujnik3,37.52
czujnik1,6.73, czujnik2,38.40, czujnik3,37.50
czujnik1,6.82, czujnik2,38.72, czujnik3,37.50
czujnik1,6.84, czujnik2,40.43, czujnik3,37.09
czujnik1,6.84, czujnik2,44.27, czujnik3,37.09
czujnik1,6.72, czujnik2,38.81, czujnik3,37.50
czujnik1,6.84, czujnik2,40.71, czujnik3,37.11
czujnik1,6.84, czujnik2,38.38, czujnik3,37.50
czujnik1,6.80, czujnik2,37.99, czujnik3,37.09
czujnik1,6.72, czujnik2,38.67, czujnik3,37.55
czujnik1,6.82, czujnik2,38.86, czujnik3,37.40
czujnik1,6.82, czujnik2,38.78, czujnik3,37.50
czujnik1,6.73, czujnik2,38.01, czujnik3,37.52
czujnik1,6.73, czujnik2,41.60, czujnik3,37.55
czujnik1,6.84, czujnik2,40.00, czujnik3,36.99
czujnik1,6.84, czujnik2,37.98, czujnik3,37.09
czujnik1,6.72, czujnik2,37.98, czujnik3,37.55
czujnik1,6.73, czujnik2,38.28, czujnik3,37.11
czujnik1,6.84, czujnik2,39.23, czujnik3,37.11
czujnik1,6.82, czujnik2,38.38, czujnik3,37.52
czujnik1,6.73, czujnik2,39.20, czujnik3,37.09
czujnik1,6.84, czujnik2,38.67, czujnik3,37.11
czujnik1,6.82, czujnik2,39.63, czujnik3,37.09
czujnik1,6.84, czujnik2,40.82, czujnik3,37.48
czujnik1,6.72, czujnik2,39.12, czujnik3,37.13
czujnik1,6.84, czujnik2,39.23, czujnik3,37.01
czujnik1,6.84, czujnik2,39.59, czujnik3,37.11
czujnik1,6.72, czujnik2,38.37, czujnik3,37.13
czujnik1,6.73, czujnik2,38.71, czujnik3,37.50
czujnik1,6.84, czujnik2,38.40, czujnik3,37.45
czujnik1,6.84, czujnik2,41.33, czujnik3,37.55
czujnik1,6.72, czujnik2,37.98, czujnik3,37.50
czujnik1,6.73, czujnik2,39.13, czujnik3,37.50
czujnik1,6.84, czujnik2,39.25, czujnik3,37.40
czujnik1,7.69, czujnik2,38.79, czujnik3,37.48
czujnik1,6.73, czujnik2,38.81, czujnik3,37.94
czujnik1,6.82, czujnik2,40.75, czujnik3,37.53
czujnik1,6.82, czujnik2,40.02, czujnik3,37.48
czujnik1,6.82, czujnik2,39.25, czujnik3,37.53
czujnik1,6.73, czujnik2,38.33, czujnik3,37.55
czujnik1,6.84, czujnik2,38.79, czujnik3,37.45
czujnik1,6.82, czujnik2,38.38, czujnik3,37.14
czujnik1,6.73, czujnik2,39.27, czujnik3,37.11
czujnik1,6.73, czujnik2,38.66, czujnik3,37.13
czujnik1,6.84, czujnik2,39.22, czujnik3,37.02
czujnik1,6.82, czujnik2,38.40, czujnik3,37.13
czujnik1,6.72, czujnik2,39.22, czujnik3,37.53
czujnik1,6.73, czujnik2,38.74, czujnik3,37.52
czujnik1,6.84, czujnik2,39.64, czujnik3,37.01
czujnik1,6.84, czujnik2,40.51, czujnik3,37.11
czujnik1,6.72, czujnik2,38.83, czujnik3,37.48
czujnik1,6.82, czujnik2,39.15, czujnik3,37.11
czujnik1,6.84, czujnik2,37.99, czujnik3,37.13
czujnik1,6.82, czujnik2,38.76, czujnik3,37.48
czujnik1,6.72, czujnik2,39.20, czujnik3,37.50
czujnik1,6.82, czujnik2,38.74, czujnik3,37.47
czujnik1,6.82, czujnik2,39.27, czujnik3,37.53
czujnik1,6.73, czujnik2,38.83, czujnik3,37.48
czujnik1,6.72, czujnik2,38.28, czujnik3,37.50
czujnik1,6.82, czujnik2,38.76, czujnik3,37.01
czujnik1,6.84, czujnik2,37.99, czujnik3,37.53
czujnik1,6.73, czujnik2,39.23, czujnik3,37.11
czujnik1,6.72, czujnik2,38.67, czujnik3,37.48
czujnik1,6.84, czujnik2,39.64, czujnik3,37.02
czujnik1,6.82, czujnik2,38.42, czujnik3,37.11
czujnik1,6.72, czujnik2,38.38, czujnik3,37.11
czujnik1,6.84, czujnik2,39.12, czujnik3,37.13
czujnik1,6.84, czujnik2,44.17, czujnik3,37.13
czujnik1,6.82, czujnik2,38.81, czujnik3,37.48
czujnik1,6.73, czujnik2,38.81, czujnik3,37.52
czujnik1,6.84, czujnik2,38.66, czujnik3,37.55
czujnik1,6.82, czujnik2,38.37, czujnik3,37.13
czujnik1,6.82, czujnik2,38.74, czujnik3,37.50
czujnik1,6.72, czujnik2,45.02, czujnik3,37.13
czujnik1,6.84, czujnik2,39.23, czujnik3,37.04
czujnik1,6.84, czujnik2,38.86, czujnik3,37.50
czujnik1,6.72, czujnik2,38.40, czujnik3,37.53
czujnik1,6.73, czujnik2,39.06, czujnik3,37.48
czujnik1,6.84, czujnik2,40.09, czujnik3,37.40
czujnik1,6.84, czujnik2,38.35, czujnik3,37.48
czujnik1,6.73, czujnik2,38.01, czujnik3,37.94
czujnik1,6.77, czujnik2,38.30, czujnik3,37.53
czujnik1,6.84, czujnik2,37.96, czujnik3,37.09
czujnik1,6.82, czujnik2,38.38, czujnik3,37.13
czujnik1,6.73, czujnik2,38.35, czujnik3,37.13
czujnik1,6.84, czujnik2,41.26, czujnik3,37.52
czujnik1,6.84, czujnik2,38.81, czujnik3,37.57
czujnik1,6.84, czujnik2,41.68, czujnik3,37.52
czujnik1,6.72, czujnik2,37.89, czujnik3,37.52
czujnik1,6.82, czujnik2,43.74, czujnik3,37.43
czujnik1,6.84, czujnik2,38.81, czujnik3,37.11
czujnik1,6.73, czujnik2,38.83, czujnik3,37.52
czujnik1,6.72, czujnik2,39.49, czujnik3,37.52
czujnik1,6.84, czujnik2,38.35, czujnik3,37.01
czujnik1,6.84, czujnik2,39.22, czujnik3,37.52
czujnik1,6.73, czujnik2,38.42, czujnik3,37.52
czujnik1,6.73, czujnik2,38.69, czujnik3,37.11
czujnik1,7.70, czujnik2,38.83, czujnik3,37.07
czujnik1,6.82, czujnik2,38.78, czujnik3,37.11
czujnik1,6.73, czujnik2,38.84, czujnik3,37.13
czujnik1,6.82, czujnik2,39.12, czujnik3,37.53
czujnik1,6.84, czujnik2,39.64, czujnik3,37.53
czujnik1,6.84, czujnik2,38.40, czujnik3,37.13
czujnik1,6.73, czujnik2,39.18, czujnik3,37.53
czujnik1,7.69, czujnik2,39.12, czujnik3,37.43
czujnik1,6.82, czujnik2,38.81, czujnik3,37.55
czujnik1,6.73, czujnik2,39.27, czujnik3,37.13
czujnik1,7.59, czujnik2,38.30, czujnik3,37.48
czujnik1,6.82, czujnik2,38.86, czujnik3,37.40
czujnik1,6.82, czujnik2,40.46, czujnik3,37.53
czujnik1,6.73, czujnik2,38.76, czujnik3,37.14
czujnik1,6.73, czujnik2,38.28, czujnik3,37.53
czujnik1,6.84, czujnik2,38.44, czujnik3,37.43
czujnik1,6.84, czujnik2,39.22, czujnik3,37.48
czujnik1,6.73, czujnik2,38.38, czujnik3,37.48
czujnik1,6.82, czujnik2,38.28, czujnik3,37.48
czujnik1,6.84, czujnik2,38.83, czujnik3,37.53
czujnik1,6.84, czujnik2,38.83, czujnik3,37.13
czujnik1,6.73, czujnik2,39.20, czujnik3,37.50
czujnik1,7.70, czujnik2,38.72, czujnik3,37.06
czujnik1,6.84, czujnik2,40.46, czujnik3,37.55
czujnik1,6.73, czujnik2,38.33, czujnik3,37.55
czujnik1,6.72, czujnik2,39.12, czujnik3,37.14
czujnik1,6.84, czujnik2,38.79, czujnik3,37.43
czujnik1,6.82, czujnik2,39.22, czujnik3,37.13
czujnik1,6.73, czujnik2,38.40, czujnik3,37.48
czujnik1,6.72, czujnik2,38.28, czujnik3,37.55
czujnik1,6.82, czujnik2,38.81, czujnik3,37.38
czujnik1,6.82, czujnik2,38.76, czujnik3,37.13
czujnik1,6.73, czujnik2,37.98, czujnik3,37.11
czujnik1,6.84, czujnik2,38.25, czujnik3,37.48
czujnik1,6.84, czujnik2,38.40, czujnik3,37.57
czujnik1,6.82, czujnik2,39.20, czujnik3,37.53
czujnik1,6.73, czujnik2,38.81, czujnik3,37.13
czujnik1,6.84, czujnik2,38.37, czujnik3,37.11
czujnik1,6.84, czujnik2,39.23, czujnik3,37.13
czujnik1,6.80, czujnik2,39.22, czujnik3,37.52
czujnik1,6.72, czujnik2,39.95, czujnik3,37.11
czujnik1,6.82, czujnik2,160.34, czujnik3,37.01
czujnik1,6.84, czujnik2,38.81, czujnik3,37.13
czujnik1,6.73, czujnik2,38.79, czujnik3,37.11
czujnik1,6.73, czujnik2,38.30, czujnik3,37.11
czujnik1,7.69, czujnik2,39.20, czujnik3,37.41
czujnik1,6.82, czujnik2,38.84, czujnik3,37.94
czujnik1,6.72, czujnik2,38.37, czujnik3,37.11
czujnik1,6.72, czujnik2,38.33, czujnik3,37.11
czujnik1,6.82, czujnik2,41.26, czujnik3,37.07
czujnik1,6.84, czujnik2,38.42, czujnik3,37.55
czujnik1,6.72, czujnik2,38.83, czujnik3,37.53
czujnik1,6.84, czujnik2,38.30, czujnik3,37.11
czujnik1,6.82, czujnik2,43.71, czujnik3,37.50
czujnik1,6.84, czujnik2,40.07, czujnik3,37.52
czujnik1,6.72, czujnik2,38.71, czujnik3,37.50
czujnik1,6.84, czujnik2,37.99, czujnik3,37.01
czujnik1,6.84, czujnik2,39.22, czujnik3,37.11
czujnik1,6.72, czujnik2,40.12, czujnik3,37.50
czujnik1,6.72, czujnik2,38.76, czujnik3,37.53
