,39.40, czujnik2,12.86, czujnik3,8.59
czujnik1,40.90, czujnik2,11.63, czujnik3,8.69
czujnik1,39.40, czujnik2,12.86, czujnik3,8.59
czujnik1,40.90, czujnik2,11.63, czujnik3,8.69
cczujnik1,38.37, czujnik2,11.55, czujnik3,8.45
czujnik1,40.88, czujnik2,12.28, czujnik3,8.91
czujnik1,44.85, czujnik2,11.89, czujnik3,9.05
czujnik1,43.33, czujnik2,11.63, czujnik3,8.45
czujnik1,40.83, czujnik2,11.82, czujnik3,8.55
czujnik1,40.53, czujnik2,13.28, czujnik3,8.57
czujnik1,43.78, czujnik2,12.52, czujnik3,8.69
czujnik1,40.53, czujnik2,11.96, czujnik3,8.57
czujnik1,40.07, czujnik2,11.94, czujnik3,8.54
czujnik1,38.67, czujnik2,12.04, czujnik3,8.69
czujnik1,39.61, czujnik2,11.53, czujnik3,8.69
czujnik1,39.69, czujnik2,11.94, czujnik3,8.59
czujnik1,38.59, czujnik2,11.55, czujnik3,8.54
czujnik1,40.48, czujnik2,11.60, czujnik3,8.64
czujnik1,42.11, czujnik2,12.43, czujnik3,8.64
czujnik1,39.25, czujnik2,11.50, czujnik3,8.57
czujnik1,39.78, czujnik2,12.41, czujnik3,8.54
czujnik1,39.59, czujnik2,11.60, czujnik3,9.15
czujnik1,39.23, czujnik2,11.53, czujnik3,8.67
czujnik1,40.15, czujnik2,13.67, czujnik3,8.59
czujnik1,41.39, czujnik2,12.86, czujnik3,8.59
czujnik1,44.15, czujnik2,12.96, czujnik3,9.15
czujnik1,38.37, czujnik2,12.40, czujnik3,8.69
czujnik1,40.07, czujnik2,11.99, czujnik3,8.59
czujnik1,38.88, czujnik2,11.63, czujnik3,8.69
czujnik1,39.25, czujnik2,12.86, czujnik3,8.69
czujnik1,39.64, czujnik2,12.40, czujnik3,8.59
czujnik1,38.37, czujnik2,11.99, czujnik3,8.59
czujnik1,38.89, czujnik2,11.63, czujnik3,8.69
czujnik1,41.29, czujnik2,12.40, czujnik3,9.10
czujnik1,39.66, czujnik2,11.55, czujnik3,8.57
czujnik1,40.14, czujnik2,11.99, czujnik3,8.59
czujnik1,38.27, czujnik2,12.50, czujnik3,8.69
czujnik1,38.79, czujnik2,12.01, czujnik3,8.69
czujnik1,41.38, czujnik2,11.53, czujnik3,8.98
czujnik1,40.12, czujnik2,12.87, czujnik3,9.05
czujnik1,39.10, czujnik2,11.65, czujnik3,9.10
czujnik1,40.92, czujnik2,12.40, czujnik3,8.69
czujnik1,38.37, czujnik2,11.53, czujnik3,8.54
czujnik1,40.43, czujnik2,12.50, czujnik3,9.05
czujnik1,39.15, czujnik2,11.99, czujnik3,8.64
czujnik1,38.78, czujnik2,11.53, czujnik3,9.05
czujnik1,40.12, czujnik2,11.99, czujnik3,8.59
czujnik1,38.69, czujnik2,12.09, czujnik3,9.15
czujnik1,42.11, czujnik2,12.40, czujnik3,8.69
czujnik1,39.18, czujnik2,12.87, czujnik3,8.59
czujnik1,40.12, czujnik2,11.55, czujnik3,8.59
czujnik1,41.65, czujnik2,12.55, czujnik3,8.69
czujnik1,39.64, czujnik2,11.53, czujnik3,9.08
czujnik1,40.12, czujnik2,11.55, czujnik3,8.57
czujnik1,45.09, czujnik2,11.62, czujnik3,8.54
czujnik1,39.59, czujnik2,11.63, czujnik3,8.69
czujnik1,42.89, czujnik2,12.40, czujnik3,8.64
