czujnik1,12.52, czujnik2,12.26, czujnik3,12.36
czujnik1,12.48, czujnik2,40.97, czujnik3,11.96
czujnik1,12.52, czujnik2,12.26, czujnik3,12.36
czujnik1,12.48, czujnik2,40.97, czujnik3,11.96
czujnik1,12.74, czujnik2,85.36, czujnik3,12.07
czujnik1,12.28, czujnik2,83.78, czujnik3,12.36
czujnik1,11.97, czujnik2,15.09, czujnik3,12.07
czujnik1,12.01, czujnik2,22.33, czujnik3,11.90
czujnik1,12.09, czujnik2,13.69, czujnik3,12.36
czujnik1,12.41, czujnik2,107.31, czujnik3,11.90
czujnik1,11.94, czujnik2,51.70, czujnik3,12.47
czujnik1,12.41, czujnik2,41.73, czujnik3,11.97
czujnik1,12.11, czujnik2,14.83, czujnik3,11.90
czujnik1,12.01, czujnik2,13.84, czujnik3,12.31
czujnik1,12.82, czujnik2,111.28, czujnik3,12.01
czujnik1,11.96, czujnik2,39.71, czujnik3,11.90
czujnik1,12.52, czujnik2,114.20, czujnik3,12.24
czujnik1,12.01, czujnik2,41.79, czujnik3,11.90
czujnik1,11.99, czujnik2,115.17, czujnik3,12.24
czujnik1,11.94, czujnik2,12.47, czujnik3,12.31
czujnik1,12.09, czujnik2,96.26, czujnik3,11.90
czujnik1,12.01, czujnik2,24.85, czujnik3,13.20
czujnik1,12.06, czujnik2,24.32, czujnik3,12.43
czujnik1,12.41, czujnik2,11.80, czujnik3,12.36
czujnik1,12.57, czujnik2,121.14, czujnik3,12.30
czujnik1,12.36, czujnik2,13.64, czujnik3,12.31
czujnik1,12.01, czujnik2,50.03, czujnik3,12.47
czujnik1,11.99, czujnik2,13.52, czujnik3,12.35
czujnik1,12.52, czujnik2,44.00, czujnik3,11.90
czujnik1,11.99, czujnik2,49.34, czujnik3,11.89
czujnik1,12.41, czujnik2,39.61, czujnik3,12.06
czujnik1,11.96, czujnik2,14.39, czujnik3,12.36
czujnik1,12.52, czujnik2,21.92, czujnik3,11.89
czujnik1,12.41, czujnik2,54.22, czujnik3,11.96
czujnik1,12.01, czujnik2,186.94, czujnik3,11.77
czujnik1,11.94, czujnik2,23.91, czujnik3,12.35
czujnik1,12.11, czujnik2,14.83, czujnik3,12.35
czujnik1,12.01, czujnik2,13.01, czujnik3,12.36
czujnik1,12.41, czujnik2,14.68, czujnik3,12.01
czujnik1,12.01, czujnik2,40.46, czujnik3,11.90
czujnik1,12.93, czujnik2,12.93, czujnik3,12.36
czujnik1,11.94, czujnik2,40.14, czujnik3,12.31
czujnik1,12.06, czujnik2,12.24, czujnik3,12.47
czujnik1,11.96, czujnik2,16.90, czujnik3,11.90
czujnik1,12.52, czujnik2,12.26, czujnik3,11.90
czujnik1,12.41, czujnik2,53.79, czujnik3,12.41
czujnik1,11.96, czujnik2,13.72, czujnik3,12.93
czujnik1,12.36, czujnik2,38.86, czujnik3,11.96
czujnik1,12.47, czujnik2,112.82, czujnik3,11.96
czujnik1,11.96, czujnik2,112.52, czujnik3,11.90
czujnik1,12.47, czujnik2,12.67, czujnik3,12.01
czujnik1,11.99, czujnik2,40.88, czujnik3,11.96
czujnik1,12.98, czujnik2,39.73, czujnik3,11.96
czujnik1,11.99, czujnik2,113.38, czujnik3,11.97
czujnik1,11.94, czujnik2,52.47, czujnik3,12.06
czujnik1,12.40, czujnik2,46.02, czujnik3,11.96
czujnik1,12.04, czujnik2,14.81, czujnik3,11.96
czujnik1,12.45, czujnik2,43.57, czujnik3,11.96
czujnik1,12.47, czujnik2,52.47, czujnik3,12.47
czujnik1,12.40, czujnik2,125.71, czujnik3,12.23
czujnik1,12.82, czujnik2,12.24, czujnik3,12.36
czujnik1,12.50, czujnik2,14.13, czujnik3,11.94
czujnik1,11.94, czujnik2,52.13, czujnik3,12.47
czujnik1,12.41, czujnik2,14.68, czujnik3,12.47
czujnik1,12.52, czujnik2,51.70, czujnik3,11.96
czujnik1,12.98, czujnik2,12.35, czujnik3,11.90
czujnik1,12.01, czujnik2,13.23, czujnik3,12.47
czujnik1,12.47, czujnik2,13.54, czujnik3,12.01
czujnik1,12.06, czujnik2,40.99, czujnik3,11.96
czujnik1,12.98, czujnik2,12.86, czujnik3,11.96
czujnik1,12.87, czujnik2,51.70, czujnik3,12.47
czujnik1,12.41, czujnik2,113.28, czujnik3,12.01
czujnik1,12.48, czujnik2,13.54, czujnik3,12.36
czujnik1,12.06, czujnik2,50.03, czujnik3,12.36
czujnik1,12.40, czujnik2,22.33, czujnik3,12.06
czujnik1,11.90, czujnik2,23.50, czujnik3,12.06
czujnik1,12.81, czujnik2,40.15, czujnik3,12.36
czujnik1,12.06, czujnik2,13.52, czujnik3,12.41
czujnik1,12.82, czujnik2,14.64, czujnik3,13.18
czujnik1,12.41, czujnik2,40.05, czujnik3,12.48
czujnik1,12.50, czujnik2,13.54, czujnik3,11.96
czujnik1,12.06, czujnik2,40.56, czujnik3,11.96
czujnik1,12.82, czujnik2,13.23, czujnik3,12.06
czujnik1,12.41, czujnik2,14.39, czujnik3,12.06
czujnik1,12.11, czujnik2,43.47, czujnik3,11.96
czujnik1,12.52, czujnik2,14.13, czujnik3,11.96
czujnik1,12.82, czujnik2,52.13, czujnik3,12.06
czujnik1,11.96, czujnik2,12.26, czujnik3,12.06
czujnik1,12.11, czujnik2,13.11, czujnik3,11.96
czujnik1,12.50, czujnik2,114.66, czujnik3,11.82
czujnik1,12.41, czujnik2,115.09, czujnik3,11.77
czujnik1,11.96, czujnik2,21.82, czujnik3,12.01
czujnik1,12.41, czujnik2,116.24, czujnik3,11.94
czujnik1,12.52, czujnik2,14.81, czujnik3,11.90
czujnik1,12.41, czujnik2,41.84, czujnik3,12.31
czujnik1,12.01, czujnik2,23.91, czujnik3,12.47
czujnik1,11.96, czujnik2,40.99, czujnik3,11.96
czujnik1,12.50, czujnik2,22.77, czujnik3,11.90
czujnik1,12.41, czujnik2,45.68, czujnik3,13.23
czujnik1,12.45, czujnik2,115.43, czujnik3,12.24
czujnik1,12.40, czujnik2,14.15, czujnik3,11.90
czujnik1,12.55, czujnik2,15.24, czujnik3,12.36
czujnik1,12.40, czujnik2,13.23, czujnik3,12.36
czujnik1,12.01, czujnik2,44.32, czujnik3,12.01
czujnik1,11.94, czujnik2,12.26, czujnik3,12.41
czujnik1,12.50, czujnik2,15.26, czujnik3,11.96
czujnik1,12.45, czujnik2,44.40, czujnik3,12.36
czujnik1,11.96, czujnik2,14.68, czujnik3,12.06
czujnik1,12.06, czujnik2,119.98, czujnik3,12.64
czujnik1,12.09, czujnik2,14.68, czujnik3,11.97
czujnik1,12.41, czujnik2,118.15, czujnik3,11.77
czujnik1,12.01, czujnik2,12.24, czujnik3,12.01
czujnik1,11.96, czujnik2,23.59, czujnik3,11.92
czujnik1,12.52, czujnik2,14.52, czujnik3,12.36
czujnik1,12.01, czujnik2,41.89, czujnik3,12.36
czujnik1,12.36, czujnik2,23.89, czujnik3,12.01
czujnik1,11.96, czujnik2,14.15, czujnik3,11.96
czujnik1,12.52, czujnik2,157.07, czujnik3,11.85
czujnik1,12.01, czujnik2,40.15, czujnik3,12.36
czujnik1,12.01, czujnik2,12.26, czujnik3,12.47
czujnik1,12.40, czujnik2,40.60, czujnik3,11.90
czujnik1,12.93, czujnik2,41.89, czujnik3,11.90
czujnik1,12.41, czujnik2,24.00, czujnik3,11.96
czujnik1,12.47, czujnik2,52.11, czujnik3,12.47
czujnik1,12.47, czujnik2,50.87, czujnik3,12.36
czujnik1,12.09, czujnik2,43.55, czujnik3,11.96
czujnik1,12.41, czujnik2,14.49, czujnik3,12.36
czujnik1,12.01, czujnik2,186.51, czujnik3,11.84
czujnik1,12.01, czujnik2,12.91, czujnik3,11.90
czujnik1,12.98, czujnik2,13.54, czujnik3,11.90
czujnik1,12.41, czujnik2,11.94, czujnik3,12.31
czujnik1,11.94, czujnik2,13.11, czujnik3,12.47
czujnik1,11.99, czujnik2,14.15, czujnik3,12.36
czujnik1,12.06, czujnik2,40.56, czujnik3,12.31
czujnik1,11.90, czujnik2,52.11, czujnik3,12.36
czujnik1,12.47, czujnik2,14.83, czujnik3,12.01
czujnik1,12.41, czujnik2,14.83, czujnik3,12.36
czujnik1,12.09, czujnik2,40.97, czujnik3,11.96
czujnik1,12.01, czujnik2,41.39, czujnik3,11.96
czujnik1,12.82, czujnik2,21.82, czujnik3,12.47
czujnik1,12.01, czujnik2,40.15, czujnik3,11.89
czujnik1,12.06, czujnik2,13.32, czujnik3,12.36
czujnik1,11.99, czujnik2,12.76, czujnik3,11.90
czujnik1,12.40, czujnik2,49.61, czujnik3,12.01
czujnik1,11.94, czujnik2,14.54, czujnik3,12.77
czujnik1,12.52, czujnik2,14.52, czujnik3,11.90
czujnik1,12.41, czujnik2,54.22, czujnik3,11.96
czujnik1,12.01, czujnik2,40.88, czujnik3,12.06
