czujnik1,14.17, czujnik2,16.14, czujnik3,38.91
czujnik1,13.67, czujnik2,16.94, czujnik3,38.91
czujnik1,13.57, czujnik2,38.32, czujnik3,38.83
czujnik1,13.57, czujnik2,38.40, czujnik3,38.40
czujnik1,14.22, czujnik2,16.96, czujnik3,38.50
czujnik1,13.71, czujnik2,38.93, czujnik3,39.44
czujnik1,13.71, czujnik2,16.53, czujnik3,38.89
czujnik1,13.71, czujnik2,16.94, czujnik3,38.84
czujnik1,13.81, czujnik2,17.36, czujnik3,38.95
czujnik1,13.71, czujnik2,38.95, czujnik3,39.40
czujnik1,13.76, czujnik2,38.42, czujnik3,38.95
czujnik1,14.17, czujnik2,17.35, czujnik3,39.27
czujnik1,13.81, czujnik2,38.93, czujnik3,38.91
czujnik1,14.17, czujnik2,16.96, czujnik3,38.95
czujnik1,13.71, czujnik2,38.88, czujnik3,39.42
czujnik1,13.71, czujnik2,16.55, czujnik3,39.27
czujnik1,13.81, czujnik2,16.96, czujnik3,39.39
czujnik1,13.72, czujnik2,38.95, czujnik3,38.88
czujnik1,13.71, czujnik2,38.83, czujnik3,38.50
czujnik1,13.71, czujnik2,18.18, czujnik3,39.27
czujnik1,13.81, czujnik2,16.60, czujnik3,38.50
czujnik1,13.71, czujnik2,16.14, czujnik3,38.91
czujnik1,13.71, czujnik2,38.42, czujnik3,38.93
czujnik1,14.17, czujnik2,38.93, czujnik3,38.40
czujnik1,14.27, czujnik2,16.96, czujnik3,39.42
czujnik1,13.71, czujnik2,17.01, czujnik3,38.91
czujnik1,13.71, czujnik2,38.83, czujnik3,39.42
czujnik1,13.72, czujnik2,17.77, czujnik3,38.40
czujnik1,13.81, czujnik2,17.01, czujnik3,38.91
czujnik1,13.71, czujnik2,16.55, czujnik3,38.96
czujnik1,13.71, czujnik2,18.21, czujnik3,39.00
czujnik1,13.71, czujnik2,38.95, czujnik3,38.35
czujnik1,13.81, czujnik2,16.53, czujnik3,38.95
czujnik1,13.71, czujnik2,38.52, czujnik3,38.95
czujnik1,13.72, czujnik2,38.42, czujnik3,39.42
czujnik1,13.71, czujnik2,16.55, czujnik3,38.79
czujnik1,13.79, czujnik2,38.52, czujnik3,38.50
czujnik1,13.71, czujnik2,38.52, czujnik3,38.89
czujnik1,14.17, czujnik2,17.36, czujnik3,38.47
czujnik1,13.71, czujnik2,38.52, czujnik3,38.88
czujnik1,13.81, czujnik2,16.96, czujnik3,38.93
czujnik1,13.71, czujnik2,38.93, czujnik3,38.93
czujnik1,13.71, czujnik2,16.17, czujnik3,38.47
czujnik1,13.71, czujnik2,16.60, czujnik3,39.32
czujnik1,13.81, czujnik2,16.14, czujnik3,38.93
czujnik1,14.17, czujnik2,16.55, czujnik3,39.39
czujnik1,13.71, czujnik2,16.58, czujnik3,39.39
czujnik1,13.71, czujnik2,17.40, czujnik3,38.81
czujnik1,13.81, czujnik2,38.54, czujnik3,38.93
czujnik1,13.71, czujnik2,16.14, czujnik3,38.93
czujnik1,13.71, czujnik2,15.73, czujnik3,39.44
czujnik1,13.71, czujnik2,38.52, czujnik3,38.78
czujnik1,13.83, czujnik2,16.96, czujnik3,38.93
czujnik1,14.17, czujnik2,17.01, czujnik3,38.93
czujnik1,13.71, czujnik2,18.23, czujnik3,38.95
czujnik1,13.71, czujnik2,16.55, czujnik3,38.83
czujnik1,13.81, czujnik2,17.36, czujnik3,38.50
czujnik1,13.71, czujnik2,16.14, czujnik3,38.95
czujnik1,14.17, czujnik2,17.40, czujnik3,38.50
czujnik1,13.71, czujnik2,16.94, czujnik3,38.40
czujnik1,14.23, czujnik2,16.60, czujnik3,38.93
czujnik1,13.71, czujnik2,17.76, czujnik3,38.96
czujnik1,13.71, czujnik2,38.81, czujnik3,39.39
czujnik1,14.17, czujnik2,16.94, czujnik3,38.88
czujnik1,13.81, czujnik2,16.14, czujnik3,39.39
czujnik1,13.71, czujnik2,16.96, czujnik3,39.37
czujnik1,13.71, czujnik2,16.60, czujnik3,39.37
czujnik1,13.71, czujnik2,17.76, czujnik3,38.79
czujnik1,13.81, czujnik2,38.52, czujnik3,39.46
czujnik1,13.71, czujnik2,17.36, czujnik3,38.95
czujnik1,14.17, czujnik2,16.55, czujnik3,38.49
czujnik1,13.71, czujnik2,16.60, czujnik3,38.79
czujnik1,13.81, czujnik2,38.98, czujnik3,38.91
czujnik1,13.71, czujnik2,16.14, czujnik3,38.45
czujnik1,13.72, czujnik2,38.84, czujnik3,39.35
czujnik1,13.71, czujnik2,17.82, czujnik3,38.81
czujnik1,14.22, czujnik2,16.94, czujnik3,39.37
czujnik1,13.71, czujnik2,16.19, czujnik3,38.93
czujnik1,13.71, czujnik2,17.35, czujnik3,38.95
czujnik1,13.71, czujnik2,16.55, czujnik3,39.68
czujnik1,13.81, czujnik2,18.21, czujnik3,38.50
czujnik1,13.71, czujnik2,16.53, czujnik3,39.40
czujnik1,13.71, czujnik2,16.53, czujnik3,38.91
czujnik1,14.17, czujnik2,16.99, czujnik3,39.30
czujnik1,13.81, czujnik2,16.96, czujnik3,38.95
czujnik1,13.71, czujnik2,16.94, czujnik3,38.91
czujnik1,13.72, czujnik2,38.81, czujnik3,38.91
czujnik1,13.72, czujnik2,16.58, czujnik3,39.27
czujnik1,13.81, czujnik2,16.14, czujnik3,39.35
czujnik1,13.72, czujnik2,16.94, czujnik3,39.40
czujnik1,13.72, czujnik2,38.81, czujnik3,38.96
czujnik1,13.71, czujnik2,16.60, czujnik3,38.83
czujnik1,14.22, czujnik2,38.98, czujnik3,39.37
czujnik1,13.72, czujnik2,16.14, czujnik3,39.37
czujnik1,13.71, czujnik2,16.55, czujnik3,38.93
czujnik1,13.69, czujnik2,16.12, czujnik3,39.27
