czujnik1,20.51, czujnik2,20.10, czujnik3,20.60
czujnik1,20.51, czujnik2,19.69, czujnik3,20.27
czujnik1,20.37, czujnik2,19.68, czujnik3,19.69
czujnik1,20.51, czujnik2,19.68, czujnik3,20.24
czujnik1,20.97, czujnik2,20.09, czujnik3,21.80
czujnik1,21.79, czujnik2,19.64, czujnik3,20.22
czujnik1,20.00, czujnik2,20.51, czujnik3,19.81
czujnik1,20.10, czujnik2,19.27, czujnik3,20.27
czujnik1,20.97, czujnik2,20.51, czujnik3,20.58
czujnik1,20.51, czujnik2,19.69, czujnik3,18.93
czujnik1,20.41, czujnik2,19.25, czujnik3,19.35
czujnik1,20.58, czujnik2,19.61, czujnik3,21.09
czujnik1,20.12, czujnik2,20.51, czujnik3,20.58
czujnik1,20.53, czujnik2,20.09, czujnik3,20.70
czujnik1,20.00, czujnik2,20.05, czujnik3,19.81
czujnik1,20.56, czujnik2,19.93, czujnik3,20.26
czujnik1,20.51, czujnik2,19.69, czujnik3,21.41
czujnik1,20.10, czujnik2,19.68, czujnik3,20.26
czujnik1,20.00, czujnik2,19.29, czujnik3,18.95
czujnik1,21.38, czujnik2,19.64, czujnik3,18.93
czujnik1,21.38, czujnik2,20.09, czujnik3,19.40
czujnik1,21.39, czujnik2,19.64, czujnik3,18.93
czujnik1,20.41, czujnik2,19.29, czujnik3,19.81
czujnik1,20.10, czujnik2,19.61, czujnik3,19.35
czujnik1,21.80, czujnik2,20.09, czujnik3,20.12
czujnik1,20.53, czujnik2,19.64, czujnik3,21.11
czujnik1,20.41, czujnik2,19.66, czujnik3,18.95
czujnik1,20.97, czujnik2,19.61, czujnik3,19.80
czujnik1,20.10, czujnik2,20.05, czujnik3,18.93
czujnik1,20.10, czujnik2,19.64, czujnik3,19.40
czujnik1,20.02, czujnik2,19.22, czujnik3,21.90
czujnik1,20.51, czujnik2,19.95, czujnik3,19.35
czujnik1,20.10, czujnik2,20.05, czujnik3,18.95
czujnik1,20.97, czujnik2,19.68, czujnik3,19.35
czujnik1,20.00, czujnik2,19.23, czujnik3,20.22
czujnik1,20.54, czujnik2,19.23, czujnik3,19.81
czujnik1,20.92, czujnik2,19.69, czujnik3,20.58
czujnik1,20.10, czujnik2,20.12, czujnik3,22.38
czujnik1,20.43, czujnik2,19.69, czujnik3,21.96
czujnik1,20.53, czujnik2,19.61, czujnik3,19.81
czujnik1,21.36, czujnik2,19.64, czujnik3,22.69
czujnik1,20.10, czujnik2,19.64, czujnik3,18.95
czujnik1,20.41, czujnik2,19.27, czujnik3,21.97
czujnik1,21.38, czujnik2,19.66, czujnik3,18.95
czujnik1,20.56, czujnik2,19.64, czujnik3,18.95
czujnik1,20.12, czujnik2,19.68, czujnik3,19.40
czujnik1,20.87, czujnik2,20.07, czujnik3,21.51
czujnik1,20.95, czujnik2,19.61, czujnik3,19.81
czujnik1,20.10, czujnik2,19.68, czujnik3,19.71
czujnik1,20.03, czujnik2,19.27, czujnik3,20.22
czujnik1,21.28, czujnik2,19.68, czujnik3,21.09
czujnik1,20.49, czujnik2,19.27, czujnik3,19.81
czujnik1,20.51, czujnik2,19.27, czujnik3,18.96
czujnik1,20.99, czujnik2,19.69, czujnik3,19.35
czujnik1,20.00, czujnik2,19.25, czujnik3,20.68
czujnik1,20.10, czujnik2,20.39, czujnik3,19.40
czujnik1,20.92, czujnik2,19.69, czujnik3,18.93
